Frau Präsidentin! Ich möchte zum selben Thema sprechen.	Madam President, I should like to address the same issue.
Das Schlimme an der Erneuerung dieser ENFOPOL-Pläne ist, dass sie weit über das hinausgehen, was noch vor drei Jahren geplant war.	The bad thing about the renewal of these ENFOPOL plans is that they go much further than was planned three years ago.
Es werden nicht mehr nur traffic data und content data - also der header von einer E-Mail und der Inhalt - überwacht, sondern es sollen viel, viel mehr Details überwacht werden bis hin zu Kreditkartendetails, IP-ports, wo es darum geht, den Computer durch und durch zu überwachen.	It will no longer only be traffic data and content data - that is the header of an e-mail and the content - that are monitored, but many, many more details down to credit card details, and IP-ports, which would enable everything on the computer to be monitored.
Das heißt, es bleibt in der Kommunikation nichts mehr übrig, was nicht überwacht wird.	In other words, there would be no part of the communication that was not monitored.
Das lag im Rat nicht einmal als richtiges Dokument vor.	That was not even mentioned in the documents before the Council.
Wir haben überhaupt keine Möglichkeit, an die Informationen ranzukommen!	We have no way of getting hold of the information!
Die Entscheidung selbst wurde noch nicht getroffen, wie es aussieht, aufgrund eines formalen Fehlers.	It appears that, because of a formal error, the actual decision has not yet been taken.
Sie kann aber jederzeit getroffen werden, dazu bedarf es keines weiteren Treffens.	It can be taken at any time, however, and no further meeting is required for the purpose.
Ich möchte die Forderung wiederholen: Wir brauchen eine Diskussion darüber.	I should like to repeat the call. We need to debate this.
Wir hatten jetzt einen Echelon-Untersuchungsausschuss, und wir ärgern uns darüber, dass NSA und andere Geheimdienste die Grundrechte verletzen.	We have just had a committee of inquiry into Echelon and we are angry that the NSA and other secret services are violating fundamental rights.
Was passiert, ist, dass innerhalb der EU etwas viel Schlimmeres geplant wird, nämlich dass wirklich alles überwacht werden kann!	What is happening is that something much worse is being planned in the EU and absolutely everything can be monitored!
(Beifall von der Verts/Ale-Fraktion)	(Applause from the Verts/ALE Group)
