Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Wir sind mit der Hoffnung in die Sommerpause gegangen, daß die Gespräche unter der Schirmherrschaft der Vereinten Nationen zwischen Glafkos Klerides und Rauf Denktasch zu einem Erfolg führen könnten.	We entered the summer break in the hope that the talks under the auspices of the United Nations between Glafcos Clerides and Raouf Denktash would be successful.
Wieder wurde diese Hoffnung zerstört - die Hoffnung, daß die seit 23 Jahren bestehende Teilung Zyperns, daß die seit 1974 anhaltende türkische Besetzung von 37 % des zyprischen Territoriums überwunden werden könnte, zugunsten einer Lösung, die das friedliche Zusammenleben griechischer und türkischer Zyprioten ermöglicht.	Once again these hopes were destroyed - hopes that the 23-year-old partition of Cyprus, and the Turkish occupation since 1974 of 37 % of Cypriot territory, might be ended in favour of a solution that would make possible the peaceful co-existence of Greek and Turkish Cypriots.
Diese Hoffnung wurde wieder einmal durch die unnachgiebige Haltung von Rauf Denktasch zerstört.	These hopes were once more destroyed by the inflexible attitude of Raouf Denktash.
Es ist völlig unakzeptabel, wenn Denktasch ein Einfrieren des Beitrittsprozesses zwischen der Union und Zypern fordert.	It is quite unacceptable for Denktash to call for a cessation of the membership talks between the Union and Cyprus.
Es ist ebenso unakzeptabel, daß die Regierung der Türkei und das illegale Regime im besetzen Teil Zyperns eine Annexion des besetzten Teils durch die Türkei im Falle eines EU-Beitritts Zyperns androhen.	It is equally unacceptable for the Turkish Government and the illegal regime in the occupied part of Cyprus to threaten annexation by Turkey of the occupied part, if membership of the EU by Cyprus should take place.
Mit Empörung und Abscheu weisen wir die Ankündigung Denktasch's zurück, daß ein Beitritt einen Krieg in Zypern zur Folge hätte.	We reject with disgust and outrage the declaration by Denktash that membership could result in a war in Cyprus.
Wann wird endlich begriffen, daß die Zeit überreif ist für den Einsatz der Vernunft und ganz sicher nicht den der Waffen?	When will it be realised that it is high time for the use of reason and most certainly not of weapons?
Die Beschlüsse der Europäischen Union sind klar.	The European Union's resolutions are clear.
Sechs Monate nach der Regierungskonferenz, also zu Beginn des nächsten Jahres, werden die Beitrittsverhandlungen mit Zypern beginnen.	Membership talks with Cyprus begin six months after the government conference: at the beginning of next year, therefore.
So wie es in der Agenda 2000 noch einmal bekräftigt wird, können die Verhandlungen nur mit der einzig völkerrechtlich anerkannten Autorität, der Regierung der Republik Zypern, aufgenommen werden.	As has been reiterated in Agenda 2000, talks can be held only with the one constitutionally recognized authority, the Government of the Republic of Cyprus.
Ich schiebe ein, daran sollten auch europäische Minister in öffentlich geäußerten Privataussagen nicht rühren.	I would comment here, that European Ministers should not touch that point either, in private remarks made in public.
Ein Beitritt soll aber allen Zyprioten zugute kommen.	Membership should be to the benefit of all Cypriots, however.
Das ist unser erklärter Wille.	That is our declared will.
Deshalb müssen auch Möglichkeiten gefunden werden, die türkisch-zypriotische Gemeinschaft in die Verhandlungen einzubeziehen.	For that reason ways must be found to include the Turkish Cypriot community in negotiations.
Denn trotz des aktuellen Scheiterns der Gespräche, trotz der Eskalation der Worte hoffe ich im Interesse aller Zyprioten auf einen baldigen Sieg der Vernunft.	For despite the current failure of the talks, and despite the escalation of words, I hope for a rapid victory for good sense in the interests of all Cypriots.
In der Agenda 2000 erklärt sich die Union entschlossen, bei der Herbeiführung einer Lösung eine positive Rolle zu spielen.	In Agenda 2000 the Union declares its determination to play a positive role in reaching a solution.
Ein wichtiger Beitrag wäre es, der Türkei erneut und verstärkt klarzumachen, daß für eine verbesserte Beziehung auch die Lösung des Zypernproblems notwendig ist.	It would be a useful contribution to make it emphatically clear to Turkey yet again that improved relations also depend on a solution in Cyprus.
Wir wissen, die Türkei hat den Schlüssel dazu.	We know that Turkey possesses the key to this.
