Herr Präsident, zu der Frage des Abgeordneten Blak.	Mr President, I will now answer Mr Blak's question.
Der Europäische Rechnungshof hat ja in allen Jahren seit 1994 und auch für den Haushalt 2001 wiederum festgestellt, dass die Bücher und der Rechnungsabschluss wahrheitsgetreu die Einnahmen und Ausgaben der Europäischen Union festhalten und auch die finanzielle Situation am Jahresende richtig darstellen.	Every year since 1994 and again, too, for the 2001 Budget, the European Court of Auditors has found that the books and financial statement are a true record of the European Union's revenue and expenditure and also accurately show the financial position at the end of the year.
Gleichzeitig hat der Europäische Rechnungshof uns immer wieder aufgefordert, und zwar im Hinblick auf die Vermögensrechnung, zu einem anderen System überzugehen, das finanzielle Vorgänge nicht erst dann festhält, wenn eine Zahlung oder eine Einnahme erfolgt ist, sondern schon dann, wenn eine Forderung erhoben oder eine Verpflichtung eingegangen wurde.	At the same time, the European Court of Auditors has repeatedly urged us, as regards the capital account, to go over to a new system that does not wait until a payment or receipt has been made before recording financial transactions, but records them when a claim is raised or a commitment entered into.
Das ist ein wesentlicher Schritt, der jetzt nun auch mit der Haushaltsordnung festgeschrieben ist.	That is an important step, which is now enacted in the Financial Regulation.
Wir haben in den vergangenen Jahren - und damit darf ich auf die Frage von Herrn Heaton-Harris zu sprechen kommen - schon Schritte in Richtung dieser Vermögensrechnung gemacht.	In the past few years - and this brings me to Mr Heaton-Harris's question - we have already taken steps towards this capital account.
Allerdings kamen dann viele Informationen im Hinblick auf die Frage, welche Forderungen wir haben, welche Verpflichtungen wir haben, von außerhalb des Buchführungssystems.	Then, of course, a lot of information about our claims and commitments came from outside the bookkeeping system.
Ich nehme ein Beispiel. Wir haben uns gefragt, welche Verpflichtungen hat die Kommission in Zukunft im Hinblick auf die Pensionen ihrer Beamten?	For example, we asked ourselves what the Commission's future obligations were with regard to pensions for its officials.
Das waren Informationen, die von der Generaldirektion Verwaltung ermittelt und bewertet und dann quasi in das Buchhaltungssystem eingeführt wurden.	That was information that was obtained and processed by the Directorate-General for Administration and then fed into the accounting system.
Diese Informationen haben sich nicht aus dem jährlichen Haushalt heraus entwickelt.	This information was not derived from the annual budget.
Ich darf ein anderes Beispiel nehmen, und das trifft dann auch für den Haushalt des Parlaments zu.	Take another example, which also applies to the Parliament's budget.
Nehmen wir die fixen Vermögenswerte, nehmen wir mal dieses Haus: In der Haushaltsrechnung waren nur die Ausgaben enthalten, die man in einem Jahr leistet.	Take the fixed assets, this building for example. The budget account contained only the expenditure made in a given year.
Wenn man so will, waren die Vermögenswerte dann nicht mehr in den accounts enthalten, bzw. mussten dann mit einer entsprechenden Bewertung wieder aufgenommen werden.	If you like, the assets were then no longer contained in the accounts, or they had to be brought into them again at an appropriate valuation.
Für die Zukunft ist nun geplant - und es wird auch so eingeführt -, dass quasi aus dem jährlichen Haushalt heraus die Information direkt in den Vermögenshaushalt geht.	For the future we plan - and this is how it is being introduced - that the information will go from the annual budget directly into the capital budget.
Dann weiß man, welche Vermögenswerte die Europäische Union hat, und man braucht sie nicht separat einzufügen.	Then we will know what the European Union's assets are and we will not have to introduce them separately.
Ich muss darauf hinweisen, dass wir leider auch nicht einfach auf best practices in den Mitgliedstaaten zurückgreifen können.	I must point out that unfortunately we cannot simply draw on best practices in the Member States.
Es gibt einzelne Mitgliedstaaten - und wir hatten wiederholt ja auch im Haushaltskontrollausschuss darüber gesprochen -, die Schritte in diese Richtung gesetzt haben, aber gleichzeitig haben die Mitgliedstaaten auch unterschiedliche Problemstellungen.	Some Member States - and we discussed this repeatedly in the Committee on Budgetary Control - have taken steps in this direction, but at the same time the Member States also have different problems.
Beispielsweise sind Kommunen Besitzer von Infrastrukturen, sie haben also sozusagen andere Vermögenswerte und anderes zu bewerten als wir.	Municipalities, for example, own infrastructure, and you might therefore say that they have different assets than we do and have to value them differently.
Wenn - jetzt neu - z. B. Sicherheiten, die Vertragsnehmer vorlegen müssen, wenn sie an einer Ausschreibung teilnehmen oder den Zuschlag erhalten haben, in Büchern aufgeführt sein müssen, dann müssen wir da neue Entscheidungen treffen.	If - and this is new - for example securities that contractors have to lodge when they take part in a tendering procedure or the tender has been accepted now have to be shown in books, then we have to take new decisions.
Die internationalen Standards sind, wenn Sie so wollen, Prinzipien, aber sie müssen auf den konkreten Haushalt, auf die konkreten Aufgaben, die wir haben, die im Haushalt drin stehen, sozusagen heruntergebrochen werden, operationell gemacht werden.	The international standards are, if you like, principles, but they must, as it were, be tailored to the specific budget, to the specific tasks that we have in the budget, if they are to be made to work.
Das wird dann auch von diesem Standards Committee entschieden werden.	That will also be decided by this Standards Committee.
Ich glaube, wenn wir da gute Ergebnisse haben, wird das vielleicht in Zukunft etwas sein, was die Mitgliedstaaten oder Drittstaaten von uns übernehmen können.	If that produces good results, I think that might in future be something that the Member States or third countries will be able to take over from us.
