. – Herr Präsident, Frau Kommissarin! Sie haben gesagt, dass reformiert werden muss.	.
Die Zuckermarktordnung ist von der Zuckerwirtschaft selbst pervertiert worden. Sie war auf den Verbrauch plus den privilegierten Zugang von Zucker aus den AKP-Ländern ausgerichtet.	Mr President, the Commissioner spoke of the need for reform, and I agree with her; the common market organisation for sugar has itself been corrupted by the sugar industry, which was geared to consumption plus privileged access for sugar from the ACP countries.
Dann ist es zu einer Entwicklung gekommen, wo auch C-Zucker mit Dumpingeffekt auf den Weltmarkt gebracht wird und wo die Zuckermenge, die aus den AKP-Ländern kam, wieder reexportiert wurde, was den Haushalt auch noch 1,5 Milliarden Euro gekostet hat.	A situation then developed in which C sugar, too, was, in effect, dumped on the global market, and in which the quantity of sugar arriving from the ACP countries was re-exported, which cost the budget another EUR 1.5 billion.
Sie sagen aber, Sie wollen die Menge von 1,8 Millionen Tonnen zurückführen.	You say, though, that you want to cut the quantity by 1.8 million tonnes.
Wir müssen sie, wenn wir den C-Zucker mitrechnen, um 4 bis 5 Millionen Tonnen zurückführen. Das geht auf dem Weltmarkt.	If we include the C sugar, the cut will have to be by between 4 and 5 million tonnes, which will end up on the global market.
Also müssen Sie in der Menge zurückgehen und nicht im Preis.	It follows that you must reduce quantity rather than price.
Im Preis können wir eine Reduzierung hinnehmen, aber wenn Sie diese 33 % vorschlagen und die am wenigsten entwickelten Länder nicht mit einem Kontingent belegen – was ja nicht der Regelung, die wir haben, widerspricht, sondern nur verhindert, dass es zu Transferländern kommt – dann reichen diese 33 % nicht aus, weil auch zu diesen Konditionen die Multis diese Länder als Transferländer gebrauchen werden, um ihren Zucker hier in der Europäischen Union abzuladen.	We can accept a reduction in price, but, if you are proposing 33% without allocating a quota to the least-developed countries – something that does not go against the rules that we have, but simply prevents them from becoming transit countries – then this 33% is not enough, for, even under these conditions, the multinationals will use these countries as transit routes through which to dump their sugar back in the European Union.
Sie werden also die nächste Preissenkung machen müssen, um das uninteressant zu machen. Dann wäre es besser, Sie würden gleich Liberalisierung sagen.	It follows that you will have to cut the price again to make that less appealing, so it would be better if you were to describe this as liberalisation, without beating about the bush.
Wenn Sie hier eine Marktordnung beibehalten wollen, dann müssen Sie sie da anpacken, wo es darauf ankommt, bei den Mengen und nicht bei den Preisen.	If you want to maintain a market organisation, you have to get to grips with what matters – the quantities rather than the prices.
Ich bin dezidiert dagegen, dass für diese Rückführung der Menge, was ich Pervertierung nenne, wofür die Zuckerwirtschaft selbst verantwortlich ist, nun Prämien gezahlt werden.	I am strongly opposed to bonuses being paid for the reduction in quantity that I regard as perversion and for which the sugar industry itself bears responsibility.
Es ist unsinnig, und die Bauern haben auch nichts davon, dass diese 1,3 oder 1,5 Milliarden als Prämie ausgezahlt werden – sie gehen in die große Armee und kommen den Betrieben nicht zugute –, sondern es kommt darauf an, dass die Zuckerwirtschaft so gestaltet wird, dass da, wo Zucker angebaut wird, auch Geld verdient wird.	It makes no sense, and does not benefit the farmers, for these 1.3 or 1.5 billion to be paid out as bonuses – they are swallowed up and do not benefit the farms. Instead, what matters is that the sugar business should be arranged in such a way that the cultivation of sugar makes money.
Das ist eben nicht beim C-Zucker, und deshalb darf C-Zucker nicht mehr auf den Weltmarkt kommen.	That does not happen with C sugar, and that is why C sugar must no longer be allowed on the global market.
Damit können die Bauern machen, was Sie wollen, ihn aber nicht auf dem Weltmarkt werfen.	Farmers can do with it whatever they like – anything, that is, other than dumping it on the global market.
Das müssen wir festlegen. Diese 1,3 Milliarden Euro, die dann nicht für die Prämie genutzt werden, die müssen wir in einen Fonds für die ländliche Wirtschaftsentwicklung und die Diversifizierung in den LDC-Ländern und in den AKP-Ländern stecken, um Ihnen eine Wirtschaftsentwicklung zu ermöglichen.	That is something we have to lay down, and what we have to do with the EUR 1.3 billion that are not going to be used as a bonus is to put them in a fund for the development of the rural economy and for diversification in the least-developed countries and in the ACP countries, in order to enable their economies to develop.
Auch eine Entschädigung in diesen Ländern ist vollkommener Unsinn, denn wenn sie am Zucker kein Geld mehr verdienen und dann entschädigt werden, woraus sollen sie dann eine Wirtschaftentwicklung bezahlen?	Nor does it make any sense whatsoever to compensate these countries, for if they are compensated for no longer making any money out of sugar, from what are they meant to fund their economic development?
Wir müssen das Geld wirksam machen, das wir in diese Länder tun, und es nicht als Entschädigung zahlen, sondern wir müssen eine Wirtschaftsentwicklung initiieren, die darauf zielt, nicht nur vom Zucker abhängig zu sein, sondern zwar den Zucker mit den Präferenzen und den Lieferkontingenten, die sie haben in die Europäische Union liefern zu können und daran Geld zu verdienen, aber dann auch ihre Eigenversorgung und die ländliche Entwicklung im handwerklichen und technischen Bereich nach vorne zu bringen.	We put money into these countries, and we have to put it to work – not by paying it as compensation, but by initiating economic development, by making them dependent on things other than sugar, enabling them to earn money by supplying sugar to the European Union with the preferences and quotas that they have, whilst at the same time enabling them to provide for themselves and promoting rural development in the artisanal and technical spheres.
Das wäre eine vorwärts gerichtete Strategie, wo wir in der Zuckermarktordnung auch gleichzeitig eine Entwicklungsstrategie entwickeln und einmal grundsätzlich überlegen, wie Welthandel denn stattzufinden hat.	It would be a forward-looking strategy if we were to use the market organisation for sugar as a means to come up with a development strategy and to consider the fundamentals of the shape global trade should take.
In allen Fraktionen haben wir Liberalisierungstendenzen. Das sehen wir an den Änderungsanträgen, auch in meiner Fraktion, und Sie, Frau Fischer Boel, kommen, ohne dass Sie es möglicherweise wollen, genau diesen Tendenzen entgegen, indem Sie in fünf Jahren den nächsten Schritt machen müssen und im Grunde dann die Zuckermarktordnung zunichte machen.	Liberalising tendencies are present in all our political groups; that much is apparent from the amendments, including those from my own group, and you, Commissioner Fischer Boel, are – perhaps without even wanting to – making concessions to those tendencies by having to take the next step in five years’ time, when you will, in essence, be doing away with the organisation of the markets in sugar.
