. – Herr Präsident, meine sehr geehrten Damen und Herren!	.
Vor einigen Tagen ist es der Kommission mit unserer Unterstützung gelungen, mit China eine Vereinbarung zu treffen. Mit dieser Vereinbarung soll die europäische Textilindustrie vor einem Tsunami chinesischer Textilien geschützt werden.	Mr President, ladies and gentlemen, a few days ago, the Commission, with our support, succeeded in coming to an agreement with China, the object of which is to protect the European textile industry from a veritable tsunami of Chinese textiles.
Das hat gute und schlechte Seiten. Gut ist, dass die südeuropäische Textilindustrie damit eine Atempause bekommt.	There is good and bad in this.
Aber betrachten wir doch einmal die schlechten Seiten der Vereinbarung: Wir haben wieder Quoten eingeführt. Damit machen wir genau das, wofür wir China immer kritisieren: Wir bauen Handelshemmnisse auf.	It is good that it gives the textile industry in southern Europe some breathing space, but let us also consider the agreement’s negative aspects: by reintroducing quotas, we are establishing barriers to trade, and that is what we always criticise the Chinese for doing.
Wer legt wann fest, welcher Importeur welche Quoten zugeteilt bekommt? ?	Who is to determine which importer is allocated which quota?
Oder werden diejenigen bevorzugt, die bereits längere Lieferverträge haben?	Is it to be done on the basis of ‘first come, first served’, or is there to be preferential treatment for those who already have longer-standing contracts to supply?
Oder gibt es andere Varianten?	Are there perhaps other variations?
Mit welcher Begründung und wie will die Kommission das festlegen?	If so, with what justification, and how does the Commission propose to determine that?
Was ist mit Kaufhäusern und Händlern, die in China im Vertrauen auf das Auslaufen der Quoten große Bestellungen getätigt haben?	What about the supermarkets and traders who, in anticipation of the quotas expiring, have placed big orders in China?
Bekommen sie ihre Waren?	Will they get their goods?
Bleiben die Regale nun leer? Oder bezahlt ihnen jemand einen Ausgleich, wenn sie nun irgendwo anders auf der Welt teurere Produkte kaufen müssen?	Will the shelves now remain unreplenished, or will someone pay them compensation if they have to buy their products less cheaply elsewhere in the world?
Was ist mit europäischen Textilunternehmen, die im Vertrauen auf den Wegfall der Quoten ihre Produktion nach China verlagert und im Gegenzug Marketing und Vertrieb in Europa weiter gestärkt haben?	What about the European textile firms, who, in anticipation of the quotas expiring, have, on the one hand, relocated their production to China and, on the other, have further expanded their marketing and distribution in Europe?
Können sie sich von ihren eigenen Fabriken in China beliefern lassen, oder haben sie nun einfach Pech und sind ihrer Grundlage beraubt und müssen ihre Mitarbeiter in Europa entlassen, weil die Quoten wieder eingeführt wurden?	Can they get supplies from their own factories in China, or will the reintroduction of quotas be just tough luck on them for having lost their livelihood and been obliged to lay off their workers in Europe?
Was ist mit den Textilherstellern, die sich in den vergangenen Jahren auf eigene Kosten restrukturiert haben?	What about the textile manufacturers who have spent the last few years and their own money restructuring themselves?
Werden sie nun dadurch bestraft, dass diejenigen Unternehmen, die sich der Herausforderung bisher nicht gestellt haben, Gelder aus den Strukturfonds erhalten?	Will they now be penalised, while the companies that did not face up to the challenge get money from the Structural Funds?
Wir geben den Unternehmen, die sich bisher nicht auf die neue Situation auf den Weltmärkten eingestellt haben, eine letzte Chance, dies endlich nachzuholen. Es ist jedoch nicht Aufgabe einer europäischen Protektions- und Subventionspolitik, die Textilindustrie dauerhaft vor der Zukunft zu beschützen.	To those businesses that have not so far come to terms with the new on the global markets we are giving a final chance to make good their omission, but it is no part of any European protection and subsidy policy’s remit to be the textile industry’s permanent insurance against the future.
Dies ist die ureigenste Aufgabe der Unternehmen, der Unternehmensleiter und der Mitarbeiter. Ich rufe diese daher auf, sich dieser Herausforderung zu stellen!	We are talking here about what businesses, their managers and workers, are fundamentally for, and so I call on them to face up to this challenge.
