im Namen der ALDE-Fraktion. - Frau Präsidentin! Ich bin überrascht, erfreut und besorgt.	Madam President, I am surprised, pleased and concerned all at the same time.
Überrascht bin ich über die Geschwindigkeit, mit der der Berichterstatter des Parlaments in einem Hinterzimmergespräch mit der Ratspräsidentschaft nahezu alles vom Tisch gefegt hat, was dem Parlament bei diesem Dossier in den letzten zwei Jahren wichtig war.	My surprise is at the speed at which Parliament's rapporteur, in a back-room meeting with the Council Presidency, managed to sweep practically everything from the table that Parliament has considered to be of importance to this dossier over the last two years.
Das sollte nicht der Maßstab sein, wie wir das Klimapaket, das vor uns liegt, jetzt noch diskutieren, denn das ist Hinterzimmerpolitik und keine transparente Demokratie.	This should not be the benchmark for our debate of the energy package that is before us, for that is back-room politics not transparent democracy.
Erfreut bin ich darüber, dass wir am Boden geblieben sind.	However, I am pleased that we have kept our feet on the ground.
Es ist bei der Einbeziehung der Airlines ganz besonders wichtig, bei den Kosten des Systems am Boden zu bleiben, denn jede Fluggesellschaft, die heute schon kein effizientes Treibstoffmanagement betreibt, tut das bei Strafe ihres Untergangs.	In our inclusion of the airlines it is especially important to keep the cost of the system down, for any airline today that does not operate an efficient fuel management regime pays for it with their own demise.
Besorgt bin ich über das Wunschdenken, das bei manchen von uns in Bezug auf die internationale Situation herrscht.	Finally, I am concerned at the wishful thinking that seems to be affecting many of us as regards the international situation.
Herr Liese, der Emissionshandel in den USA ist nicht am Präsidenten gescheitert, sondern im Senat, in dem die Partei, die die Mehrheit hat, möglicherweise das nächste Mal den Präsidenten stellt.	Mr Liese, emissions trading in the US was not rejected by the President but was defeated in the Senate, in which the party that holds the majority could well be providing the President the next time round.
Wir haben hier das Problem einer realistischen Einschätzung der Situation, denn selbst wenn es gelingt, die Amerikaner davon zu überzeugen, auch Emissionshandel zu betreiben, haben wir noch eine ganze Reihe anderer Staaten auf dieser Welt, bei denen ich mir nicht sicher bin, wie wir mit denen überhaupt reden wollen.	We really need to be realistic in our assessment of the situation, for even if we succeed in convincing the Americans to join in the emissions trading system we shall still be faced with a list of other countries around the world and I personally am not sure how we are ever going to start talking to them.
Ich denke da zum Beispiel an den Emir von Dubai.	I am thinking for example of the Emir of Dubai.
Diese Region ist wirtschaftlich für uns die viel größere Herausforderung, der Wettbewerb mit ihr ist viel wichtiger als der mit ein paar - verzeihen Sie mir dieses Wort - bankrotten US-Airlines.	In commercial terms this region is for us a much greater challenge and the competition from that particular source is much more significant than that which comes from a couple of - if you will forgive the word - bankrupt US airlines.
Das haben wir hier völlig außer Acht gelassen.	This is something that we have completely ignored.
Es ist sehr wichtig, Augenmaß zu behalten, Augenmaß in der Frage, dass wir sicherlich voranschreiten sollten, aber nicht so weit voranschreiten sollten, dass uns die anderen nicht mehr hinterherlaufen.	It is very important to keep a sense of proportion, a sense of perspective when debating that we should certainly move ahead but not make so much progress that the others can no longer keep up with us.
Wir provozieren hier einen Handelskrieg.	We are provoking a trade war here.
Auch das haben Sie, Herr Liese eins zu eins bei Ihren Anhörungen im US-Kongress zu hören bekommen - das sagen Sie hier lustigerweise nie offen.	This is something, Mr Liese, that you must have been made aware of one-to-one during your hearings in the US Congress, though funnily enough you will never say that openly here.
Deswegen haben wir jetzt einen Kompromiss, der einigermaßen realitätsnah ist, aber hoffentlich von dem Prozedere her nicht ...	For this reason we now have a compromise that is fairly realistic but, it is to be hoped, in terms of procedure is not ...
(Die Präsidentin entzieht dem Redner das Wort.)	(The President cut off the speaker)
