im Namen der PSE-Fraktion. - Herr Präsident, Herr Ministerpräsident Topolánek!	on behalf of the PSE Group. - Mr President.
Sie führen die letzte Ratspräsidentschaft in dieser Wahlperiode des Europäischen Parlaments.	Prime Minister Topolánek, you are heading the last Council Presidency of the current term of the European Parliament.
Die erste Ratspräsidentschaft dieser Wahlperiode war die niederländische, geführt von Herrn Balkenende. Kein Mensch erinnert sich mehr daran, was er hier gesagt hat und was wir ihm geantwortet haben.	This parliamentary term started with the Dutch Presidency, headed by Mr Balkenende, and no one remembers what he said here and what we replied.
Deshalb ist das, was wir jetzt in den nächsten fünf bis sechs Monaten miteinander diskutieren und erreichen, die Grundvoraussetzung für eine hohe Wahlbeteiligung bei der Europawahl.	Therefore, what we discuss and achieve together now, in the next five or six months, will be the fundamental precondition for a high turnout in the European elections.
Wenn die Menschen sehen, dass wir, d. h. die Präsidentschaft, das Parlament, die Kommission, es in einer krisenhaften Situation schaffen, gemeinschaftlich in Kooperation die vor uns liegenden Aufgaben zu lösen, dann bin ich sicher, dass das eine positive, eine konstruktive Grundstimmung im Vorfeld der Europawahl schafft.	If people see that we - the Presidency, Parliament and the Commission - have come together and successfully met the challenges facing us in a crisis situation, I am sure that this will create a fundamentally positive and constructive mood in the run-up to the European elections.
Deshalb haben wir als Sozialdemokratinnen und Sozialdemokraten im Parlament ein Interesse am Erfolg Ihrer Präsidentschaft.	That is why we, the Socialist Group in the European Parliament, have an interest in the success of your Presidency.
Ich hatte zu Beginn Ihrer Präsidentschaft in den ersten Tagen einige Zweifel. Herr Schwarzenberg sagt, Israel macht von seinem Selbstverteidigungsrecht Gebrauch, und ergreift einseitig Partei in einer Phase, in der wir eigentlich die Europäische Union als Vermittler brauchen.	I had some doubts in the first few days of the Presidency, when Mr Schwarzenberg said that Israel was exercising its right of self-defence and aligned himself with one party in a period when the European Union was needed as a mediator.
Das ist korrigiert, das ist gut.	He put that right, which is a good thing.
Sie selbst sagen, bei dem Konflikt um den Gasstreit treten wir nicht als Vermittler auf. Das ist zwischenzeitlich korrigiert.	Mr Topolánek, you yourself said, 'we shall not mediate in the gas conflict'.
Sie haben das gut gemacht.	You have now put that right.
Es gab anfangs Schwierigkeiten, aber sie sind jetzt beherrscht, und das ist gut so.	There were some initial problems, but they have now been overcome, which is a good thing.
Wenn das, was am Anfang an Unsicherheit da war, jetzt tatsächlich dazu führt, dass - und ich will unterstreichen, Herr Barroso hat Recht - die Ergebnisse Ihrer Aktivitäten positiv sind, dann haben Sie die volle Unterstützung unserer Fraktion.	If the initial uncertainties - and I should like to emphasise that Mr Barroso was right about this - now in fact lead to your activities producing positive results, you will have the full support of our group.
Das gilt auch für die Rede, die Sie heute Morgen hier gehalten haben, die wir alle mit großem Wohlwollen und auch mit einem Gefühl von Zuversicht für die nächsten Monate gehört und zur Kenntnis genommen haben.	That also goes for the speech you held here this morning, which we all listened to and noted with great goodwill and also with a feeling of confidence for the next few months.
Ich will einen Punkt herausgreifen, den Sie genannt haben.	I should like to take up one of the points you raised.
Sie zitierten meinen Freund Joseph Doyle, der hier gesagt hat - er ist sonst ein kluger Mann, aber das war ein Irrtum -, es handelte sich bei der Finanzkrise nicht um eine Niederlage des Kapitalismus.	You quoted my friend Mr Daul - a clever man, but in this case he was wrong - who said here that the financial crisis did not represent the defeat of capitalism.
