Frau Präsidentin, die vorliegende niederländische Initiative ist grundsätzlich zu begrüßen.	Madam President, this Dutch initiative is fundamentally to be welcomed.
Eine solche Initiative für eine europäische Zusammenarbeit zur effektiveren Verbrechensverfolgung ist zu unterstützen, insbesondere dann, wenn es um so verabscheuungswürdige Taten wie Völkermord, Verbrechen gegen die Menschlichkeit und Kriegsverbrechen geht.	An initiative of this kind towards European cooperation in more effective prosecution of crime deserves support, especially when the crimes in question are as detestable as genocide, crimes against humanity and war crimes.
Mein Ziel war es, die Initiative hinsichtlich des Verfahrens des Informationsaustauschs unter den Anlaufstellen so einfach wie möglich zu halten. Diese Absicht wird auch von deutscher und niederländischer Ratsseite unterstützt.	I aimed to keep the initiative on exchange of information among the contact points as simple as possible, something which the Germans and the Dutch supported in Council.
Insofern hätte ich es für richtig erachtet, in Artikel 2 Absatz 2 auf das aktuell geltende Rechtshilferecht zwischen den Mitgliedstaaten zu verweisen, das in bi- und multilateralen Verträgen niedergelegt ist.	That being so, I would have considered it right to refer, in Article 2(2) to the law on judicial assistance between Member States currently in force and laid down in bilateral and multilateral agreements.
Entgegen der Meinung des Berichterstatters existiert auch tatsächlich zwischen allen Mitgliedstaaten ein solches Abkommen, nämlich jenes, das vom Europarat am 20. April 1959 verabschiedet wurde.	Whatever the rapporteur may think, such an agreement does indeed exist between all the Member States; it is the one that was adopted by the Council of Europe on 20 April 1959.
Darüber hinaus gibt es ein neues, aktuelleren Gegebenheiten angepasstes Rechtshilfeabkommen vom Mai 2000, das nur noch nicht von allen Mitgliedstaaten ratifiziert ist.	Over and above that, there is a new judicial assistance agreement dated May 2000, which is adapted to more modern circumstances but has not yet been ratified by all the Member States.
Dieses neue Rechtshilfeabkommen würde bereits eine deutliche Vereinfachung darstellen, was also die Schaffung eines neuen Verfahrens überflüssig gemacht hätte.	This new judicial assistance agreement would already represent a marked simplification, and would also make the creation of a new procedure superfluous.
Nun war zwar der Berichterstatter mit dem Verweis auf die bestehenden Abkommen einverstanden, wollte jedoch die Streichung des neu einzuführenden Verfahrens in den Artikeln 3 bis 6 nicht unterstützen.	Now, the rapporteur was in agreement with the reference to the existing agreement, but was not willing to support the deletion of the procedure in Articles 3 to 6, which was to be newly introduced.
Da ich nicht das Risiko eingehen wollte, dass der Ausschuss einen solch widersprüchlichen Bericht verabschiedet, habe ich letztlich davon abgesehen, die vorgenannten Änderungsanträge einzureichen. Meine starken Bedenken bestehen jedoch weiterhin.	As I did not want to risk the committee adopting such a contradictory report, I finally refrained from submitting the amendments I have referred to, but I still have serious misgivings.
Ebenso möchte ich aber betonen, dass ich die Schaffung eines europäischen Netzes von Anlaufstellen für außerordentlich wichtig erachte.	Equally, though, I would like to emphasise that I see the creation of a European network of contact points as extraordinarily important.
Ich hoffe auch, dass der Erfolg dieses Netzes und dieser wichtigen Initiative nicht durch Verfahrensauseinandersetzungen beeinträchtigt wird.	I also hope that the success of this network and of this important initiative will not be impaired by procedural disputes.
Ich gratuliere Herrn Kirkhope zu seinem Bericht.	I congratulate Mr Kirkhope on his report.
