. – Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen!	.
Meine Fraktion unterstützt diesen Initiativantrag, auch die Anfrage an die Kommission. Die Antwort war deutlich, und ich hoffe, wir werden jetzt mit dieser gemeinsamen Strategie vorankommen.	Mr President, Commissioner, ladies and gentlemen, my group endorses this own-initiative motion, and also the question to the Commission, to which a clear answer has been given, and I hope that this common strategy will enable us to make headway.
Ich bin schon länger in diesem Parlament und kann mich an viele Anläufe erinnern.	I have been a Member of this House for quite some time and can remember many attempts being made at this.
Ich kann mich auch an Probleme erinnern, die mein Vorredner, Herr Belet, angesprochen hat: Technologieneutralität.	I also recall the problems to which Mr Belet has just referred.
Das ist ein für den Wettbewerb sehr wichtiges Stichwort. Wir hatten ein solches Problem schon vor einigen Jahren.	Technological neutrality is a very important term where competition is concerned.
Dass die Frequenzinterferenzen mit dem analogen Rundfunk eine wichtige Rolle spielen, dass sie uns teilweise in der Entwicklung sogar behindern können, ist erkannt und angesprochen worden.	We had this sort of problem several years ago, when we realised and addressed that the importance of frequency interference with analog broadcasting, could even, to some extent, hamper our development.
Ich glaube, wir müssen sehr großes Augenmerk darauf legen, dass die Entwicklung dadurch nicht behindert wird.	I believe we must give a great deal of attention to ensuring that it does not do so.
Aber für mich und unsere Fraktion ist auch sehr wichtig, noch einmal darauf hinzuweisen, dass es uns gelingen muss, die Bürgerinnen und Bürger in der Europäischen Union, die Verbraucher, die diese Technik nachher kaufen und nutzen sollen, transparent, offen, fair und rechtzeitig zu informieren, um Ängste und Widerstände abzubauen.	Along with our group, though, I think it very important that the point again be made that we have to succeed in informing the consumers, the public in the European Union, in a transparent, frank and fair manner, and in good time, for it is they who are meant, in due course, to buy and use this technology, and it is their fears that need to be allayed and their resistance that has to be overcome.
Wenn man persönlich – und das tue ich manchmal – in die einschlägigen Geschäfte geht, sieht man, wie die Angebote der Hersteller aussehen: Da gibt es diese Digital-TV-Geräte schon.	If you go, as I do from time to time, into the relevant shops, you can see what the manufacturers have on offer, for the digital television sets are there already.
Die Kunden schauen sich das an und sehen eine DVD in digitaler Form und sind von der Bildqualität begeistert, und dann sehen sie auf dem gleichen Bildschirm ein analoges Fernsehprogramm und staunen, wie groß der Unterschied ist.	The customers have a look at them; they watch a digital-format DVD and enthuse about the picture quality, and then they see an analog TV programme on the same screen and are astonished at how great the difference is.
Ich glaube, wenn man den Bürgern die Vorteile nennt und klare Angaben liefert, wann diese Umstellung stattfinden wird; wenn die Industrie mit Blick auf die Marktpenetration dieser Geräte faire Preise macht, bin ich optimistisch, dass wir auf diesem Gebiet im Jahr 2010 die Konkurrenz in den anderen Teilen der Welt eingeholt haben werden.	I believe that, if the public are told about the benefits and are given details of when this changeover is to take place, and if the industry aims for market penetration by charging fair prices for these devices, I am optimistic that we will, by 2010, have caught up with our competitors in this field in other parts of the world.
Aber wichtig ist für mich, dafür zu sorgen, dass wir unsere Bürgerinnen und Bürger rechtzeitig auf diesen Weg ins digitale Fernsehzeitalter mitnehmen.	What I do see as important, though, is that we make sure that we do not miss the boat when taking our people into the digital era.
Ansonsten bedanke ich mich für die – wie immer – herzliche, intensive und gute Zusammenarbeit mit der Kollegin Barsi-Pataky.	Quite apart from that, let me say how grateful I am for the customary warm, close and good cooperation with Mrs Barsi-Pataky.
