Frau Präsidentin!	.
Zur Frage des Abgeordneten Sonik möchte ich eingangs feststellen, dass der Rat sehr wohl die Besorgnis des Abgeordneten teilt.	Madam President, in reply to Mr Sonik’s question, I would like to begin by saying that the Council very much shares the honourable Member’s concern.
Das ist auch der Grund, warum der Rat schon vor einigen Jahren eine Reihe zentraler Themenbereiche umrissen hat, in denen die Europäische Union im Rahmen des Dialogprozesses Fortschritte anstrebt.	That is also the reason why, several years ago now, the Council outlined a number of key areas in which the European Union is seeking to make progress in the dialogue process.
Dazu gehört insbesondere auch die ungehinderte Ausübung – sowohl in der Öffentlichkeit als auch privat – der Religions- und der Glaubensfreiheit und die Achtung der kulturellen Rechte und der religiösen Freiheit in Tibet und Xinjang.	These include in particular the unrestricted exercise – both in public and in private – of the freedom of religion and belief and respect for cultural rights and religious freedom in Tibet and Xinjiang.
Die Religionsfreiheit stand daher bei Zusammenkünften zwischen der EU und China deutlich hervorgehoben auf der Tagesordnung, und zwar nicht nur bei Dialogsitzungen, sondern auch auf höherer Ebene.	Religious freedom has therefore been clearly highlighted on the agenda at meetings between the EU and China, not only at dialogue meetings but also at higher levels.
Ich kann aus eigener Erfahrung sowohl in meiner früheren Funktion als Rechtsberater, der auch für die Menschenrechte zuständig war, als auch in meiner jetzigen Funktion bestätigen, dass diese Themen tatsächlich auf den verschiedensten Ebenen angesprochen werden.	I can confirm from my own experience, both in my former work as a legal adviser who was also responsible for human rights and in my present position, that these subjects are in fact being raised at a great variety of levels.
Entsprechend dieser Schlussfolgerung des Rates hat die Europäische Union nicht nur die Verfolgung von Christen, die Einschränkung bei Hauskirchen und die Verteilung von Bibeln in Gefängnissen systematisch zur Sprache gebracht, sondern auch die Verfolgung von Buddhisten, Muslimen und Angehörigen der Bewegung Falun Gong, ein Thema, das die EU bei vielen Gelegenheiten anspricht.	In line with this conclusion of the Council, the European Union has regularly raised not only the persecution of Christians, the restrictions on house churches and the distribution of Bibles in prisons, but also the persecution of Buddhists, Muslims and members of the Falun Gong movement, a subject that the EU brings up on many occasions.
Wir haben auch klar zum Ausdruck gebracht, dass diese Praktiken unserer Meinung nach einen Verstoß gegen die internationalen Verpflichtungen Chinas darstellen.	We have also made it clear that in our view these practices are in breach of China’s international obligations.
In jüngster Zeit wurde bei den Dialogen im September 2004 und Oktober 2005 die Religionsfreiheit eingehend erörtert, und die EU-Troika hat im Rahmen des Dialogs Tibet und Xinjang besucht.	Quite recently, freedom of religion was discussed in detail at the dialogues in September 2004 and October 2005, and the EU Troika has visited Tibet and Xinjang in connection with the dialogue.
Die EU hat China regelmäßig aufgerufen, den Empfehlungen des UN-Sonderberichterstatters und der UN-Gremien auf dem Gebiet der Religions- und der Glaubensfreiheit nachzukommen.	The EU has regularly called on China to comply with the recommendations of the UN special rapporteur and the UN committees relating to freedom of religion and belief.
Sie hat auch kontinuierlich konkrete Fälle angesprochen und gefordert, dass die chinesischen Behörden Berichte über Folter untersuchen und Angaben zur Verurteilung machen.	It has also continually raised specific cases and called on the Chinese authorities to investigate reports of torture and provide information on sentencing.
Das Ergebnis dieser Gespräche war bislang, dass die EU zwar die Gelegenheit begrüßt hat, eingehende Gespräche mit einschlägigen Ministerien, Behörden usw. zu führen, aber viele ihrer Bedenken bestätigt sah, was Beschränkungen der Religionsfreiheit in China betrifft.	The outcome of these talks up until now has been that while the EU has welcomed the opportunity to hold detailed talks with relevant ministers, authorities, etc, it found many of its concerns about restrictions of religious freedom in China confirmed.
Im Jahre 2005 hat China den UN-Sonderberichterstatter über Religions- und Weltanschauungsfreiheit offiziell eingeladen, und die EU sieht der Bestätigung eines Besuchstermins erwartungsvoll entgegen.	In 2005, China sent an official invitation to the UN special rapporteur on freedom of religion or belief, and the EU looks forward expectantly to the confirmation of a date for the visit.
Man muss schon feststellen, dass diese Einladung immerhin ein wesentlicher Fortschritt ist.	It has to be said that this invitation itself is a major step forward.
Die Europäische Union wird sich weiterhin auf allen Ebenen für die Verwirklichung der Religions- und Weltanschauungsfreiheit in China einsetzen, u. a. im Rahmen des Prozesses der Ratifizierung und Durchführung des Internationalen Pakts über bürgerliche und politische Rechte.	The European Union will continue to press at all levels for genuine freedom of religion and belief in China, not least as part of the process of ratification and implementation of the International Pact on Civil and Political Rights.
