Herr Präsident!	Mr President, on behalf of the CSU, I too would like to voice support for Mr Trichet.
Auch im Namen der CSU möchte ich die Unterstützung für Herrn Trichet zum Ausdruck bringen.	This is due firstly to his professional competence and secondly to his personal qualities, for he will continue the tradition established by Mr Duisenberg.
Dies ist zum einen in seiner Fachkompetenz und zum anderen in seiner Person begründet, denn er wird die Tradition von Herrn Duisenberg fortführen, und im Gegensatz zu meiner sehr geschätzten Kollegin Villiers, die ja kritisiert hat, dass nicht sehr viel Neues von ihm kam, ist das genau der Punkt, den wir erwarten, dass er für Kontinuität an der Spitze der EZB eintritt.	Although my highly esteemed colleague Mrs Villiers criticised Mr Trichet on the grounds that he did not have anything new to say, that is precisely what we are looking for. We want him to stand for continuity as the head of the ECB.
Dies gilt insbesondere für die Kernaufgabe der EZB - niedrige Inflation, Einsatz für die Unabhängigkeit der EZB und Kampf für die Einhaltung des Stabilitätspakts.	This applies especially to the ECB's core tasks - low inflation, a commitment to the ECB's independence, and the struggle to uphold the Stability Pact.
Hier erhoffe ich mir insbesondere von ihm als Franzosen, dass er sich kritisch auch mit seinem Heimatstaat auseinander setzt, und ich hoffe unter anderem auf die beiden Kommissare, die heute zu Gast im Plenum sind, auf Herrn Solbes und Herrn Bolkestein, dass sie für die Einhaltung des Stabilitätspakts kämpfen.	In this context, I especially hope that, as a Frenchman, he will deal critically with his home country. I also hope that the two Commissioners who are our guests here in plenary today, Mr Solbes and Mr Bolkestein, will fight to uphold the Stability Pact.
Schweden war ja ein Beispiel dafür, wie eine verfehlte Haushaltspolitik in den Mitgliedstaaten das Votum mit beeinflussen kann.	Sweden showed us how the wrong budgetary policy in the Member States can influence the vote.
Was mir an dieser Aussprache sehr stark missfällt, ist, dass immer wieder die EZB kritisiert wird.	What I really do not like about this debate is the constant criticism of the ECB.
Die EZB wird in die Verantwortung genommen, die Lissabon-Ziele zu erreichen.	The ECB is being held responsible for meeting the Lisbon objectives.
Die Hauptverantwortung, die Lissabon-Ziele zu erreichen, hat nicht die EZB, hat auch nicht die Kommission.	The main responsibility for meeting the Lisbon objectives lies not with the ECB or indeed with the Commission.
Sie können beide dazu beitragen, aber die Verantwortung haben vor allem die Mitgliedstaaten, und hier wurde in den Nationalstaaten sehr viel Zeit verloren, die entsprechenden Hausaufgaben zu machen.	They can both contribute to the process, but the chief responsibility lies with the Member States, and a great deal of time has been lost here because Member States have not done their homework.
Ich bitte diejenigen, die hier regelmäßig die EZB in die Verantwortung nehmen und kritisieren, mit gleicher oder mit noch mehr Intensität die Verfehlungen in den Mitgliedstaaten zu kritisieren.	I would ask all of you who regularly hold the ECB responsible and voice criticism of it to be equally or even more critical of the Member States' failures.
Ich glaube, damit wäre uns weitaus mehr geholfen.	I think that would take us much further forward.
