Herr Präsident! Herr Onesta hat mich gefragt, wie ich den Artikel 149 Absatz 4 lese.	Mr President, Mr Onesta asked me how I read Rule 149(4).
Ich verstehe zwar, dass Kollege Posselt und andere sagen, lasst uns doch trotzdem agieren, auch wenn wir die Geschäftsordnung nicht einhalten.	I do understand that Mr Posselt and others are saying that we should act anyway, even if we do not keep to the Rules of Procedure.
Ich bin da sehr froh, wie der Kollege argumentiert hat: Entweder haben wir eine Geschäftsordnung und wir halten uns daran oder wir halten uns nicht daran und dann brauchen wir auch keine.	I am delighted with the Member's argument: either we have Rules of Procedure and keep to them, or we do not keep to them and therefore do not need them.
Ich bin zwar Vorsitzender des Geschäftsordnungsausschusses, aber diesen Artikel haben Kollegen vor mir gemacht und mit absoluter Mehrheit im Plenum beschlossen.	I may be Chair of the Committee on Constitutional Affairs, but it was Members before me who made this rule and adopted it in plenary with an absolute majority.
Absatz 4 ist nun einmal eindeutig.	Paragraph 4 is quite clear.
Er besagt: "Die Mitglieder, die die Feststellung der Beschlussfähigkeit beantragt haben, werden bei der Ermittlung der Anwesenheit auch dann hinzugerechnet, wenn sie im Plenarsaal nicht mehr anwesend sind."	It states: 'Members who have asked for the quorum to be established shall be counted as being present [...], even if they are no longer in the Chamber.'
Das ist eindeutig.	That is clear.
Wenn 40 Abgeordnete, die bei der Sitzung in Straßburg dabei waren, beantragen, eine Abstimmung bzw. das Quorum zu überprüfen, dann werden sie zu denen hinzugerechnet, die da sind.	If 40 Members, who were present at the sitting in Strasbourg, request that the vote or quorum be established, then they will be added to the number of those present.
So lese ich das.	That is how I read it.
Wenn man das anders haben will, dann muss man diesen Artikel 4 ändern, aber er steht nun einmal so da.	If you wish to have it otherwise, then you have to change paragraph 4 but, as for now, it reads as it reads.
Herr Posselt, jeder der das so liest, muss das so verstehen, das ist gar nicht anders zu verstehen.	Mr Posselt, anyone who reads it must understand it that way; there is no other way to understand it.
Also, Herr Präsident, Sie haben jetzt die Entscheidungsbefugnis.	Therefore, Mr President, now it is up to you to take a decision.
