Wir könnten jetzt noch eine weitere halbe Stunde darüber diskutieren.	We could spend another half hour discussing this.
Das korrekte Vorgehen sieht eine Abstimmung über den Antrag der Fraktion der Grünen/Europäischen Freien Allianz vor.	The correct procedure is that we vote on whether or not to meet the request by the Group of the Greens/European Free Alliance.
Ich habe versucht, Ihnen mit meinem Vorschlag einer weiteren Diskussion entgegenzukommen, die wir nach der Abstimmung halten können, ob wir eine Erklärung der Kommission möchten. Aber diese Reihenfolge muss eingehalten werden.	I have tried to help out with my proposal that we hold another discussion afterwards as to whether we want a Commission statement, but things cannot be done in any other order.
(Das Parlament lehnt den Antrag ab.)	(Parliament rejected the request)
Mittwoch:	Wednesday:
Ich möchte Sie davon in Kenntnis setzen, dass 113 Änderungsanträge zum Bericht von Frau Elisa Ferreira über den europäischen Konjunkturplan eingereicht wurden.	I wish to inform you that 113 amendments have been tabled to the report by Mrs Elisa Ferreira on a European Economic Recovery Plan.
Das sind mehr als der Schwellenwert von 50 Änderungsanträgen gemäß Artikel 156 der Geschäftsordnung, weshalb ich diese Texte zur Behandlung an die verantwortlichen Ausschüsse übersendet habe.	This exceeds the threshold of 50 amendments laid down in Rule 156, and so I have referred these texts for consideration by the committee responsible.
Die Ausschüsse treten heute Abend zusammen, und die Debatte über den Bericht bleibt auf der Tagesordnung für Mittwoch.	The committee meets this evening, and the debate on the report remains on the agenda for Wednesday.
Die Fraktion der Europäischen Volkspartei (Christdemokraten) und Europäischer Demokraten hat den Antrag gestellt, die mündlichen Fragen an den Rat und die Kommission zu SIS II um 15.00 Uhr als erstes Thema der Nachmittagssitzung zu behandeln.	The Group of the European People's Party (Christian Democrats) and European Democrats has requested that the oral questions to the Council and the Commission on SIS II be dealt with at 3 p.m., as the first item of the afternoon sitting.
Da alle Fraktionen ihre Zustimmung erteilt haben, wird die Tagesordnung entsprechend geändert.	Since all the political groups have given their agreement, the agenda will be amended accordingly.
Ich wurde gerade darauf hingewiesen, dass ich etwas für Dienstag übersehen habe: Die Sozialdemokratische Fraktion im Europäischen Parlament hat den Antrag gestellt, die Nachmittagsdebatten um eine halbe Stunde zu verlängern und somit die Fragstunde an die Kommission von 18.30 Uhr bis 20 Uhr abzuhalten.	I have just been informed that I have overlooked something relating to Tuesday: the Socialist Group in the European Parliament has requested that the afternoon debates be extended by half an hour and consequently Question Time with the Commission be held from 6.30 p.m. to 8 p.m.
Ist das richtig?	Is that all right?
(Das Parlament stimmt dem Antrag zu.)	(Parliament approved the request)
Donnerstag:	Thursday:
Die Fraktion der Grünen/Europäische Freie Allianz und die Fraktion der Allianz der Liberalen und Demokraten für Europa haben beantragt, die Debatte über die mündlichen Fragen an die Kommission bezüglich des 50. Jahrestags des Aufstands der Tibeter mit der Einreichung eines Entschließungsantrags zu beenden.	The Group of the Greens/European Free Alliance and the Group of the Alliance of Liberals and Democrats for Europe have requested that the debate on the oral question to the Commission on the 50th anniversary of the Tibetan uprising be wound up with the tabling of a motion for a resolution.
