Zweitens: Es gibt im Parlament für diesen Kopenhagener Gipfel eine klare Positionierung.	My second point is that Parliament has adopted a clear position for the Copenhagen Summit.
Es gibt einen klaren Auftrag, was jetzt erreicht werden soll.	There is a clear remit for what is to be achieved.
Und es gibt einen Auftrag an alle hier im Parlament, sich um das Wohl der Menschen in der Europäischen Union zu kümmern, und zwar in allen Facetten.	There is also a remit for everyone here in Parliament to look after the wellbeing of the people of the European Union, and to do so in every respect.
Wir müssen bei diesen Debatten aufpassen, dass wir nicht nur ein Projekt als das einzige politische Projekt betrachten, das für uns von Bedeutung ist.	In these debates, we must ensure that we do not view one project as the only political project that is significant for us.
Deshalb würde ich mir manchmal wünschen, dass wir bei dem, was wir in Kopenhagen erreichen wollen, darauf achten, uns nicht in Beschwörungsformeln oder in so einem - wie einige Kollegen eben gesagt haben - Wettbewerb der Zahlen zu ergehen, sondern dass wir schauen, was wir konkret und wirksam erreichen können.	I therefore wish, sometimes, that, in our aims for Copenhagen, we would take care to refrain from indulging in conjuring or a numbers race - as another Member said - but instead look at what we can tangibly and effectively achieve.
Was können wir klug erreichen?	What can we shrewdly achieve?
Was sind die Auswirkungen auch auf die Industrie in Europa?	What are the consequences, including for European industry?
Das müssen wir mit betrachten.	We need to also take that into account.
Das ist nicht das einzige Kriterium, aber es ist auch ein Kriterium, und deshalb würde ich mir wünschen, dass wir versuchen, Absprachen zu treffen, die wirklich möglichst konkret sind.	It is not the only criterion, but it must be a criterion, and for that reason I would like to see us try to reach agreements that are really as tangible as possible.
Das bedeutet dann auch, fair zu sein und dass die anderen Industrieländer sich beteiligen, damit es nicht nur ein europäisches Projekt ist.	That also requires being fair and the participation of the other industrialised nations so that this is not just a European project.
Eben hat ein Kollege noch einmal darauf hingewiesen: 10 % tragen wir bei.	Another Member also pointed out that our contribution is 10%.
Der Rest der Welt, die Schwellenländer, die Entwicklungsländer müssen ihren Beitrag leisten.	The rest of the world, the emerging economies, the developing countries, must pay their share.
Wenn wir in Kopenhagen dafür keine präzisen Festlegungen erreichen, wäre mir wohler, wenn wir dann einen politischen Konsens erreichen und Aufträge vergeben würden, um dann in den Monaten danach sehr konkret zu Vereinbarungen zu kommen.	If we do not obtain any precise stipulations in this regard in Copenhagen, I would rather that we obtain a political consensus and assign mandates in order to reach specific agreements in the following months.
Wir sollten in Kopenhagen nicht in irgendeinen Formelkompromiss flüchten und uns vormachen, das wäre ein Ergebnis, um dann in einen Automatismus zu kommen, der dann 30 % lautet.	We should not take refuge in whatever formal compromise can be scrambled to in Copenhagen and kid ourselves that that would be a result that could lead automatically to 30% cuts.
Also Realismus und konkretes Handeln, dann kommt man in der Sache wahrscheinlich weiter.	Realism and negotiating on specifics, then, are what is needed - then we will probably make progress.
