Herr Präsident!	.
Im Sudan brennt es seit Jahrzehnten an vielen Stellen. Außerhalb von Khartum und Omdurman ist eigentlich das gesamte Land durch die Zentralregierung systematisch vernachlässigt worden.	Mr President, there has for decades been no shortage of hotspots in Sudan; the fact is that, outside Khartoum and Omdurman, the whole country has been systematically neglected by central government, and so it is hardly surprising that crises can break out all over the place.
Deshalb wundert man sich auch nicht, dass überall Krisen ausbrechen können. Trotz allem begrüßen wir, wenn sich etwas in die richtige Richtung entwickelt, wie der Abschluss des Friedensabkommens mit dem Süden im Januar.	Nevertheless, we are glad when things go in the right direction, and the conclusion of the peace treaty with the south in January is one example of this.
Es muss von allen Beteiligten unverzüglich umgesetzt werden. Hierzu tragen auch die vom UNO-Sicherheitsrat eingesetzten 10 000 Soldaten der UNO-Mission im Sudan, UNMIS, bei.	All the parties to it must implement it without delay, and the 10 000 UNMIS soldiers deployed by the UN Security Council will help them do this.
Wir danken denjenigen in Darfur, die den vertriebenen, verletzten und vergewaltigten Menschen als Nothelfer beistehen, und begrüßen es, dass die Afrikanische Union ihre Präsenz in Darfur aufstockt.	We thank those in Darfur who are helping the displaced persons, the injured and the victims of rape in their hour of need, and welcome the African Union’s reinforced presence there.
Auch sollten wir unsere Unterstützung, damit sie dort die logistische Hilfe sowie alle anderen Möglichkeiten der Europäischen Union und einzelner Mitgliedstaaten bekommen, nicht unerwähnt lassen.	Nor should we forget to mention the support we have given, enabling them to receive logistical help and other facilities from the European Union and individual Member States.
Ich begrüße, dass der Internationale Strafgerichtshof durch den UNO-Sicherheitsrat mit der Situation in Darfur befasst worden ist.	I am glad that the Security Council has brought the situation in Darfur to the attention of the International Criminal Court.
Ich glaube, das ist ein deutliches Signal an all jene im Sudan, aber auch über seine Grenzen hinaus, dass man nicht ungestraft so vorgehen kann, wie man offenbar glaubt, es in Darfur tun zu können.	I see this as sending a clear message to everyone in Sudan, and also to those beyond its borders, that they cannot – contrary to what they evidently believe – go about doing the things that they are doing in Darfur without being punished for them.
Die Kommission hat die indikative Mittelausstattung auf knapp 400 Millionen Euro festgelegt, die Kommissarin hat es eben gesagt. Ich hoffe, dass die Auszahlung tatsächlich nur bei Umsetzung des Friedensabkommens im Süden und bei einer objektiv feststellbaren Verbesserung der Lage in Darfur erfolgt.	The Commission has – as the Commissioner has just said – earmarked some EUR 400 million in resources for Sudan, and I do hope that this will be paid out only when the peace treaty is implemented in the south and when there have been objective improvements in the situation in Darfur.
Ich halte nämlich die sudanesische Regierung nach wie vor eher für einen Teil des Problems als für einen Teil der Lösung.	I have to say that I still regard the Sudanese Government as part of the problem rather than part of the solution.
Gerade gestern erhielten wir beispielsweise die Nachricht, dass ein Menschenrechtsaktivist verhaftet wurde, kurz bevor er nach Dublin abreisen konnte, wo er einen Menschenrechtspreis erhalten sollte.	For example, we heard yesterday that a human rights activist had been arrested shortly before he was due to travel to Dublin in order to receive a human rights prize.
Ich fordere deshalb seine unverzügliche Freilassung und auch die der weiteren Personen, die in diesem Zusammenhang verhaftet wurden.	I therefore call for him, and the other persons arrested with him, to be released without delay.
Angesichts solch widersprüchlichen Verhaltens seitens der sudanesischen Regierung frage ich die Kommission, ob sichergestellt ist, dass unter keinen Umständen Teile der 400 Millionen Euro in Form von Budgethilfe geleistet werden und dass man sich auch bei der Mittelvergabe weitestgehend nicht an Regierungsstrukturen orientiert oder sich auf diese stützt, sondern doch möglichst versucht, in Darfur und anderswo vorhandene Hilfsorganisationen von außerhalb zu nutzen.	It is with this sort of contradictory behaviour on the part of the Sudanese Government in mind that I ask the Commission whether there are safeguards to ensure that none of the EUR 400 million can under any circumstances be paid out as budget support and that the resources are not, in so far as possible, distributed through governmental structures or taking them as a basis; instead, the attempt should, if at all possible, make use of the aid organisations from abroad that are present in Darfur and elsewhere.
