Frau Präsidentin, werte Frau Kommissarin! Worüber sprechen wir heute?	. – Madam President, Commissioner, what are we discussing today?
Wir sprechen über ein Notrufsystem, das sich im Falle eines Unfalls oder manuell ausgelöst selbst aktiviert. Wir sprechen auch über Studien, die im Falle eines Unfalls enorme Werte an Überlebenden angeben, wenn so ein System eingebaut ist und wenn in den Mitgliedstaaten auch die notwendige Infrastruktur – also z. B. Notrufzentralen sowie einheitliche Nummern – installiert ist.	We are discussing an emergency call system that is self-activating in the event of an accident or can be activated manually; we are also discussing studies according to which enormous numbers of people survive accidents if such a system is built in and if the necessary infrastructure – in the shape of such things as emergency call centres and standardised numbers – is in place in the Member States.
Ich halte diese Zahlen – ich muss es Ihnen offen und ehrlich sagen – für maßlos überschätzt.	I have to tell the House, quite honestly and frankly, that I regard these figures as grossly exaggerated.
In der Debatte um Verkehrssicherheit scheint für etliche Repräsentanten, die sich mit diesem Thema beschäftigen, namentlich Herrn Vatanen, offensichtlich nur all jenes eine Rolle zu spielen, was mit Kosten und mit dem Einbau von Elektronik zu tun hat.	When we debate road safety, there are certain Members of this House with an interest in this issue – and I will name Mr Vatanen specifically – who evidently think that the only things that matter are those things that have to do with costs and the installation of electronic gadgetry.
Wenn es um Maßnahmen geht, die wirklich an die Substanz der Unfälle gehen, die wirklich das Potenzial hätten, Menschen zu einem besseren Fahrverhalten zu bringen, wie etwa der Verzicht auf Alkohol oder an die Fahrverhältnisse angepasste Geschwindigkeiten, dann werden im Verkehrsausschuss entsprechende Anträge samt und sonders abgelehnt.	Amendments aimed at bringing in measures that would really address the causes of accidents and have real potential for getting people to improve the way they drive, by, for example, abstaining from alcohol or adapting their speed to the driving conditions, get thrown out altogether by the Committee on Transport and Tourism.
Es wurde über die Kosten dieser Systeme gesprochen.	Reference has been made to the amount that these systems cost.
Die Kosten für diesen Einbau werden derzeit auf 150 bis 300 Euro geschätzt, und es besteht „vielleicht“ die Hoffnung, dass es „vielleicht“ billiger wird.	The cost of their installation is currently estimated at between EUR 150 and EUR 300, with the ‘possible’ hope of its ‘possibly’ becoming cheaper.
Meine Damen und Herren! Glauben Sie wirklich, wenn ein Zwang durch die Versicherungen oder durch die Staaten besteht, ein solches Ding einzubauen, dass es dann billiger wird?	Does the House really believe that fitting these things will be made any cheaper by being made compulsory by insurers or by the Member States?
Es besteht ja dann überhaupt keine Motivation für die Wirtschaft, hier billiger zu werden.	The fact is that, if they are, there is absolutely no motivation for industry to produce them any more cheaply.
Wenn Sie gleichzeitig den gemeinsamen Führerschein für Europa wegen Kosten, die wesentlich niedriger liegen, heftig kritisiert und in etlichen Staaten bekämpft haben, so ist für mich nicht nachvollziehbar, dass in diesem Punkt die Kosten überhaupt keine Rolle spielen.	I find it quite incomprehensible that the costs of this are of no interest to those of you who are at the same time vociferously critical of the much lower costs involved in the single European driving licence and who have campaigned against it in certain Member States.
Ein Punkt betrifft die Privatsphäre und die Überwachung, die zunehmend alle unsere Lebensbereiche ergreift.	There is also the issue of the private sphere and of the increasing monitoring of every area of our lives.
Ich halte solche Maßnahmen in bestimmten Teilbereichen für sinnvoll, aber ich halte es für völlig falsch, das Ganze zur Chance schlechthin hochzustilisieren, um sozusagen die Hälfte aller Unfallopfer retten zu können.	While I do believe that such measures are of use in some limited areas, I think it is wrong to talk the whole thing up as a great opportunity to save the lives of what are alleged to be half the victims of all accidents.
Diese Studien sind für mich nicht glaubwürdig.	I do not regard these studies as credible.
Wenn man gleichzeitig alle anderen Maßnahmen ablehnt, die Unfälle vermeiden und nicht die Rettungszeit verkürzen, dann ist die Strategie zur Vermeidung von Unfällen im Verkehrsausschuss für mich unglaubwürdig, weil nur auf kostenintensive Maßnahmen begrenzt.	If one, at one and the same time, rules out all the other measures that prevent accidents without cutting rescue times, then I cannot regard the Transport Committee’s accident avoidance strategy – which relies exclusively on high-cost measures – as a credible one.
