Herr Präsident, ich begrüße das Aktionsprogramm ARGO sehr.	Mr President, I greatly welcome the ARGO action programme.
Ich bin der festen Überzeugung, dass nur durch eine verstärkte Zusammenarbeit zwischen den einzelstaatlichen Behörden bestehende Unterschiede in der Anwendung der Gemeinschaftsvorschriften abgebaut werden können.	It is my firm conviction that it is only through greater cooperation between the authorities of individual States that the existing discrepancies in the application of Community regulations can be removed.
Dass die Ungleichbehandlung in den Mitgliedstaaten abgebaut werden muss, wird vor allem durch die große Zahl von Petitionen bewiesen, die an das Europäische Parlament gerichtet wurden.	Proof that the inequality of treatment in the Member States has to be done away with is provided above all by the great number of petitions addressed to Parliament.
In den letzten Jahren lassen sich allein 468 Petitionen finden, die die Ungleichbehandlung in diesem Bereich zum Thema haben.	In recent years there have been 468 petitions alone on the subject of inequality of treatment in this area.
Es ist also wirklich an der Zeit, dieses Thema weiter zu regeln.	It really is time to do more about this issue.
Eine Verbesserung im Vergleich zum derzeitigen Programm ODYSSEUS ist auch die ausdrückliche Einbeziehung des Bereichs Visa. Auch in diesem Zusammenhang wurden zahlreiche Petitionen eingebracht.	Another improvement in comparison with the present Odysseus programme is the explicit inclusion of the visa issue, another area that has seen the submission of numerous petitions.
Bei der europaweiten Zusammenarbeit ist der elektronische Datenaustausch von besonderer Bedeutung. Dazu fordere ich die Schaffung einer gemeinsamen europaweiten Datenbank.	The electronic exchange of data is of particular importance to cooperation across Europe, and I call for the creation of a common database for the whole of Europe, a database that must be accessible to the competent authorities in the Member States - if need be, to third countries as well - and also to the competent agencies of the European institutions.
Diese Datenbank muss den zuständigen Behörden in den Mitgliedstaaten - bei Bedarf auch Drittstaaten - sowie den zuständigen Verwaltungen der europäischen Organe zugänglich sein. Dabei sind jedoch der Schutz der Privatsphäre und die Vertraulichkeit von Informationen unbedingt in vollem Umfang zu wahren.	In this context, the protection of privacy and the confidentiality of information must be safeguarded unconditionally and to the fullest extent.
Daneben muss sichergestellt werden, dass die einzelstaatlichen Behörden auf Anfrage des Petitionsausschusses Auskünfte in einer angemessenen Frist erteilen.	Alongside that, we must ensure that the authorities in the individual States provide information within an appropriate period of time when asked to do so by the Committee on Petitions.
Nur durch dieses Muss kann der Petent in seiner Rechtssicherheit geschützt werden.	This obligation is the sole protection for the petitioner's legitimate expectations.
Die bisherigen Verspätungen in der Informationsweitergabe verursachen für die Petenten Behinderungen, die nicht hinnehmbar sind. Dies kann meiner Meinung nach nur dann verhindert werden, wenn es dem Petitionsausschuss ermöglicht wird, in dringenden Fällen negatives Verhalten der Behörden an die Öffentlichkeit zu bringen.	Delays in passing on information, which have occurred up to now, cause petitioners unacceptable detriment, something which can, in my view, be prevented only by the Committee on Petitions being enabled, in cases of urgency, to bring negative conduct by the authorities to the public's notice.
Schlechte Publicity will wohl jede Behörde vermeiden.	Bad publicity is no doubt something that every public body wants to avoid.
