. – Herr Präsident!	. – Mr President, further to the proposed order of business, I have a request concerning Wednesday.
Ich beziehe mich auf die vorgeschlagene Tagesordnung und habe eine Bitte für Mittwoch: Bei der vorgeschlagenen Tagesordnung, bei der Erklärung des Rates und der Kommission zur Vorbereitung des Europäischen Rates und der Lissabon-Strategie, stoßen wir nach meinem Dafürhalten ähnlich wie bei den Debatten, die am Nachmittag von 15.00 bis 19.00 Uhr stattfinden – bei der Erklärung des Rates zum Gymnich-Treffen, beim Bericht Brok und anderen Berichten – an eine Grenze des organisatorisch Vernünftigen, die ich anhand einiger Zahlen zur Redezeit erläutern will.	With the order of business as proposed, as I see it, when we come to the statement by the Council and the Commission on the preparation of the European Council and on the Lisbon Strategy, we find ourselves – much as we do with the debates between 3 o’clock and 7 o’clock on the Council statement on the informal meeting of foreign ministers, on the Brok Report, and on other reports – reaching the outer limit of what is feasible in terms of organisation. I propose to elucidate that by reference to some figures on speaking times.
Die Redezeiten für die Erklärung des Rates zum Gipfel, für die Erklärung von Rat und Kommission mit anschließender Aussprache, sind wie folgt verteilt: Der Rat erhält 30 Minuten Redezeit, die Kommission 20 Minuten Redezeit und das gesamte Plenum 60 Minuten.	The speaking times for the Council statement on the summit and for both the Council’s and Commission’s statement and the ensuing debate, are shared out as follows: the Council gets 30 minutes speaking time, the Commission get 20 minutes, and the House as a whole gets 60.
Das heißt, die beiden anderen Institutionen haben etwa so viel Redezeit wie alle Abgeordneten und alle Fraktionen zusammen.	What that means is that the two other institutions have about as much time in which to speak as all the Members and all the Groups put together.
Das Ergebnis ist, dass bei einer Aussprache zu diesem Thema die EVP-Fraktion 18 Minuten zur Verfügung hat, meine Fraktion 14, die Liberalen 7, die Grünen 4,5. Ich habe eben in meiner Fraktion gesagt: Das ist eine Aufforderung zum Boxkampf im Inneren der Fraktionen, denn wenn ich alle meine Expertinnen und Experten zu Wort kommen lassen würde, bräuchte ich schon mehr Redezeit, als wir hier zur Verfügung haben.	The result is that, in a debate on this subject, the Group of the European People’s Party has 18 minutes at its disposal, my own group has 14, the Liberals have 7, and the Greens have four-and-a-half. I have just told my group that this is going to spark off squabbles within the groups, since, if I were to get all my experts to speak, I would need more speaking time than has been made available to us.
Das führt dazu, dass Fraktionen ihre Redezeiten so weit reduzieren, dass es diese Ein-Minuten-Reden gibt.	The consequence of that is that groups will be reducing their speaking times to such an extent that people will end up speaking for no more than a minute each.
Das dient dem inneren Frieden der Fraktionen, aber nicht der Qualität der parlamentarischen Debatte. Das ist nicht sinnvoll.	While that may help keep the peace within the groups, it will do nothing whatever for the quality of debate in this House.
Deshalb ermutigen wir Sie dringend weiter, diese Reformschritte, die Sie eingeleitet haben, auch weiter zu gehen.	It is because this does not make sense that we will continue to urge you to move further towards the reform that you have set in motion.
Wir brauchen für solche Debatten einfach mehr Zeit.	The simple fact is that we need more time for such debates.
Was wir aber auch brauchen, ist die Bitte an die Institutionen, unter den obwaltenden Umständen, unter denen wir jetzt arbeiten müssen, ihre Redezeiten etwas zu reduzieren.	What we also need, though, is for the institutions, under the circumstances under which we have to work, to reduce their speaking times somewhat, and this we ask them to do.
Ich bin ziemlich sicher, dass die Kernbotschaften, die der Rat und die Kommission vortragen werden, auch in weniger als 30 oder 20 Minuten vorzutragen sind. Denn ich muss meine Kernbotschaften auch in fünf Minuten rüberbringen, und ich hatte bisher nicht den Eindruck, dass mir das nicht gelungen ist.	I am pretty sure that the Council and the Commission are well able to get the key points that they want to make across to us in less than 30 or 20 minutes, for the fact is that I have to get mine across in five, and I have not so far had the impression of having succeeded in this.
Wenn ich hier einmal 20 Minuten zur Verfügung hätte, wäre das ja geradezu grandios – für mich und auch für das Hohe Haus!	If I were to have 20 minutes in which to speak, it would be quite splendid – not only for me, but also for this House!
Herr Präsident, für dieses Mal meine Bitte an Sie und an die Dienststellen, bis Mittwoch mit den beiden Institutionen, dem Ratspräsidenten und dem Kommissionspräsidenten – wer von beiden auch immer anwesend sein mag – zu sprechen und die Redezeit so zu reduzieren, dass wir etwas mehr Debattenzeit für die Fraktionen haben.	For now, though, I ask you and the services to get together with the two institutions by Wednesday – that is to say, with whichever of the President-in-Office of the Council and the President of the Commission is actually present – and reduce your speaking time so as to make more time available in which this House can have a debate.
Ich lese Ihnen nur noch die Zahlen für den Nachmittag vor: Am Nachmittag redet zu den Berichten, die ich eben hier vorgetragen habe, der Rat 50 Minuten, die Kommission 50 Minuten, der Berichterstatter Brok hat fünf Minuten – das ist schon vom Gewicht her völlig unzureichend –, und alle Abgeordneten haben 90 Minuten!	Let me just read you the figures for the afternoon. That afternoon, the time available for speaking to the reports amounts to 50 minutes each for the Council and the Commission, while Mr Brok, the rapporteur, gets five – which is quite utterly inadequate in view of the importance of his report – and all the Members put together get 90 minutes between them.
Also das, Herr Präsident, ist nicht vernünftig.	I put it to you, Mr President, that that is not reasonable.
Deshalb meine Bitte, mit den Institutionen jetzt für den Mittwoch kurzfristig über eine Reduzierung zu reden, und langfristig die Bitte an das Haus, unsere Tagesordnungen so zu gestalten, dass wir vernünftig Zeit haben, wichtige Debatten miteinander zu führen.	I therefore ask that, in the first instance, you agree with the institutions on a reduction for Wednesday, and then, in the longer term, I ask that this House should organise our orders of business in such a way that we have a proper amount of time in which to debate important matters among ourselves.
