Herr Präsident, liebe Kolleginnen und Kollegen! Wir begrüßen den Bericht von Herrn Sjöstedt.	Mr President, ladies and gentlemen, we welcome Mr Sjöstedt's report.
Ich denke, er hat eine hervorragende Arbeit geleistet - vor allem auch deshalb, weil er sich über den Minimalstandard der Kommission hinausgewagt hat.	In my opinion, he has done a splendid job, above all because he has dared to go beyond the minimal standard laid down by the Commission.
Ich denke, wir müssen hier als Parlament mit unserer Abstimmung einen Meilenstein setzen und - wie es meine Vorrednerin schon sagte - deutlich machen, dass der Schutz der biologischen Vielfalt im Vordergrund steht, der Schutz der Bevölkerung, aber auch die Wahlfreiheit der so genannten Drittstaaten, in die exportiert wird.	I do think that the way we vote on this in Parliament has to set a milestone, and - as the lady who spoke before me said - must make it clear that the protection of biodiversity and of the public has pride of place, but that so too does the freedom of choice of what we term third countries, to which we export.
Gerade die jüngsten Berichterstattungen, die jüngsten Auseinandersetzungen mit den Vereinten Nationen, mit Staaten in Afrika, insbesondere Somalia - Ländern, denen quasi die Pistole auf die Brust gesetzt werden soll nach dem Motto "Iss oder stirb" - wo man die Situation ausnutzt, dass Menschen in diesen Ländern hungern, um sie zu verpflichten, genmanipulierte Lebensmittel zu beziehen, machen deutlich, dass wir wirklich einen Mangel an Wahlfreiheit haben.	It has become clear from the latest reports from, and the latest difficulties with, the United Nations, with African States, especially Somalia - countries who have, as it were, a gun put to their heads and who are told to eat or die, countries where the hunger of people in these countries is exploited as a pretext for forcing them to buy genetically modified foodstuffs - that we are dealing here with a real lack of free choice.
Ich kann die Kommissarin nur auffordern, gegenüber den USA strikt zu bleiben, und ich möchte Sie an dieser Stelle ganz herzlich bitten, nicht vor den Drohungen der USA in die Knie zu gehen, sondern ganz deutlich zu machen, dass wir hier nicht nachgeben.	I cannot do other than urge the Commissioner to take a firm line with the USA, and I want to take this opportunity to beg you not to bow down before the USA's threats, but rather make it abundantly clear that we will not give way on this.
Wir dürfen vor allem das Moratorium nicht aufheben, zumal Sie wissen, dass nur ein einziger Mitgliedstaat die Freisetzungsrichtlinie umgesetzt hat.	Most of all, though, we must not lift the moratorium, for, as you will be aware, only one Member State has transposed the Release Directive.
Wir sind weit entfernt von einer Haftungsregelung und einer befriedigenden Regelung zur Kennzeichnung.	Both a rule on liability and a satisfactory rule on labelling are a long way off.
Das muss im Mittelpunkt stehen.	We have to focus on that.
Wir müssen mit diesem Bericht und dieser Abstimmung zeigen, dass wir in der Lage sind, die großen Lücken, die es nach wie vor im Cartagena-Protokoll gibt, zu schließen.	By this report and this vote, we have to show that we are in a position to close the gaping loopholes that are still there in the Cartagena Protocol.
Da möchte ich noch einmal besonders auf den Export von Lebensmitteln und auf Nahrungsmittelhilfen hinweisen. Da dürfen wir nicht dem Druck der USA nachgeben und uns gegen die Wünsche dieser Länder stellen, sondern müssen deutlich machen, dass diese Länder auch da informiert werden müssen.	I want particularly to highlight food aid and the export of foodstuffs, where we must not yield to American pressure by denying these countries what they want, but must make clear that they have to be informed about these matters as well.
Auch da muss es darum gehen, dass wir nicht das Recht der Verbraucher weltweit, zu entscheiden, was sie essen, mit Füssen treten; vor allem müssen wir mit dieser Abstimmung deutlich machen, dass es nicht darum gehen darf, ein Risiko, das wir nicht bereit sind zu tragen, in andere Länder zu exportieren.	Here too, what matters must be our refusal to trample on the right of consumers around the world to decide what they eat; above all, our vote must send a clear message that we cannot export to other countries a risk that we are unwilling to take ourselves.
Wir haben das erlebt im Hinblick auf Osteuropa, aber auch insbesondere auf Länder der Dritten Welt.	That was our experience with Eastern Europe, but especially with the Third World.
Es darf nicht darum gehen, dass wir das Risiko verlagern, sondern wir müssen dafür Sorge tragen, dass wir den höchsten Standard haben, und deutlich machen, dass der Standard in Europa gelten muss und wir diese Länder nicht zum Risikofeld machen für Forschung, die bei uns gar nicht durchgeführt worden wäre.	We cannot simply move the risk elsewhere, but must make it our concern that the standard be enforced in Europe and that we avoid research that would not even be carried out here turning these countries into hazardous areas.
Wir dürfen diese Länder nicht für risikoreiche Forschung missbrauchen.	We must not misuse these countries for the purpose of research that is full of risks.
Dies wäre nicht nur ein Verstoß gegen die Sicherheit, sondern man würde die Menschenrechte mit Füßen treten, wenn wir diese Länder für Forschung missbrauchen, die uns zu risikoreich ist.	To do so would be not just an offence against safety; we would also be trampling human rights underfoot if we were to exploit these countries for the purposes of research that we find too risky.
Es ist aber auch wichtig - und dies hat Herr Sjöstedt schon angesprochen -, dass wir die Fragen der Haftung und der Kennzeichnung wirklich zufrieden stellend lösen.	Mr Sjöstedt has, though, already addressed the importance of our finding a truly satisfactory solution to the issues of liability and labelling.
Wir müssen mit der Haftung auch ein Instrument schärfen, das die Industrie dazu bringt, verantwortlicher mit dieser Frage umzugehen. Daher möchte ich die Kommissarin noch einmal dringend bitten, in ihrer Schlusserklärung darauf einzugehen, wie sie es mit den UN-Lebensmittelhilfen hält und wie sie gedenkt, mit dem Moratorium umzugehen, solange wir diese Kriterien, die wir auch gegenüber der Kommission anmahnen, nicht zufrieden stellend geregelt haben.	We have to fashion liability into a tool to get industry to deal with this issue in a more responsible manner, and so I would reiterate my plea to the Commissioner that she should, in her closing statement, enlarge on her view of UN food aid and what she plans to do about the moratorium until such time as we have sorted out these criteria, of which we would remind the Commission too, in a satisfactory way.
