Herr Präsident! Ich habe ein Gefühl: Endlich, endlich geht es los!	Mr President, I finally have the feeling that things are starting to happen.
Mehr als acht, fast neun Jahre für den neuen Vertrag, mehr als acht, fast neun Monate für die neue Kommission.	It took more than eight and, indeed, almost nine years for us to get the new treaty and the same number of months for us to get the new Commission.
Das ist nicht das Europa, das handelt, aber wir müssen handeln.	That is not a Europe that takes action, yet action is what we need.
Menschen suchen Arbeit, Unternehmen suchen Märkte, Verbraucher suchen Verlässlichkeit, Griechenland sucht Stabilität, und Europa sucht seine Rolle in der Welt.	People are looking for work, businesses are looking for markets, consumers are looking for reliability, Greece is looking for stability and Europe is looking for its role in the world.
Deswegen ist es gut, dass die Zeit der komplizierten Debatten, die nur Profis verstehen konnten, vorbei ist, und deswegen ist es gut, dass die Kommission jetzt so arbeiten kann, dass die Menschen wirklich wieder etwas davon haben.	It is therefore a good thing that the time of complicated debates that only experts could understand is over and, for that reason, it is also good that the Commission can now work in a way that will really benefit the people once again.
Wir wollen zwei Dinge von Ihnen, Herr Barroso.	There are two things we want from you, Mr Barroso.
Seien Sie mutig, und machen Sie Europa stark nach innen und nach außen!	Please be courageous and make Europe strong, both inside and out.
Wir wollen, dass Sie mutig sind, ja, wir wollen auch da mehr Europa, wo die Mitgliedstaaten oder die Umfragen vielleicht anderes wollen, bei der Wirtschaft und bei den Finanzen, bei der Innen- und der Justizpolitik, aber auch bei der Außen- und Sicherheitspolitik.	We want you to be courageous and we also want Europe to be more involved in areas which perhaps differ from those that the Member States or people answering polls want - in the economy and financial affairs, in justice and home affairs, but also in foreign and security policy.
Das ist besonders an Sie gerichtet, Baroness Ashton.	This comment is intended for you, in particular, Baroness Ashton.
Die Defizite liegen ja auf der Hand.	The shortcomings are clear.
Für kleine und mittlere Unternehmen funktioniert der Binnenmarkt nicht gut genug.	The internal market is not functioning well enough for small and medium-sized enterprises.
Oft genug wegen nationaler, nicht wegen europäischer Bürokratie.	This is often due to national, rather than European, bureaucracy.
Griechenland braucht Hilfe, ja!	Greece needs help, of course.
Dafür braucht es ein starkes Europa.	For this, we need a strong Europe.
Ich freue mich, dass die Kommission jetzt einen Vorschlag gemacht hat.	I am pleased that the Commission has now put forward a proposal.
Wer glaubt, dass wir in der Außenpolitik schon weit genug sind, der ist spätestens seit Kopenhagen eines Besseren belehrt.	Anyone who thought that we had already achieved enough in foreign policy will now surely have learnt otherwise in the light of Copenhagen.
Deswegen sagen wir noch einmal: Herr Barroso, machen Sie Europa stark, nach innen und nach außen!	We therefore repeat: Mr Barroso, make Europe strong, inside and out.
Unsere Unterstützung dafür haben Sie. <BRK>	You have our support to do so.
