Worum geht es?	What is it all about?
Die vorliegenden vier Verordnungen sind ein wichtiger Bestandteil der Maßnahmen zur Verbesserung der Lebensmittelsicherheit in der Europäischen Union.	The four regulations we have before us are an important part of the measures to improve food safety in the European Union.
Die Rechtsakte wurden mit dem Ziel erarbeitet, 17 Richtlinien zu ersetzen, das Recht kohärenter zu machen, wissenschaftlich fundierter und risikobasierter zu gestalten.	They were drawn up with the aim of replacing 17 directives and making the law more coherent and more science- and risk-based.
Werden die von Kommission, Rat und Parlament erarbeiteten Texte den obigen Forderungen gerecht?	Do the texts produced by the Commission, Council and Parliament meet those requirements?
Ich glaube, ja.	I believe they do.
Ich glaube, wir haben eine hervorragende Gesetzesgrundlage geschaffen.	I believe we have created an excellent legal base.
Die Ergebnisse lassen sich wie folgt gliedern:	The effects may be described as follows:
Erstens: mehr Rechtssicherheit.	Firstly, there is greater legal certainty.
Die Vorschläge bauen auf durch Maßnahmen für mehr Lebensmittelsicherheit erweiterten bewährten Praktiken auf, sind aber, und das ist das Entscheidende, ein neues legislatives Konzept.	The proposals build on tried and tested practices with additional measures for greater food safety, but the crucial thing is that they are a new legislative concept.
Mit der Wahl des Rechtsaktes der Verordnung, die in der Union textgleich gilt, wurde ein entscheidender Schritt für mehr Kohärenz und weniger Bürokratie getan.	The choice of a regulation, which means that the same text applies everywhere in the European Union, was a decisive step for greater coherency and less bureaucracy.
Es ist sehr zu begrüßen, dass Kommission, Rat und Parlament sich auf eine Ausweitung des verfügenden Teils in allen Forderungen geeinigt haben.	That the Commission, Council and Parliament have agreed to expand the mandatory parts of all requirements is very much to be welcomed.
Die beteiligten Unternehmen können damit von einer höheren Rechtssicherheit ausgehen.	This will enable firms involved to act with greater legal certainty.
In einer Zeit ständig wechselnder Anforderungen ist das von immenser Bedeutung.	When requirements are constantly changing, that is of immense importance.
Ausgehend von einem Ansatz der stabilen Rechtssicherheit sind auch die Bemühungen des Parlaments einzuordnen, die Möglichkeiten der Änderung der Anhänge im Rahmen des Komitologieverfahrens einzuschränken.	Parliament’s efforts to limit the scope for amending the annexes in the comitology procedure must also be seen as part of this approach for stability and legal certainty.
Wir haben eine einigermaßen akzeptable Regelung gefunden.	We have found a more or less acceptable arrangement.
Aber ich kann auch hier versichern, wir werden die Anwendung des Komitologieverfahrens zur Änderung der Anhänge sehr kritisch beobachten.	I can, however, also assure you that we shall be watching the use of comitology for amending the annexes very critically.
