Herr Präsident, ich möchte mich an Frau Kommissarin Schreyer wenden.	, Chairman of the Committee on Budgetary Control.
Ich bin ein wenig erstaunt, dass sie meint, ich hätte ihr einen scharfen Brief geschrieben.	Mr President, I should like to address Commissioner Schreyer. I am rather surprised to hear her say I wrote her a strongly worded letter.
Sie zitiert, ich hätte geschrieben, sie solle gefälligst in den Ausschuss für Haushaltskontrolle kommen.	She quotes me as having written that she should kindly come to the Committee on Budgetary Control.
Das kann überhaupt nicht wahr sein!	That cannot be true.
Einen sachlichen Brief habe ich geschrieben, worin ich gebeten habe, dass sie entsprechend dem Abkommen, das wir zwischen Kommission und Parlament haben, zu uns in den Ausschuss für Haushaltskontrolle kommen möchte.	I wrote a businesslike letter in which I asked her to come to us in the Committee for Budgetary Control in accordance with our agreement between the Commission and Parliament.
Wenn Frau Schreyer andere Verpflichtungen hat, dann gehe ich doch davon aus, dass sie die Möglichkeit hat, einen hohen Beamten damit zu beauftragen, vor dem Ausschuss die entsprechenden Auskünfte zu geben.	If Mrs Schreyer has other commitments, I do, however, assume that she is able to send a senior official to give the Committee the information it requires.
Etwas anderes bedeutet der Brief nicht!	The letter has no other meaning.
Frau Schreyer, ich bin ein bisschen erstaunt, dass Sie den Brief so aufgefasst haben.	Mrs Schreyer, I am somewhat astonished that you read the letter in that way.
Er war völlig sachlich.	It was entirely businesslike.
Das wollte ich nur zur Aufklärung sagen.	I just wanted to explain that.
Danke schön!	Thank you.
