Herr Präsident, Herr Ratsvorsitzender, meine Damen und Herren!	.
Die Kommission begrüßt die heutige Debatte über die demokratischen Rechte in der Türkei. Das gibt uns Gelegenheit zu einer Zwischenbilanz über die Menschenrechte in der Türkei und über die erzielten Fortschritte im Bereich politischer Reformen.	Mr President, Mr President-in-Office of the Council, ladies and gentlemen, the Commission welcomes today's debate, which gives us the opportunity to draw up an interim balance sheet of democratic rights in Turkey and on the progress made in the area of political reforms.
Hintergrund unserer Debatte ist die Entscheidung von Helsinki 1999, der Türkei den Kandidatenstatus zu verleihen, und Hintergrund unserer Debatte ist die auf dieser Grundlage vereinbarte Vorbeitrittsstrategie.	The background to our debate is the decision taken in Helsinki in 1999 to accord Turkey candidate status, and the pre-accession strategy agreed on this basis.
Alle Elemente dieser Strategie sind in der Zwischenzeit umgesetzt worden.	All this strategy's elements have in the meantime been implemented.
Insbesondere hat die Türkei ein nationales Programm für die Übernahme des Besitzstandes angenommen, um die Prioritäten der Beitrittspartnerschaft zu erfüllen. Damit ist endlich in der Türkei ein Reformprozess in Gang gekommen, der auch in der öffentlichen Diskussion in diesem Land eine immer größere Rolle spielt.	Turkey has, in particular, in order to meet the priorities of the Accession Partnership, accepted a national programme for the adoption of the acquis communautaire, thus at last setting in motion a reform process that is also playing an ever greater role in public discussion in Turkey.
Erste Ergebnisse sind sichtbar.	Initial results are already visible.
Die Türkei hat mit der Verfassungsreform vom vergangenen Jahr unter Beweis gestellt, dass sie die geforderten politischen Reformen ernsthaft in Angriff nimmt.	Last year's constitutional reform is evidence that Turkey is seriously getting to grips with the political reforms that are needed.
Der Europäische Rat in Laeken hat die Bemühungen der Türkei gewürdigt und festgestellt, dass die Türkei dem Ziel des Beitritts zur Europäischen Union nähergekommen ist.	The Laeken European Council paid tribute to Turkey's efforts and noted that Turkey had moved closer to its objective of joining the European Union.
Allerdings verbindet sich damit auch die Erwartung der Europäischen Union, dass der Reformprozess konsequent weitergeführt wird.	Allied with this is, though, the expectation on the part of the European Union that the reform process will be carried on consistently.
Zum jetzigen Zeitpunkt erfüllt die Türkei die politischen Kriterien von Kopenhagen noch nicht.	Turkey does not at present meet the political Copenhagen criteria.
Ich habe bei meinen Gesprächen in Ankara vor wenigen Tagen die türkische Regierung nachdrücklich ermutigt, ihren politischen und wirtschaftlichen Reformkurs entschlossen fortzusetzen.	During my conversations in Ankara a few days ago, I strongly encouraged the Turkish government to be determined in proceeding with their package of political and economic reforms.
Die Gesprächspartner aus allen Parteien der gegenwärtigen Regierungskoalition haben mir gegenüber sowohl ihren Willen zu Reformen als auch das Ziel einer Annäherung an die Europäische Union bestätigt.	My conversation partners, who were from all the parties in the present coalition government, confirmed to me both their desire for reform and their objective of rapprochement with the European Union.
Auf die Verfassungsänderung des letzten Jahres hin hat die Türkei in diesem Monat ein erstes Minipaket zur Umsetzung verabschiedet. Die Kommission begrüßt die Bestimmungen des Minipaketes, soweit sie die Inhaftierung vor Gerichtsverfahren betreffen.	In order to implement last year's constitutional changes, Turkey has, this month, enacted a first mini-package, the provisions of which the Commission welcomes in so far as they deal with pre-trial detention.
Diese Bestimmungen stimmen mit EU-Standards überein. Wir sind jedoch der Auffassung, dass die neuen Rechtsvorschriften im Hinblick auf die Meinungsfreiheit zu kurz greifen.	Although these provisions comply with EU standards, we take the view that they do not go far enough as regards freedom of opinion.
Wir können im neuen Wortlaut der einschlägigen Artikel wenig Verbesserungen im Vergleich zu den geltenden Rechtsvorschriften im Bereich der Meinungsfreiheit erkennen. Wir hatten weiterreichende und umfassendere Reformen im Einklang mit der Verfassung erwartet.	Having expected more extensive and comprehensive reforms in accordance with the constitution, we are unable to find much improvement in the new wording of the relevant articles as compared with the current legal provisions on freedom of opinion.
Ich habe deshalb bei meinem kürzlichen Besuch in der Türkei unterstrichen, dass wir weitergehende Schritte erwarten, etwa bei der Koalitionsfreiheit, bei dem Gebrauch von Sprachen in Rundfunk und Fernsehen und im Bildungswesen, bei der Abschaffung der Todesstrafe sowie der Einführung der Grundsätze des Rechtsschutzes entsprechend der Rechtsprechung des Europäischen Gerichtshofs für Menschenrechte.	During my brief visit to Turkey, I therefore underlined our expectation that further steps would be taken in such areas as freedom of association, the use of languages in radio, television and education, the abolition of the death penalty and the introduction of fundamental legal rights in accordance with the case law of the European Court of Human Rights.
Neben den rechtlichen Veränderungen ist es jedoch notwendig, dass in der Türkei durch die Auslegung des Rechts in der Praxis wirkliche Veränderungen vor Ort stattfinden.	Alongside changes in the law, there need to be real changes on the ground through the way the law is interpreted in Turkey.
Letztlich müssen wir die Lage der Menschenrechte in der Türkei nicht danach messen, was auf Papier steht, sondern wir müssen sie daran messen, was wirklich täglich in der Praxis geschieht.	At the end of the day, we must not measure the human rights situation in Turkey according to what is written down, but have to judge it by what actually happens in practice from day to day.
Dabei haben Staatsanwälte und Richter eine wichtige Rolle zu spielen.	State prosecutors and judges have an important part to play in this.
Die Kommission bietet der Türkei dazu eine Reihe von Fortbildungsprogrammen an, die auch gerne benutzt werden.	To this end, the Commission offers Turkey a range of training programmes, which are eagerly taken up.
Wie das Europäische Parlament, so beobachtet auch die Kommission die Entwicklungen im Zusammenhang mit dem Gerichtsverfahren gegen die HADEP-Partei vor dem türkischen Verfassungsgericht.	The Commission, like Parliament, is observing developments in connection with the court case against the HADEP party in the Turkish Constitutional Court.
Am 1. März, also übermorgen, wird eine neue Anhörung stattfinden. Vertreter der Kommission bemühen sich darum, bei dieser Anhörung anwesend zu sein.	A new hearing is to begin on 1 March, that is, the day after tomorrow, and representatives from the Commission are endeavouring to be present at it.
Die Kommission beurteilt diesen Fall selbstverständlich anhand der politischen Kriterien von Kopenhagen, und deshalb sage ich, dass nach unserer Auffassung ein Verbot der HADEP-Partei in der Türkei gegen unsere politischen Grundsätze verstoßen würde.	It goes without saying that the Commission assesses this case on the basis of the Copenhagen political criteria, and so I can tell you that, in our view, a ban on the HADEP party in Turkey would offend against our political principles.
Im vergangen Jahr hat das türkische Parlament die Verfassung geändert, um die Menschenrechte in der Türkei zu stärken. Die Rechtsgrundlagen für das Verbot politischer Parteien ließ das türkische Parlament jedoch unangetastet.	Last year, the Turkish parliament amended the constitution towards strengthening human rights in Turkey, but left untouched the legal basis for the banning of political parties.
Deshalb muss man sagen, dass die geltenden Bestimmungen in der Türkei mit den EU-Standards nicht in Einklang zu bringen sind.	It has therefore to be said that current provisions in Turkey cannot accord with EU standards.
Die Kommission ruft deshalb die türkische Regierung auf, weitere Anstrengungen zu unternehmen, um diese Standards einzuhalten.	The Commission therefore calls on the Turkish government to make further efforts to comply with these standards.
Man kann wohl sagen, dass sich die Türkei mitten in einer intensiven Debatte über den weiteren Weg ihres Reformkurses befindet.	It can indeed be said that Turkey is in the midst of an intensive debate on the future course of its reform policy.
Positiven Schritten wie zum Beispiel der Verfassungsreform stehen andere Bereiche entgegen, in denen wir nach wie vor Defizite feststellen.	Positive steps, for example the constitutional reform, can be set against other areas, in which we continue to observe deficits.
Trotzdem bin ich im Ergebnis zuversichtlich, dass die Türkei die Kraft und den Willen hat, ihren Reformkurs fortzusetzen.	As a result, though, I am confident that Turkey possesses the strength and the will to carry on with its reform policy.
Ich finde, dass die Zustimmung der Türkei zur Eröffnung eines Büros von Amnesty International ein positives Zeichen war.	I see Turkey's consent to the opening of an Amnesty International office as a favourable indication.
