amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, meine Damen und Herren Abgeordneten, Frau Kommissarin! Ich freue mich und es ist mir eine besondere Ehre, heute zum ersten Mal als Vertreter der Präsidentschaft im Plenum des Europäischen Parlaments vor Ihnen zu sprechen.	Mr President, Commissioner, ladies and gentlemen, it is a pleasure and a great honour to address you today for the first time as representative of the Presidency at the plenary session of the European Parliament.
Sie haben darauf hingewiesen: Am 25. März begeht die Europäische Union den 50. Jahrestag der Unterzeichnung der Römischen Verträge, und ich finde, dass das ein besonderer Tag ist, ein Tag, an dem wir für einige Stunden innehalten sollten: Innehalten im politischen Tagesgeschäft, innehalten, um zurückzublicken auf eine - wie ich finde - einzigartige Erfolgsgeschichte der europäischen Einigung, innehalten aber auch, um den Blick nach vorne zu richten und uns zu fragen: Wie gelingt es uns Europäern, Antworten auf die drängenden Fragen unserer Zeit zu finden?	As the President has pointed out, on 25 March, the European Union will celebrate the 50th anniversary of the signing of the Treaty of Rome. This is a special day, a day on which we should pause for a few hours in our day-to-day political business to look back at the story of European integration - a unique success story, in my opinion - and also to look forward and ask ourselves how we Europeans can find answers to the pressing issues of our time.
Wir können stolz darauf sein, was die Menschen in Europa in den vergangenen 50 Jahren erreicht haben. Der 25. März sollte deshalb vor allen Dingen ein Tag der Zuversicht sein.	We can be proud of what the people of Europe have achieved in the past 50 years, and so 25 March should be a day of confidence, above all.
Das Europäische Parlament hat den europäischen Einigungsprozess ganz wesentlich mitgeprägt.	The European Parliament has made a vital contribution to shaping the process of European integration.
Viele Erfolge wären nicht möglich gewesen, wenn die Abgeordneten des Europäischen Parlaments nicht beharrlich und engagiert für mehr Integration, für mehr Demokratie und Transparenz innerhalb der Europäischen Union eingetreten wären.	Many successes would not have been possible without the persistence and commitment of the Members of the European Parliament in standing up for more integration, for more democracy and transparency within the EU.
Als Präsidentschaft setzen wir auf eine gute und vertrauensvolle Zusammenarbeit mit dem Europäischen Parlament.	Our Presidency supports constructive cooperation with the European Parliament based on trust.
Bisher haben Sie uns nach Kräften unterstützt, und dafür möchte ich Ihnen an dieser Stelle ganz ausdrücklich danken.	Thus far, Parliament has supported us to the best of its ability, and for this I should like to express my most particular thanks at this point.
Wenn ich sage "unterstützt", dann meine ich das auch für die Vorbereitung der Berliner Erklärung, die wir am 25. März verabschieden wollen, und zwar als eine gemeinsame Erklärung der drei europäischen Institutionen Europäischer Rat, Europäisches Parlament und Europäische Kommission.	This support also applies to the preparations for the Berlin Declaration to be adopted on 25 March as a joint declaration by the three European institutions: the Council of the European Union, the European Parliament and the European Commission.
Das Europäische Parlament und die Kommission haben von Anfang an engagiert und aktiv an der Erarbeitung dieser Erklärung mitgewirkt.	Parliament and the Commission have made a committed, active contribution to drawing up this Declaration from the outset.
Ihnen, Herr Präsident, wie dem gesamten Haus möchte ich für das Vertrauen danken, das Sie der Präsidentschaft in dieser wichtigen Frage entgegenbringen, und ich danke Ihnen für die Zustimmung zu dem von uns vorgeschlagenen Verfahren.	I am obliged to the President and all the Members of this House for the confidence you have shown in the Presidency in this important matter.
Nach meinen Gesprächen und Diskussionen im Ausschuss für konstitutionelle Fragen und im Ausschuss für auswärtige Angelegenheiten weiß ich, wie schwer manchem von Ihnen gerade diese Zustimmung zu diesem Verfahren fiel.	I am also obliged to you for endorsing the procedure we suggested: I know from my talks and discussions in the Committee on Constitutional Affairs and the Committee on Foreign Affairs how hard it has been for some of you to do so.
Deshalb ganz herzlichen Dank für das Vertrauen in das Verfahren.	I really am, then, most grateful for your confidence in the procedure.
Für unsere Präsidentschaft haben wir uns vorgenommen, das Vertrauen und die Zustimmung der Bürgerinnen und Bürger zu Europa zu stärken.	Our Presidency has resolved to strengthen public confidence in and support for Europe.
Dazu brauchen wir den Dialog, dazu haben wir in den letzten Wochen und Monaten sehr genau zugehört, und zwar nicht nur in sehr erfolgreichen nationalen Konferenzen in Berlin mit Beteiligung von Bürgern, die nach Zufallsprinzip ausgewählt wurden und von denen wir wissen wollten, was sie sich von der EU erhoffen.	To this end, we need dialogue, and to this end we have been listening very carefully to the public in recent weeks and months. We invited citizens selected at random to what proved to be highly successful national conferences in Berlin, with the aim of learning what they hope for from the EU.
Eines scheint mir bei all dem klar zu sein: Wenn wir die Menschen für Europa gewinnen wollen, müssen wir an konkreten Beispielen zeigen, dass ihnen die europäische Einigung nützt.	As I see it, one thing is clear: if we want to win people over to Europe, we must give specific examples showing how they stand to benefit from European integration.
Wir müssen daran arbeiten, dass sich die Europäische Union den Aufgaben der Zukunft stellt, und überzeugende Lösungen anbieten.	We must work to ensure that the EU takes up the challenges of the future, and we must offer convincing solutions.
Der Europäische Rat am 8. und 9. März - Sie haben eben darauf hingewiesen - hat gezeigt, dass die EU auch mit 27 Mitgliedstaaten handlungsfähig sein kann, auch in den Bereichen, wo die Bürger dies von uns in besonderem Maße erwarten: bei Energie und Klimaschutz zum Beispiel.	As the President has just pointed out, the European Council on 8 and 9 March showed that the EU is capable of action even with 27 Member States, including in the fields in which the public particularly expects it to; for example energy and the fight against climate change.
Der Erfolg des Frühjahrsgipfels gibt uns Zuversicht für den weiteren Verlauf der Präsidentschaft.	The success of the Spring Summit gives us confidence as we continue our Presidency.
Wir wollen den Rückenwind auch für die Berliner Erklärung nutzen.	We wish to take advantage of this tailwind for the Berlin Declaration, too.
Wenn die Botschaft des Gipfels ist: "Wenn wir Europäer die Kraft zum gemeinsamen Handeln finden, dann können wir auch Zukunft aktiv gestalten", dann ist das die richtige Botschaft.	The Summit rightly sent out the message that, if we Europeans find the strength to act together, we can actively shape the future.
Die Bundeskanzlerin hat am 8. März beim Abendessen der Staats- und Regierungschefs - Kommissionspräsident Barroso und Sie, Herr Präsident, waren dabei - unsere Vorstellungen dargelegt, so wie wir sie in den ausführlichen Gesprächen mit den Beauftragten des Parlaments, der Kommission und den nationalen Regierungen entwickelt haben.	At the dinner for the Heads of State or Government on 8 March - which Commission President Barroso and you, Mr President, also attended - Chancellor Merkel described our ideas, as developed in the course of detailed discussions with representatives of Parliament, the Commission and the national governments.
Natürlich ist der Text für die Erklärung noch nicht endgültig fertiggestellt, und ich kann Ihnen versichern, dass das, was in der heutigen Diskussion hier zu hören ist, natürlich in unsere Überlegungen für die Endfassung eingehen wird.	The text of the Declaration is yet to be finalised, of course, and I can assure you that what I have heard in today's debate here will of course be included in our deliberations on the final version.
Wir möchten - und das habe ich in den Ausschüssen bereits berichtet - einen kurzen Text aus einem Guss, der unsere Erklärung zum 50. Jahrestag der Unterzeichnung der Römischen Verträge für die Bürger in verständliche Sprache fasst.	As I have already told the committees, we want the text of our Declaration marking the 50th anniversary of the signing of the Treaty of Rome to be brief and coherent, using language accessible to citizens.
Was sollen die zentralen Aussagen sein?	What should the key points be?
In einem ersten Teil der Erklärung wollen wir würdigen, was wir in den vergangenen 50 Jahren in Europa gemeinsam erreicht haben. Dazu gehören natürlich Frieden, Stabilität, Wohlstand, dazu gehört auch die Überwindung der Teilung des Kontinents.	We want to start the Declaration by paying tribute to the common achievements of the past 50 years in Europe; which include, of course, peace, stability, prosperity and the ending of the division of the continent.
Ohne den Freiheitswillen der Menschen in Mittel- und Osteuropa - und das wollen wir in der Erklärung ausdrücklich würdigen - wäre all das nicht möglich gewesen.	These would not have been possible were it not for the desire for freedom of the people of Central and Eastern Europe, to which we should like to pay tribute specifically in the Declaration.
(Beifall)	(Applause)
Zu den Erfolgen der europäischen Einigung gehören aus meiner Sicht auch die Formen und Prinzipien unserer Zusammenarbeit hier in Europa: Demokratie und Rechtstaatlichkeit, Gleichheit der Rechte und Pflichten der Mitgliedstaaten, Transparenz und Subsidiarität.	As I see it, the successes of European integration also include the forms and principles of our cooperation in Europe: democracy and the rule of law, equality of rights and obligations in the Member States, transparency and subsidiarity.
Diese Prinzipien - und auch darauf können wir ein wenig stolz sein - haben durchaus Vorbildcharakter für regionale Zusammenarbeit in anderen Teilen der Welt.	These principles are a model for regional cooperation in other parts of the world - in this, too, we can take a little pride.
Der darauf folgende Teil der Erklärung wird ein gemeinsames Bekenntnis zu den wichtigsten Werten enthalten: Würde des Menschen, Freiheit und Verantwortung, gegenseitige Solidarität, Vielfalt und Toleranz und Respekt im gegenseitigen Umgang.	The subsequent part of the Declaration will contain a joint declaration of commitment to the key values: human dignity, freedom and responsibility, mutual solidarity, diversity, and tolerance and respect in our dealings with each other.
Denn wir wissen: Die EU ist mehr als nur ein gemeinsamer Wirtschaftsraum.	After all, we know that the EU is more than just a common economic space.
Sie ist auch Wertegemeinschaft, und dieses Fundament aus gemeinsamen Werten und vielleicht auch einer gemeinsamen Lebensauffassung ist eine wichtige Voraussetzung dafür, dass Europa als politische Einheit handlungsfähig bleibt.	It is also a community of values, and this basis in common values, possibly along with a common outlook on life, is an important precondition for Europe's remaining capable of action as a political entity.
Das Herzstück der Erklärung wird sich dann natürlich mit den Zukunftsaufgaben befassen, die wir in Europa im 21. Jahrhundert gemeinsam angehen und bewältigen müssen.	The challenges that we in Europe will have to take up and overcome together in the 21st century will of course lie at the heart of the Declaration.
Dazu gehören Energie und Klimaschutz, hierzu gehört eine handlungsfähige europäische Außen- und Sicherheitspolitik und natürlich auch, dass wir den Bedrohungen durch Terrorismus und organisierte Kriminalität wirksam begegnen, ohne dabei Menschen- und Bürgerrechte einzuschränken.	These include energy and the fight against climate change, they include a functioning common foreign and security policy, and they also, of course, entail our countering the threats posed by terrorism and organised crime effectively without restricting human and civil rights in the process.
Natürlich gehört auch dazu, dass wir im Umgang mit illegaler Einwanderung gemeinsame Lösungen finden.	Of course, these also entail our finding common solutions to deal with illegal immigration.
Eine Botschaft erscheint mir aber besonders wichtig, wenn wir das Vertrauen der Menschen in Europa wieder stärken wollen: Europa steht für ein Gesellschaftsmodell, das wirtschaftliche Wettbewerbsfähigkeit mit sozialer und ökologischer Verantwortung verbindet.	One message strikes me as particularly important, however, if we wish to reinforce the confidence of the people of Europe once again: Europe stands for a social model that marries economic competitiveness with social and environmental responsibility.
Unternehmerische Freiheit ist genauso Teil der europäischen Erfahrung wie die Rechte und Mitwirkungsmöglichkeiten für die Arbeitnehmerinnen und Arbeitnehmer.	Freedom to conduct a business and worker rights and participation are equally part of the European experience.
Die EU hat ein soziales Gesicht, und auch die soziale Dimension Europas wollen wir in der Erklärung deutlich machen.	The EU has a social side, and we feel that the European social dimension, too, should be highlighted in the Declaration.
Die europäischen Regierungschefs haben sich in den Schlussfolgerungen vom vergangenen Freitag ausdrücklich auch dazu bekannt.	The European Heads of State or Government made an express declaration of commitment to this also in last Friday's conclusions.
Wir wissen alle, dass der Reform- und Erneuerungsprozess der Europäischen Union weitergeführt werden muss.	We all know that the EU must continue its process of reform and renewal.
In gut zwei Jahren finden die nächsten Wahlen zum Europäischen Parlament statt, und die Wählerinnen und Wähler haben ein Anrecht darauf, zu wissen, über welche Instrumente und Handlungsmöglichkeiten die Europäische Union dann verfügen soll.	In some two years' time, the next elections to the European Parliament will be taking place, and the electorate is entitled to know what instruments and means of action the EU will have at its disposal.
Wir wünschen uns daher, dass die Erklärung auch eine gemeinsame Verpflichtung enthält, hierfür an den notwendigen Voraussetzungen zu arbeiten.	Consequently, we should like to see the Declaration include a common commitment to working on the necessary preconditions for this.
Gestatten Sie mir ein abschließendes Wort: Der 50. Jahrestag ist für uns alle eine Chance, eine Gelegenheit, um Kraft für die Aufgaben zu schöpfen, die vor uns liegen.	Allow me to say a few words by way of conclusion. The 50th anniversary represents an opportunity for us all to build up strength for the challenges that lie ahead.
Lassen Sie uns an diesem Tag das in den Vordergrund stellen, was uns verbindet!	On this day, let us emphasise the things that unify us.
