Herr Präsident! Ich muss den Kollegen Rübig in Schutz nehmen.	Mr President, I must stand up for my honourable friend.
Der konnte das heute Morgen noch gar nicht sagen, weil ja jetzt das Protokoll immer erst am Nachmittag genehmigt wird.	He could not have raised it this morning, because the Minutes are not approved until the afternoon.
Aber ich wollte etwas ganz anderes sagen.	But I wanted to say something quite different.
Aus dem gestrigen Protokoll geht hervor, dass keine Fragestunde stattgefunden hat und dass die Sitzung trotzdem bereits um 22.20 Uhr, also wesentlich früher als geplant, beendet war.	As you can see from yesterday's Minutes, there was no Question Time and yet the sitting ended at 10.20 p.m., i.e. considerably earlier than planned.
Es wäre also Zeit genug für die Fragestunde gewesen.	So there would have been time enough for Question Time.
Ich weiß, dass man mir wahrscheinlich antworten wird, das hätte die Konferenz der Präsidenten so beschlossen, aber das Präsidium - und ich möchte Sie bitten, dem Präsidium das zu übermitteln - ist für die Einhaltung der Geschäftsordnung verantwortlich.	I know you will probably say that the decision would have been taken by the Conference of Presidents, but the Bureau - and I should like to ask you to convey as much to the Bureau - is responsible for keeping to the Rules of Procedure.
Aus der Geschäftsordnung geht ganz klar hervor, dass in jeder der zwölf ordentlichen Straßburger Plenartagungen - so jedenfalls interpretiere ich das - eine Fragestunde durchgeführt werden muss.	And it states quite clearly in the Rules of Procedure that there must be one Question Time during each of the twelve plenary sessions in Strasbourg - at least that is how I understand it.
Das ist ein parlamentarisches Recht und keine Kann-Bestimmung.	That is a parliamentary right and it is non-negotiable.
Insofern war die Streichung der Fragestunde an Rat und Kommission diese Woche meines Erachtens sowohl ein Verstoß gegen elementare parlamentarische Rechte als auch ein Verstoß gegen die Geschäftsordnung, obwohl wir genügend Zeit haben.	Hence, cancelling Question Time to the Council and Commission this week was, in my eyes, both an infringement of our fundamental parliamentary rights and an infringement of the Rules of Procedure, despite the fact that there was time enough.
Heute Nachmittag haben wir nur noch eine einzige Debatte.	This afternoon we have just one more debate.
Wir hätten also auch heute Nachmittag ruhig Dringlichkeitsdebatten abhalten können, die hat man auch gestrichen.	So we could easily have held a topical and urgent debate this afternoon, but that too has been cancelled.
Wir haben im Moment in der Elfenbeinküste einen Putsch: Das behandeln wir am 9. Oktober, wenn die Sache längst vorbei ist.	There has been a coup in the Côte d'Ivoire. We are due to debate it on 9 October, when it will already be history.
Ich bitte wirklich darum, die Organisation der Arbeiten anders zu gestalten als es heute Nachmittag und diese Woche geschehen ist.	I urge you to organise Parliament's work differently from the way in which it has been organised this afternoon and this week.
