Herr Präsident! Ich möchte mich gerne den Worten des Kommissars und meines Vorredners anschließen.	Mr President, I would like to endorse what the Commissioner and the previous speaker said.
Ich habe Ken Stewart immer besonders geschätzt.	I always held Ken Stewart in particular esteem.
Wir waren uns einig, daß der Mensch in der Schiffahrt eine ganz besondere Rolle spielt und daß er zu schützen ist, sei er Passagier, sei er Seemann.	We agreed that human beings play a particularly important role in shipping and need to be protected, be they passengers or crew.
Ich glaube, wir werden Ken Stewart immer in Erinnerung behalten, und es ist ganz wichtig, daß wir solche Leute bei uns hatten, daß wir uns an sie erinnern und hoffentlich wieder Nachfolger haben des gleichen, großen Geistes.	I think we will always remember Ken Stewart and it is most important to have people such as him among us, to remember them and, we hope, to find successors with the same greatness of mind.
Kommen wir leider zu dem traurigen Thema der Fahrgastschiffe.	Unfortunately we come now to the sad question of passenger ships.
Ich finde es gut, was die Kommission vorgeschlagen hat.	I think the Commission has made good proposals.
Ich finde es gut, daß wir auch für in der Inlandsfahrt eingesetzte Passagierschiffe einheitliche Sicherheitsstandards haben wollen, denn es ist für den Bürger unverständlich, daß es in einer Gemeinschaft von 15 Staaten unterschiedliche Standards gibt.	I think it is a good idea to have uniform safety standards for passenger ships in domestic waters too, for our citizens find it inexplicable why there are different standards in a Community of fifteen states.
Herr Kommissar, was wir nicht so glücklich sehen, ist, daß es lange Übergangsvorschriften gibt, in den einzelnen Details Übergangsvorschriften bis zum Jahre 2010.	Commissioner, what we are not so happy about is the long transitional provisions, which extend up to the year 2010 in the case of some details.
Ich hoffe, Sie und wir im Haus sind uns einig, an die Mitgliedstaaten zu appellieren, diese Übergangsvorschriften, egal in welchem Teil der Union, nicht auszunutzen, denn wenn wir der Auffassung sind, daß es Mindestsicherheitsstandards geben muß, dann müssen diese in allen Teilen der Gemeinschaft gelten, weil die Bürger und die Touristen in allen Teilen der Gemeinschaft den gleichen Anspruch auf Sicherheit haben, wenn sie ein Fahrgastschiff benutzen.	I hope you and we in this House will agree to call on the Member States not to apply these transitional provisions in any part of the Union, for if we believe that minimum safety standards are necessary, then these must apply in every part of the Community, because people and tourists have the same right to safety when they use a passenger ship in every part of the Community.
Vielleicht können Sie uns dazu noch etwas sagen, Herr Kommissar.	Perhaps the Commissioner could say a few words on this.
Zweitens möchte ich natürlich dem ausgezeichneten Berichterstatter, unserem Kollegen Per Stenmarck, für seinen Bericht danken und die Kommission bitten, einen besonderen Antrag von ihm anzunehmen und zu unterstützen gegenüber dem Rat, denn die Formulierung eines besonderen Antrages, den auch die Sozialisten unterstützen, lautet: Die gemeinsamen Normen sollen die Umsetzung bestehender höherer Sicherheitsstandards in dem Mitgliedstaat nicht beeinträchtigen.	Secondly, I want of course to thank the excellent rapporteur, Mr Per Stenmarck, for his report and ask the Commission to take on board a particular request he made and to defend it vis à vis the Council; this special request, which the Socialists also support, reads as follows: ' such common standards should not impair the implementation of existing higher standards of safety in Member States' .
Wir sind uns alle einig, daß diese Richtlinie von keinem Mitgliedstaat genutzt werden sollte, um bereits bestehende höhere Sicherheitsstandards herunterzufahren, und auch da, Herr Kommissar, wäre ich Ihnen dankbar für eine Stellungnahme.	We all agree that no Member State should use this directive as a means of lowering existing higher safety standards and here too I would be grateful if the Commissioner gave his views.
