Herr Präsident! Der Tourismus hat wohl viele Auswirkungen, das ist unbestritten.	Mr President, that tourism can have many side-effects is not a matter of dispute.
Ich als Tiroler weiß, wovon ich spreche, denn Tirol ist heute eine der tourismusintensivsten Regionen der ganzen Welt.	Being from the Tyrol myself, I know what I am talking about, for the Tyrol is now one of the world regions most visited by tourists.
Der Tourismus ist der am schnellsten wachsende Wirtschaftszweig und gibt heute bereits Millionen Menschen Arbeit.	Tourism is the fastest-growing area of the economy and is already providing millions of people with jobs.
Er hat das Potential, in den Entwicklungsländern stabile Einkommen und stabile wirtschaftliche Verhältnisse zu schaffen. Wichtig ist aber, dass wir den notwendigen rechtlichen Rahmen schaffen, um die Gefahren und Risiken, die vom Tourismus ausgehen, zu bannen.	Although it has the potential to stabilise incomes and economic conditions in developing countries, it is important that we create the legal framework that is needed if they are to be rid of the perils and risks that follow in tourism’s wake.
Am wichtigsten ist, dass wir die Grundlagen der touristischen Entwicklung in den jeweiligen Fremdenverkehrsdestinationen langfristig sichern.	What is most important is that we should put the development of tourism in each tourist destination on foundations that will be secure in the long term.
Wir müssen unsere Gastgeber schützen – dies ist in Ziffer 35 des Entschließungsantrags aufgeführt, wo auch auf den Ethik-Kodex der WTO Bezug genommen wird. Das bedeutet, dass die Touristen ihre Gastgeber als solche zu respektieren haben und nicht die gewachsenen Strukturen durch ihr Verhalten zerstören dürfen.	As is stated in paragraph 35 of the motion for a resolution, which makes reference to the WTO’s code of ethics, we have to protect our hosts, and that means that tourists must treat their hosts as such, with respect, rather than behaving in such a way as to wreck structures that have evolved over time.
Auswüchse wie der Sextourismus sind auf das Schärfste zu verurteilen, und vor allem auch rechtlich zu verfolgen.	Such aberrations as sex tourism deserve the most forthright condemnation, and, above all else, punishment at the hands of the law.
Wir sollten die europäischen Programme weiterführen, mit denen der Kampf gegen diese Auswüchse finanziell unterstützt wird.	We should maintain the European programmes that support financially the fight against these pernicious activities.
Zum zweiten müssen wir die Natur in den Fremdenverkehrsdestinationen schützen. Da geht es nicht nur darum, die Immobilienspekulation zu verhindern, wie dies in Ziffer 40 des Berichts ausgeführt wird.	Secondly, we have to protect nature in the places abroad that tourists visit, and not just by preventing the speculation in property to which paragraph 40 of the report refers.
Durch unsere Lebensgewohnheiten zerstören wir die natürlichen Ressourcen in diesen Ländern.	It is by our own habits of life that we destroy the natural resources of these countries.
Denken wir daran, dass wir einen viel höheren Wasser- und Energieverbrauch haben als diese Länder. Durch unser Verhalten vor Ort exportieren wir natürlich auch unsere Lebensweise.	Let us bear in mind that we use far more water and energy than they do, and our lifestyles are of course exported by the way we act when we are there.
Die Abfallmengen steigen ebenfalls drastisch an. Das kann dazu führen, dass die natürlichen Räume zerstört werden und es zu einer Übernutzung kommt.	There is also a dramatic increase in the amount of waste, which can result in the destruction of natural areas and to over-exploitation.
Hier muss man von Anfang an auf nachhaltige Tourismuskonzepte bauen.	This is where we have to start from the very outset with concepts of what sustainable tourism is and build on them.
Nur unter diesen Bedingungen kann der Fremdenverkehr seine volle positive Wirkung entfalten, das heißt Arbeitsplätze und Wohlstand schaffen, wirtschaftliche Entwicklung fördern und vor allem auch das demografische und gesellschaftliche Leben fördern und stimulieren.	It is only if these conditions are in place that the beneficial effects of foreign travel can be felt to the full, by creating jobs and bringing prosperity, fostering economic development and, above all, stimulating population growth and the life of society.
Er kann zur Völkerverständigung beitragen, und die brauchen wir heute in einer Welt, die leider immer unsicherer wird!	It can promote understanding between peoples, something that we need in a world that is, alas, becoming less and less secure.
Jedenfalls begrüße ich den Bericht sehr.	In any case, the report gets a warm welcome from me.
