Herr Präsident, Herr Präsident Santer, ich danke Ihnen für Ihre Worte.	Mr President, may I thank President Santer for his words to us.
Ich möchte aber auch einen Zweifel anmelden und ihn mit einem Zitat formulieren: "Die Worte hör ich wohl, allein, mir fehlt der Glaube!"	Allow me, however, to confess to a certain doubt and to express it in the following words: 'I hear the words, but I lack faith'.
Ich möchte es abändern in "Verhelfen Sie uns zum Glauben" , daß die Defizite gemeinsam aufgearbeitet werden.	In a similar vein, I should like to say to you, 'Help us to believe', so that we can make up these deficits together.
Ich möchte jetzt zum Bösch-Bericht zurückkehren, der heute ansteht, und Herrn Bösch zunächst einmal Dank und Anerkennung aussprechen, weil er die etlichen Schwierigkeiten überwunden hat und der Bericht jetzt vorliegt.	I should like to come back now to the Bösch report on today's agenda and to begin by expressing my thanks and appreciation to Mr Bösch for having overcome a good many difficulties to put the report on the table today.
Wie aus dem Titel und dem Inhalt des Berichts klar hervorgeht, gründet er sich auf den Rechnungshofbericht 8/98 und damit auf Artikel 206 des Vertrages.	As is clear from the title and substance of the report, it is based on special report No 8/98 of the Court of Auditors and hence on Article 206 of the Treaty.
Die mißverstandene Auslegung der Rechtsgrundlage hat unser Ausschuß für Haushaltskontrolle nie geteilt.	Our Committee on Budgetary Control has never subscribed to the misinterpretation of this legal basis.
Aber leider haben die Mißverständnisse die Vorlage des Berichts im Plenum verzögert.	Such misinterpretations, however, have delayed the presentation of the report to a plenary sitting of Parliament.
Denn nach Bekanntwerden der vermuteten Mißstände im Amt für humanitäre Hilfe wäre eine rasche Reaktion des Parlaments in Form von Vorschlägen zur Abhilfe nützlich gewesen.	This is regrettable because, in view of the revelations of alleged abuses in the European Community Humanitarian Office, a rapid response by Parliament in the form of proposed remedies would have been useful.
Inzwischen wurde der Fall ECHO in den Medien sattsam kommentiert.	The ECHO case has subsequently received exhaustive coverage in the media.
Seitens der Kommission hätten wir uns wirklich raschere und vollständigere Information gewünscht.	We could certainly have done with quicker and more comprehensive information from the Commission.
Denn für uns demonstriert dieser Fall erneut die Defizite, mit denen die EU bei der wirksamen Bekämpfung des Mißbrauchs von EU-Geldern weiterhin zu kämpfen hat.	Once again, this case illustrates the way in which the EU still has to struggle to win the fight against the misuse of its resources with one hand tied behind its back.
Längst bekannte Fälle wie MED, Transit, Tabak - ich könnte mehr aufzählen - warten noch immer auf die vollständige Klärung und Konsequenzen.	Long-familiar cases, such as the MED, transit and tobacco frauds - I could name more - still await full investigation and prosecutions.
Der Rechnungshofsonderbericht beweist, daß das Parlament zu Recht unzufrieden ist mit der derzeitigen Strukturenkompetenz der UCLAF, besonders wenn es um kommissionsinterne Untersuchungen geht.	The special report by the Court of Auditors proves that Parliament is right to be dissatisfied with the present structural competence of UCLAF, especially when it comes to internal Commission investigations.
Dies ist nicht den Beamten und zu vielen Zeitbediensteten der UCLAF anzulasten. Vielmehr liegt es an der unsystematischen Art, die Vorgänge zu behandeln.	This is not the fault of UCLAF's officials or its excessive reliance on temporary employees, but rather on the unsystematic manner in which it processes its cases.
Allein bis April 1997 nennt der Rechnungshof über 1300 noch nicht abgeschlossene Vorgänge. Herr Bösch hat es erwähnt.	The Court of Auditors mentions more than 1300 pending cases, not including those opened after April 1997, a point to which Mr Bösch also referred.
Mangelnder Informationsfluß und schlechte Koordinierung sind ein weiterer Punkt.	An inadequate flow of information and poor coordination are another point.
Bei vermuteten Korruptionsfällen innerhalb der Kommission fehlen klare Regelungen bis hin zur Einschaltung der Strafverfolgungsbehörden, so der Rechnungshof.	In the event of suspected corruption within the Commission, the Court of Auditors notes, powers and procedures are not clearly regulated, nor is there even a requirement to inform the prosecuting authorities.
Künftige Möglichkeiten für Betrugsmanöver sind mit der Einführung des Euro und der EU-Erweiterung zu befürchten.	It is to be feared that the introduction of the euro and the enlargement of the EU will create further scope for fraudulent operations.
Dies sind nur einige Gründe für die Forderung, die Rolle, den Aufbau und die Zuständigkeiten der UCLAF schlagkräftiger und unabhängiger in Form eines Amtes zur Betrugsbekämpfung zu gestalten.	These are only some of the reasons for the demand that the function, structure and powers of UCLAF be given more incisive and independent shape in the form of a Fraud Prevention Office.
Herr Bösch hat das vorgelegt.	That is what Mr Bösch has put on the table.
Wir wagen jedoch heute mit OLAF keinen endgültigen Schritt.	Today, however, we are not taking the ultimate step by approving OLAF.
Dieses Parlament als Kontrollbehörde muß aber etwas tun, damit wir gemeinsam erarbeiten, wie wir den neuen Herausforderungen entgegentreten können.	But this Parliament, as a controlling authority, has to do something that will enable us to devise jointly a means of tackling the new challenges that confront us.
Deshalb machen wir nicht einen juristisch fundierten Vorschlag, sondern wir geben Eckpunkte für das, was wir uns vorstellen.	For that reason, we are not making a legally based proposal but are marking out the basic shape of our ideas.
Wir bitten die Kommission sehr herzlich, diese Eckpunkte ernst zu nehmen und einzubeziehen.	We beg the Commission earnestly to take serious note of these markers and to include them in its deliberations.
Ich fürchte, wir werden sonst eine recht lange Diskussion vor uns haben, bis wir zu einer weiteren, effizienten Betrugsbekämpfung kommen.	Otherwise, I fear, we shall have a rather lengthy discussion ahead of us before we find another efficient way to combat fraud.
