An seinem Gegner soll man Maß nehmen.	You should always measure yourself against your opponent.
Wer bekämpft diesen Vertrag von Amsterdam mit der größten Vehemenz?	Who is fighting this Treaty of Amsterdam with the greatest vehemence?
Zum einen sind das Eurofundis.	On the one hand, there are the Euro-fundamentalists.
Ihnen geht der Vertrag von Amsterdam nicht weit genug.	For them the Treaty of Amsterdam does not go far enough.
Sie wollen rascher und umfassender einen europäischen Bundesstaat, und den bringt dieser Vertrag von Amsterdam noch lange nicht.	They want a quicker and more complete move to a European federal state, and this Treaty of Amsterdam is a long way off that.
Zum andern wird der Vertrag von Amsterdam bekämpft von den prinzipiellen Gegnern der Europäischen Union, die entweder überhaupt kein gemeinsames Europa wollen oder nur einen ganz losen Staatenbund, eine bessere Freihandelszone mit Nationalstaaten, die zu allem nein sagen können.	On the other hand, the Treaty of Amsterdam is being fought by the main opponents of the European Union, who either do not want a common Europe at all or only want a very loose confederation of states, a superior free trade zone of nation states, who can say no to everything.
Bei solchen Gegnern und deren Argumenten kann der Vertrag von Amsterdam gar nicht so schlecht sein.	For such opponents and their arguments the Treaty of Amsterdam cannot be bad at all.
Aber er könnte besser sein.	But it could be better.
Er könnte und er müßte vor allem auch weiter- und tiefergehende institutionelle Reformen umfassen, wenn er jenes Maß an Vertiefung des gemeinsamen Europa bringen soll, das wir für die nächste Erweiterung der Union brauchen.	It could, and should, embrace much broader and deeper institutional reforms if it is to bring about each bit of consolidation needed for the next enlargement of the Union.
Bis zur Erweiterung haben wir noch einige Jahre Zeit.	We still have a few years yet until enlargement.
Diese Zeit müssen wir zu einer weiteren Vertragsrevision nutzen, die anderen Regeln folgt als die bisherigen Regierungskonferenzen.	We must use this time for further treaty review, which follows other rules than the previous Intergovernmental Conferences.
Die bisherige Methode der Vertragsrevision ist überholt.	The previous method of treaty review is out of date.
Sie führt zu Vetopositionen dort, wo wir Bewegung brauchen.	It leads to veto positions in areas where we need movement.
Sie führt zum kleinsten gemeinsamen Nenner dort, wo wir große - um nicht zu sagen - größte Gemeinsamkeiten brauchen.	It leads to the lowest common denominator in areas where we need great - if not the greatest - commonalities.
Welches Verfahren hilft uns aus diesem Dilemma?	Which procedure will help us out of this dilemma?
Méndez de Vigo und Tsatsos bringen in ihrem Bericht den richtigen Weg in die Diskussion.	Mr Méndez de Vigo and Mr Tsatsos bring the correct approach to the discussion.
Die nächste Vertragsrevision muß europäischen Regeln der Rechtsetzung folgen, sie muß so vonstatten gehen, wie wir traditionell europäisches Recht machen: auf der Grundlage eines Initiativantrags der Kommission und unter vollberechtigter Mitwirkung des Parlaments und des Rates.	The next treaty review needs to follow European rules of lawmaking. It must proceed in the way we traditionally make European laws: on the basis of a notice of motion from the Commission and with the legitimate involvement of Parliament and Council.
Wenn wir die nächste Revision nach diesen Regeln vornehmen, dann wird sie erfolgreich sein, und dann wird der nächste Vertrag die Erweiterung nicht nur nicht verhindern, sondern ermöglichen.	If we conduct the next review according to these rules, then it will be successful, and then the next treaty will not only fail to prevent enlargement, but actually promote it.
