Danke vielmals für Ihre Worte, Frau Präsidentin.	Thank you very much Madam President.
Ich bin sehr glücklich, daß ich an diesem Tag auch einmal eine gute Nachricht überbringen kann.	I am very pleased to be able to bring you good news on this day, for once.
Wir haben soeben eine Mitteilung erhalten zu unserer Entschließung zu den Maßnahmen der slowakischen Regierung gegen die slowakische Presse.	We have just received a communique about our resolution concerning the Slovak Government's measures against the Slovak press.
Das slowakische Parlament hat sich entschlossen, diese Maßnahmen weitgehend zu verwerfen bzw. so umzuformulieren, daß wir den Eindruck haben, hier ist jetzt eine wirkliche Schlacht für die Pressefreiheit in der Slowakei gewonnen worden.	The Slovak Parliament has resolved largely to reject these measures or so to rephrase them, that we have the impression that a real battle for press freedom in Slovakia has been won here.
Dies ist von großer Bedeutung, weil es wieder einmal zeigt: Wenn man sich mit einer Frage ernsthaft befaßt, so gibt es hier einen Erfolg.	This is of great significance because it shows yet again that, if one really confronts a matter, one is successful.
Es ist ein Glück für uns, daß das geschehen ist, denn das slowakische Volk ist eines der sympathischsten Völker in Europa.	That is our good fortune, because the Slovaks are one of the most likeable races in Europe.
Es ist ein gutes Volk, das in seiner Geschichte sehr viel erlitten hat und das trotzdem weiter zu seinem Glauben und seinem Vaterland steht.	They are good people who have suffered a great deal throughout their history, and yet still believe in their faith and their homeland.
Heute hat es einen Ministerpräsidenten, der leider eine sehr bedauerliche Politik betreibt und sich gerade auch im Zusammenhang mit den Beziehungen zu den Minderheiten in einer Weise aufführt, die wir absolut nicht gutheißen können.	Today they have a Prime Minister who follows a most unfortunate policy and, particularly with regard to minorities, behaves in a manner which we cannot in any way countenance.
Daher ist die Slowakei in den Verhandlungen mit der Europäischen Union leider zurückgefallen, obwohl es unter einem besseren Ministerpräsidenten zweifelsohne besser gelaufen wäre.	That is why Slovakia has fallen behind in its negotiations with the European Union, although things would doubtless have gone better under a better Prime Minister.
Diese Entwicklung zeigt aber zumindest, daß wir in die richtige Richtung gehen, und wir können sagen: Wir brauchen diese Entschließung nicht mehr.	This development at least shows that we are progressing in the right direction, and we can say that we no longer need this resolution.
Nach den Erfahrungen, die wir mit Herrn Meciar gemacht haben, würden wir die Sache in dem Augenblick wieder einbringen, wo man sich nicht an das hält, was das Parlament beschlossen hat.	As a result of our experience with Mr Meciar, however, we should restore the matter at once, were the Parliament's resolution not to be obeyed.
Daher sei das ein gutes Zeichen, das dafür steht, daß wir uns unsererseits einsetzen.	Let that be sign of good faith on our part.
Gleichzeitig soll es auch ein Zeichen gegenüber dem slowakischen Volk sein, daß, wenn dort eine Politik verfolgt wird, die unserem Standard entspricht, die Tür der Europäischen Union für die Slowakei weit offen stehen wird.	At the same time, it should be a signal to the Slovak people that if policies which accord with our standards are followed there, the door to European Union stands wide open for Slovakia.
In diesem Sinn darf ich, zumindest im Namen des Erstunterzeichners, der hier neben mir sitzt, nämlich meines Sohnes, zu dieser Entschließung sagen: Wir ziehen diese Entschließung zurück, aber mit dem Gedanken, daß, wenn sich Herr Meciar nicht an die Beschlüsse des Parlaments hält, die Entschließung im Dezember erneut eingereicht wird.	As a result, at least speaking on behalf of the first signatory sitting next to me, my son, may I say that we withdraw this resolution, but with the thought that should Mr Meciar not abide by his parliament's resolution, our resolution will be reintroduced in December.
