Berichterstatter. - Frau Präsidentin! Herr Kommissar, aber das ist ja genau die Crux.	Madam President, Mr Almunia, that is exactly the problem.
Sie haben ja Recht, wenn Sie dem Kollegen Lange bestätigen: Das ist eine Ratsverordnung.	You are right when you confirm to Mr Lange that it is a Council regulation.
Nur hängt es auch von Ihnen ab, ob Sie als Kommission den Argumenten zugänglich sind, die sowohl im Rat als auch hier im Parlament geäußert werden.	However, it also depends on whether the Commission hears the arguments put forward in the Council and here in Parliament.
Sie müssen schon von Ihrem Vorschlag abgehen in dieser Striktheit, wie Sie es gemacht haben, dann kann das passieren, was vernünftig ist in der Demokratie, dass mit Mehrheit entschieden wird und man nicht auf Einstimmigkeit angewiesen ist.	You must drop this very stringent proposal, as you have done, so that it is possible for a sensible, democratic approach to be taken, which involves a majority decision that does not require unanimity.
Eine zweite Bemerkung will ich zum Kollegen Chatzimarkakis machen.	I would like to make a second remark to Mr Chatzimarkakis.
Die Revisionsklausel, die Sie jetzt angesprochen haben, ist hier völlig irrelevant.	The review clause which you referred to is completely irrelevant in this case.
Und das Geplänkel, das es da in Deutschland gegeben hat, dient nur zur Gesichtswahrung des Wirtschaftsministers dort, weiter nichts.	The disputes which took place in Germany were only intended to save the face of the Minister for Economic Affairs there, nothing more.
Jetzt will ich auf die Sorge eingehen, die gerade der Kommissar geäußert hat.	Now, I would like to look at the concern expressed by Mr Almunia.
Herr Kommissar, eigentlich niemand hier, und der Bericht schon gar nicht, stellt in Zweifel, dass es jetzt um eine Auslaufregelung geht.	No one here and not even the report itself is questioning the fact that this is a phasing out arrangement, Mr Almunia.
Ob das vernünftig ist, ist eine andere Frage, ob das energiepolitisch vernünftig ist, ob das technologiepolitisch vernünftig ist.	Whether it is sensible in terms of energy policy or technology is another question.
Das, was der Kollege Geier gesagt hat, ist ja völlig richtig. Aber wir stellen das nicht in Frage.	What Mr Geier said is absolutely correct, but we are not calling that into question.
Die einzige Frage ist: Machen wir das relativ abrupt, 2014, oder gibt es vernünftige Übergangsregelungen bis 2018?	The only question is whether we should do this relatively abruptly in 2014 or whether there are sensible transitional arrangements for 2018.
Aber ansonsten stellen wir hier nichts in Frage.	Otherwise, we are not questioning anything.
Denn es ist ja nicht so, wie es beispielsweise Kollege Lambert sagt, der seine Rede vorgelesen hat und dann gegangen ist.	The situation is not as described by Mr Lambert, for example, who read out his speech and then left.
Er hätte hierbleiben sollen, dann könnte er vielleicht etwas lernen.	He should have stayed here, because he might have learned something.
Es ist nicht so, dass es hier Mitgliedsländer gibt, die gar nichts getan haben.	It is not the case that there are Member States who have done nothing at all.
Das ist weder in Spanien so, das ist in Polen nicht so, das ist in Rumänien nicht so, das ist auch in Deutschland nicht so.	That is not true of Spain, of Poland, of Romania or of Germany. In 1990, more than 200 000 people were working in the mining industry in Germany.
1990 hat es in Deutschland noch über 200 000 Arbeitsplätze im Steinkohlebergbau gegeben.	Now, 20 years later, the figure is around 20 000.
20 Jahre später gerade mal noch gut 20 000, also ein Rückgang um 90 %, gerade mal noch 10 %.	This represents a drop of 90%, leaving only 10% of the jobs still in place.
Und auch in der Zeit von 2002 bis jetzt, in der Laufzeit dieser zur Zeit noch gültigen Verordnung, hat es jede Menge Zechenschließungen gegeben.	There have been a number of pit closures between 2002 and the present day during the period of this regulation, which is still in force.
Also tun wir doch nicht so, als wäre nichts passiert.	Let us not behave as if nothing has happened.
Die Frage ist: Brauchen wir eine vernünftige Übergangszeit, um das ohne sozialpolitische Brüche machen zu können, Ja oder Nein?	The question is whether or not we need a sensible transitional period to be able to achieve this without causing socio-political damage.
Und da kann ich nur appellieren: Ja, wir brauchen sie.	I can only say, yes, we do need one.
Und da soll es dann auf diese vier Jahre nicht darauf ankommen, weil im Kern das doch sowieso keiner mehr in Frage stellt.	This four-year period should not be an issue, because no one is calling that into question anyway.
Bitte, nehmen Sie das mit in die Kommission.	Please take that message back to the Commission.
