Herr Präsident, Kommissar, meine Damen und Herren! Es gibt sicherlich noch viele Fragen.	Mr President, Commissioner, ladies and gentlemen, I am sure there are still many more questions.
Man kann auch alles hinterfragen, aber ich denke, die Kennzeichnung von Rindfleisch und Rindfleischerzeugnissen muß jetzt dringend kommen, und zwar ab September und nicht erst ab Januar nächsten Jahres.	You can of course always revisit everything, but I think that we now need labelling of beef and beef products as a matter of urgency, by which I mean as from September this year and not as from January next year.
Darüber haben wir in den Ausschüssen ausgiebig diskutiert.	We have discussed this at length in committee.
Bei der Herkunftsicherung wurden bisher große Fortschritte gemacht durch Transparenz, und es konnte auch ein positiver Einfluß geltend gemacht werden.	As regards guarantees of origin, great progress has already been made as a result of improved transparency, and it was possible to make a positive impact.
Es gibt viele regionale Programme, zum Beispiel in meiner Heimat, in Rheinland-Pfalz, die zeigen, daß dies machbar ist, und die hier eine Vorreiterrolle gespielt haben.	There are many regional programmes, for example in my home region of Rheinland-Pfalz, and these demonstrate that this is feasible and have led the way here.
Wenn wir nur einmal zurückdenken: Die Landwirte und die fleischverarbeitenden Betriebe standen vor einem Existenzverlust, und nur durch umfassende Information, verbunden mit strategisch guten und wirkungsvollen Marketingmaßnahmen, konnte das Vertrauen der Verbraucher teilweise wiedergewonnen werden.	It is not so long since farmers and meat-processing plants were threatened with annihilation, and it has only been through a combination of comprehensive information and strategically sound and effective marketing measures that it has been possible to rebuild consumer confidence to some extent.
Wir dürfen jetzt diesen Erfolg nicht durch Rückschritte schwächen, indem wir die Etikettierung zeitlich zurücknehmen.	We must not allow this success to be undermined by deferring the introduction of labelling, which would be a step backwards.
Besonders wichtig für die Verbraucher sind die Ursprungsbezeichnungen.	Designation of origin is particularly important for consumers.
Unsere Bauern haben für die Kennzeichnung klare und gute Vorleistungen erbracht.	The preparatory work our farmers have done on labelling has been good and clear.
In Deutschland sind wir mit der Rinderkennzeichnung weit vorangekommen.	We have made good progress with beef labelling in Germany.
In diesem Zusammenhang frage ich den Herrn Kommissar: Wie weit sind hier die anderen Mitgliedstaaten?	In this context I would like to ask you, Commissioner, what progress the other Member States have made.
Sicherlich, ein Augenmerk muß auch auf die eingeführten Produkte aus Drittländern gerichtet werden.	We certainly need to keep an eye on products imported from third countries.
Diese müssen klar als solche erkennbar auf den Markt kommen.	These should be clearly recognisable as such when they are sold.
Was aber sollen die teilweise zu detaillierten Bezeichnungen?	But what about those sometimes excessively detailed descriptions?
Sie verwirren.	They are confusing.
Wer von den Verbrauchern weiß zum Beispiel, was eine Färse ist, und wen interessiert es, wofür ist es wichtig?	For example, how many consumers know what a heifer is, who would be interested in that, and why is it important?
Die Vorschläge in bezug auf die Kategorie sind hier noch nicht eindeutig von der Kommission vorgetragen, aber ich denke, die Kommission muß einen einfachen und verständlichen Weg gehen.	The Commission has not yet clearly presented its proposals on category here, but I think it will have to adopt a simple and clear approach.
Bezeichnungen wie Kalb oder Rind sind ausreichend, und wer mehr Information geben will, der sollte dies auch tun können.	Descriptions such as 'veal' or 'beef' are sufficient, and anyone who wants more information should also be able to obtain it.
