. Vielen Dank, Herr Präsident!	draftsman of the opinion of the Committee on Budgets.
Liebe Kolleginnen und Kollegen! Als erstes möchte ich Herrn Valdivielso zu dem sehr guten und politisch ausgewogenen Bericht zur neuen TACIS-Verordnung gratulieren.	Thank you Mr President, ladies and gentlemen, I should like to start by congratulating Mr Valdivielso de Cué on his excellent and politically balanced report on the new TACIS regulation.
Ich möchte mich auch bei der Kommission für die sehr gute Zusammenarbeit bei der Vorbereitung dieses Berichtes bedanken.	I should also like to thank the Commission for their excellent cooperation in the preparation of this report.
TACIS ist ein wichtiges politisches Instrument der Europäischen Gemeinschaft, eben nicht nur in Rußland, sondern in allen Republiken der ehemaligen Sowjetunion mit Ausnahme des Baltikums und der Mongolei.	TACIS is an important political instrument of the European Community, not only in Russia but in all the republics of the former Soviet Union, with the exception of the Baltic States and Mongolia.
Auch im Bereich TACIS hat sich endlich die Philosophie durchgesetzt, daß wir die Mittel immer mehr im beiderseitigen Interesse nutzen sollten.	The philosophy that funds should be used more for the benefit of both sides has finally permeated through to TACIS.
Das bedeutet, daß wir von einer Ausrichtung entsprechend der Nachfragen durch die Nutzerstaaten zu einer von beiden Seiten vorhandenen Nutzung der Mittel kommen.	This means that we should shift from demand-driven payments by partner countries to the deployment of funds by both sides.
Dieser Einsatz wird sich, meiner Meinung nach, als wesentlich effektiver erweisen, und wir sollten hier als Parlament auch in Zukunft darauf achten, daß die Europäische Seite Einfluß auf die Mittelnutzung nehmen kann.	This deployment will, in my opinion, prove to be much more effective and we in Parliament should also make sure in future that the European side can influence the deployment of funds.
Dies gibt dem Gesamtprogramm eine Flexibilität, die es bisher nicht hatte, und hilft, Mittelverschiebungen zu vermeiden.	This will give the entire programme the flexibility which it has been lacking hitherto and help to prevent funds being misplaced.
In den vergangenen Jahren mußte ich, wie viele meiner Kollegen, die in Osteuropa aktiv sind, feststellen, daß Haushaltsmittel der EU im TACIS-Bereich nicht immer auf die effizienteste Art und Weise genutzt wurden.	In past years I and many of my colleagues who are active in Eastern Europe have noted that EU budget appropriations for TACIS are not always used as efficiently as they might be.
Ich will hier gar nicht lange auf unsere leidigen Erfahrungen mit Hunderten von Studien eingehen.	I do not want to dwell here on our tiresome experiences with hundreds of studies.
Das lag einerseits an den Beschränkungen, die in der Verordnung selbst lagen, und andererseits auch an Problemen im Bereich des Managements.	This has been due in part to limitations in the regulation itself and to problems in the management area.
Die für mich bedeutendsten Mängel in diesem Bereich sind durch die neue Verordnungsvorlage verringert worden, und insbesondere wird sich die Konzentration auf zwei Prioritäten und nicht wie bisher auf 12 pro Partnerland durch eine größere Professionalität und Sichtbarkeit auszeichnen.	The most significant shortcomings in this area have, in my view, been reduced in the new proposed regulation; more importantly, concentrating on two rather than 12 priorities per partner country as in the past will show a greater degree of professionalism and improve visibility.
Neue Bestimmungen betreffend Investitionsmöglichkeiten sind auf die Entwicklung des entweder embryonalen oder inexistenten Bereiches der KMU gerichtet.	New provisions on potential investments are geared to the development of either the embryonic or non-existent SME sector.
Sie sind in einem modernen Wirtschaftssystem das Rückgrad der Wirtschaft. Deshalb habe ich auch in einem Änderungsvorschlag die Idee unterbreitet, daß wir Investitionen nicht an eine Obergrenze von 25 % des Gesamtvolumens binden, sondern diese der Aufnahmekapazität des entsprechenden Partnerlandes anpassen.	SMEs form the backbone of the economy in a modern economic system, which is why I have tabled the idea in a proposed amendment that we gear investments to the capacity of the partner country in question, rather than capping them at 25% of the total volume.
Weiterhin scheint mir die Sichtbarkeit und damit die Breitenwirkung unserer Programme ein Problem, mit dem wir im übrigen als EU nicht nur im Bereich TACIS zu kämpfen haben.	I also feel that visibility and hence the widespread impact of our programmes is a problem which we in the EU need to address in areas other than TACIS.
Hier könnte man einiges von den USA lernen.	We could learn a lesson from the USA here.
Die neue TACIS-Verordnung gestattet es, wie es übrigens auch unter der ersten Verordnung möglich war, unter Krisenumständen Mittel für humanitäre Zwecke zu nutzen.	The new TACIS regulation allows us, as did the first regulation, to use appropriations for humanitarian purposes in crisis situations.
Daß diese Flexibilität ausgesprochen wichtig ist, zeigt sich gerade jetzt, da die EU auf der einen Seite, wie in Helsinki beschlossen, einige der TACIS-Projekte in Rußland stoppen möchte, auf der anderen Seite aber humanitäre Hilfe dringend notwendig ist.	That this flexibility is extremely important is demonstrated by the fact that, on the one hand, the EU wants to stop certain TACIS projects in Russia, as decided in Helsinki while, on the other hand, humanitarian aid is urgently needed.
Herr Valdivielso, ich hoffe, daß ich das nur durch die Verdolmetschung falsch verstanden habe ­ ich halte es für ganz wichtig, daß gerade in Rußland das TACIS-Democracy-Project weiterarbeitet, und daß man sich genau aussucht, in welchem Bereich man TACIS wirklich stoppen sollte.	Mr Valdivielso de Cué, I hope that I have misunderstood only as the result of misinterpretation; I consider it imperative that the TACIS Democracy Project should continue, especially in Russia, and that that we should choose the areas in which we really need to stop TACIS.
Wir haben dies im Fall Weißrußlands getan und sollten das auch bei Rußland beachten.	We did this in the case of Belarus and we should do the same in Russia.
