Herr Präsident, ich kann mir erlauben, an das anzuknüpfen, was Olivier gesagt hat.	Mr President, I would like to take up what Mr Dupuis had to say.
Ich denke, wenn die Zuschauer auf der Tribüne da oben ARYM sehen, dann kommen sie sich wirklich vor wie einem anderen Land.	I believe that when the audience in the stands sees ARYM up there, they will actually think this refers to a different country.
ARYM heißt Ancienne République Yougoslave de Macédoine, das heißt die Ehemalige Jugoslawische Republik Mazedonien.	ARYM means Ancienne République Yougoslave de Macédoine, i.e the Former Yugoslav Republic of Macedonia.
Ganz einfach ist das "Mazedonien".	Quite simply, that means 'Macedonia' .
Der Streit um den Namen ist ein Streit zwischen Griechenland und diesem Land Mazedonien.	The dispute about the name is a dispute between Greece and the country of Macedonia.
Wir hoffen natürlich alle inklusive der griechischen Kolleginnen und Kollegen hier, dass dieser Streit bald beigelegt wird.	Of course we all hope - and that includes the Greek MEPs here - that this dispute will soon be settled.
Wir haben erlebt, dass die schwierige Lage in Mazedonien von Mal zu Mal schwieriger wurde, was die Behandlung der Albaner betraf.	We have seen how the difficult situation in Macedonia has steadily worsened where the treatment of the Albanians is concerned.
Alle, die schon sehr lange in diesem Land ein- und ausgehen, haben immer darauf gedrungen, dass dieses Problem gelöst wird.	All of those who, for a long time now, have been going in and out of this country, have kept up the pressure for this problem to be resolved.
Ich möchte aber auch unterstreichen, dass dieses Problem kein neues Problem ist, sondern es ist ein altes Erbe der jugoslawischen Zeit, in der die Albaner immer benachteiligt waren, auch in Mazedonien.	However, I would also stress that this problem is nothing new: it is the legacy of the Yugoslav period, when the Albanians were always discriminated against, including those in Macedonia.
Leider war es natürlich so, dass in der letzten Zeit bis 1998 dieses Problem unter der letzten Regierung nicht gelöst wurde.	Unfortunately, it was, of course, the case that the problem was not resolved under the last government, in the run-up to 1998.
Deswegen sind wir alle sehr froh, dass dieses Problem der höheren Schulbildung jetzt endlich vielleicht einer wirklich guten Lösung entgegen geht.	Therefore, we are all delighted that a genuinely sound solution is perhaps at last to be found to this problem of higher education.
Die illegale Gründung der Tetovo-Universität hat vor Jahren dazu geführt, dass es große Spannungen in Mazedonien gab, die leider in den letzten Jahren nicht geglättet werden konnten.	The illegal foundation of Tetovo university many years ago produced great tension in Macedonia, which I am sorry to say, could not be defused over the past few years.
Es musste ja auch aus Sorgfaltsgründen den Studierenden gegenüber darauf geachtet werden, dass dieses Problem gelöst wird.	We owe a duty of care to the students to ensure that this problem is resolved.
Denn diese Studierenden hatten oder haben Diplome, mit denen sie in der Welt nichts anfangen können.	After all, these students had, or have, diplomas that serve no purpose in the outside world.
Deswegen, glaube ich, sind wir es den Jugendlichen schuldig, ein Problem zu finden. Der Weg dahin ist nun bereitet.	Therefore, I believe we owe it to the young people to find a solution to the problem, and have now paved the way to this end.
Wir haben als Delegation immer darauf gedrungen, dass diese Lösung gefunden wird.	As a delegation, we have always insisted that a solution should be found to this problem.
Jetzt endlich haben wir sie gefunden!	Now at last we have found it.
Nicht wir, sondern die Regierung unter Premierminister Georgievski und auch dem albanischen Führer Xhaferi und vor allen Dingen dem Vertreter des Europarates Max van der Stoel.	Not us, but the government under Prime Minister Georgievski, and also the Albanian leader, Xhaferi, and above all, the representative of the Council of Europe, Max van der Stoel.
Diese Zusammenarbeit hat in einer hervorragenden Weise dazu geführt, dass es zu einer Gesetzesvorlage kam, die im Parlament von der Mehrheit angenommen wurde.	This outstanding cooperation has led to a draft bill, which was adopted by the majority in Parliament.
Ich bedauere es genau so sehr wie Olivier Dupuis, dass die Oppositionsparteien, die ja bis 1998 in der Regierung waren und das Problem hätten lösen können, sich dieser Vorlage verschlossen haben, ohne selbst eine bessere Lösung anzubieten.	In common with Olivier Dupuis, I bitterly regret the fact that the opposition parties - which formed part of the government up until 1998 and could have resolved the problem - have closed their minds to this draft bill without offering a better solution themselves.
Besonders unverständlich ist mir das Verhalten der albanischen Oppositionspartei, verschließt sie sich doch hier bewusst einer notwendigen Lösung eines albanischen Problems in Mazedonien.	I am particularly at a loss to understand the behaviour of the Albanian opposition party, which has deliberately closed its mind to the necessary solution to the Albanian problem in Macedonia.
Dass sich die sozialistische Opposition dieser Sache nicht anschloss, das tat sie bestimmt wider besseres Wissen, aber manchmal ist das so in der Opposition, nicht nur in Mazedonien.	The fact that the Socialist opposition refused to support this must have been against their better judgement, but that sometimes happens with the opposition, and not just in Macedonia.
Wir erwarten jetzt die notwendige Hilfe für die Umwandlung der Tetovo-Universität in eine private Universität, deren Diplome dann auch anerkannt werden.	We are now awaiting the necessary aid for the transformation of Tetovo university into a private university whose diplomas will then be recognised.
Alle, die im Interesse der Stabilisierung die interethnischen Beziehungen in Mazedonien gelöst haben wollen, müssen jetzt helfen, dass dieses Problem gelöst werden kann und auch wirklich eine private Universität realisiert werden kann.	All those who want to see an improvement in the inter-ethnic relations in Macedonia, in the interests of stabilisation, must now do their bit to help solve this problem and ensure that a private university actually becomes a reality.
Darum geht es heute in diesem Dringlichkeitsantrag.	That is what this urgent procedure is all about today.
Mazedoniens interethnisches Zusammenleben muss gelingen!	People from different ethnic backgrounds must be able to live together in Macedonia.
Es könnte ein gutes Modell für die Nachbarländer sein und zur Stabilität der ganzen Region beitragen.	This could provide a good role model for the neighbouring countries and help to stabilise the entire region.
