Berichterstatterin. - Herr Präsident! Wir haben ja heute mehrere Finanzinstrumente zu behandeln.	Mr President, we have a number of financing instruments to deal with today.
Wir haben heute Morgen schon über einen Aspekt diskutiert, aber ich werde zuerst zum Stabilitätsinstrument sprechen.	We have already debated one aspect this morning, but I am going to start by talking about the Instrument for Stability.
Das Instrument wurde 2006 geschaffen und ist das finanzstärkste Instrument in den Bereichen Nichtverbreitung von Massenvernichtungswaffen, Konfliktprävention, zivile Krisennachsorge, zivile friedenschaffende Maßnahmen und auch im Antiterrorbereich, für Justiz und Polizei.	This instrument was created in 2006 and is the best funded instrument in the areas of the non-proliferation of weapons of mass destruction, conflict prevention, civil post-disaster support, civil peacebuilding measures and also for justice and policing in the anti-terrorism sphere.
Trotzdem ist das Finanzvolumen relativ gering.	Despite this, the size of the funding is relatively small.
Bis jetzt beträgt es nur 1,4 Milliarden Euro in der finanziellen Vorausschau.	So far, it only amounts to EUR 1.4 billion in the financial perspective.
Es geht nicht um viel Geld, aber es geht um gutes Geld, weil man es relativ flexibel einsetzen kann.	This is not a lot of money, but it is good money, as it can be used relatively flexibly.
Es wurde immer wieder darüber nachgedacht, das zu kürzen, bis jetzt haben wir es aber immer noch geschafft, dass es in der Haushaltsplanung nicht gekürzt wird.	Consideration has repeatedly been given to cutting this, but so far, we have always managed to ensure that it has not been cut in the budget.
Worum geht es in der mid-term review des Instruments, also was steht zur Debatte?	What is the mid-term review of this instrument about? What is up for debate?
Es geht um wenige, aber inhaltlich doch teilweise wichtige Punkte.	Well, there are a small number of points, but some of them are important in terms of content.
Erstens soll unter den Langzeitmaßnahmen von Artikel 4.3 die Möglichkeit bestehen, Maßnahmen zur Förderung von Frauen in politischen Prozessen, insbesondere im Hinblick auf die Medien, zu programmieren.	First of all, the long-term measures under Article 4(3) are designed to make it possible to put in place measures to promote women in political processes, in particular, with regard to the media.
Also dort geht es eigentlich um eine Übertragung von einem schon sehr erfolgreichen Bereich in diesen Artikel 4.3.	What we are actually talking about here, therefore, is the transfer of an already very successful field into Article 4(3).
Bis jetzt wird schon die Unterstützung von Medienauftritten afghanischer Frauen, die für das Parlament kandidieren etc. gefördert.	So far, support has been given for media appearances by Afghan women standing for parliament.
Wir wollen das auch in den Langzeitmaßnahmen haben und nicht nur in den kurzfristigen Maßnahmen, damit diese Förderung von Frauen sich langfristiger fortsetzen kann.	We would like to have this incorporated into the long-term measures, rather than only being in the short-term measures, so that these women can continue to be supported in this way over the longer term.
Zweitens wollen wir, dass die Peace Building Partnership explizit in der Richtlinie erwähnt wird, nicht nur um die Entwicklung des formalen Dialogs mit der Zivilgesellschaft zu honorieren, sondern auch um das Konzept in die neue Ära des Auswärtigen Dienstes mitzunehmen.	Secondly, we want to see the peacebuilding partnership explicitly mentioned in the directive, not only in order to reward the development of formal dialogue with civil society, but also in order to bring the concept into the new era of the European External Action Service.
Es sollte dort nicht untergehen, deshalb ist uns wichtig, dass es dort explizit erwähnt wird.	It should not be allowed to disappear, and we therefore think it is important that it should receive specific mention.
Drittens stimmen wir für die Erhöhung der anteiligen Mittel für Langzeitmaßnahmen unter Artikel 4.3 von 5 auf 10 %.	Thirdly, we are voting in favour of the increase in the proportion of funding for long-term measures under Article 4(3) from 5 to 10%.
Ich möchte jedoch die Hohe Vertreterin hier noch einmal daran erinnern, dass der Ausschuss für auswärtige Angelegenheiten dieser Erhöhung erst in letzter Minute zugestimmt hat, weil uns versprochen wurde, dass in Zukunft im Rahmen des Instruments umfangreiche Maßnahmen im Kampf gegen Landminen, Streubomben und Munitionsrückstände unternommen werden.	However, I would like to remind the High Representative, once again, that the Committee on Foreign Affairs did endorse this increase at the last minute, as we were promised that, in future, extensive measures would be undertaken under the auspices of the Instrument in the fight against landmines, cluster bombs and leftover stocks of ammunition.
Das heißt, dieser Erhöhung der Langzeitmaßnahmen von 5 % der Gesamthaushaltslinie auf 10 % wurde unter Bedingungen zugestimmt, und wir erwarten, dass Sie, Frau Ashton, und der Auswärtige Dienst dieser Vereinbarung nachkommen und dass das Strategiepapier 2012/2013 entsprechend gestaltet wird.	In other words, this increase in the long-term measures of 5% of the overall budget line to 10% was agreed on a conditional basis and we expect that you, Baroness Ashton, and the External Action Service will stick to this agreement and that the strategy paper for 2012/2013 will reflect that.
Das heißt, für uns ist das wichtig, ansonsten wäre das nämlich nicht im Sinne der Vereinbarung.	This is important to us, in other words. To do otherwise would not be in the spirit of the agreement.
Wenn Parlament und Kommission sich durchsetzen, dann wird die größte inhaltliche Neuerung des Textes in der mid-term review aber die explizite Ausweitung des Aufgabenbereiches in Richtung Kleinwaffen - auf Englisch heißt es SALWs: small arms and light weapons - sein.	If Parliament and the Commission prevail, however, the biggest innovation in the content of the text in the mid-term review will be the explicit expansion of the remit to include small arms and light weapons (SALWs).
Ich möchte an dieser Stelle noch einmal die Präsidentschaft auffordern, diese Idee zu akzeptieren.	At this point, I want to call on the Presidency once again to accept this idea.
Der Europäische Gerichtshof hat so geurteilt.	The European Court of Justice has ruled in favour.
Ich weiß, da gibt es immer noch Bauchschmerzen. Aber ich hoffe, dass wir jetzt mit dem Auswärtigen Dienst doch diese Trennung zwischen Rat und Kommission vielleicht überwinden können und Einigung darüber erzielen, wie wir mit dem Thema Kleinwaffen umgehen.	I know that it still pains some to accept this, but I hope that, with the External Action Service, we will now perhaps be able to overcome this disjunction between the Council and the Commission and to obtain agreement on how to proceed on the issue of small arms and light weapons.
Ich hielte das für einen sehr wichtigen Punkt.	I found this to be a very important point.
Letzter Punkt ist die Frage der delegated acts.	My final point concerns the issue of delegated acts.
Dazu haben wir heute Morgen schon gesprochen.	We have already discussed this issue this morning.
Ich glaube, wir brauchen dort eine politische Lösung und keine juristische, da kommen wir nicht weiter.	I believe that we need a political solution in this regard and not a judicial one, which would represent a dead end.
Ganz kurzer Punkt am Ende: Stabilitätsinstrument, die Programmierung im Auswärtigen Dienst - wir sind wirklich davon überzeugt, dass die Planung und Programmierung weiterhin bei den Leuten liegen muss, die das bis jetzt gemacht haben und dass diese Leute nicht zu einem financial management heruntergestuft werden dürfen, sondern weiterhin inhaltliche Planung betreiben müssen. <BRK>	One final very brief point: when it comes to the Instrument for Stability and programming in the External Action Service - we are truly convinced that planning and programming must continue to rest with those people who have been responsible for this up to now and that those people must not be downgraded to 'financial management' but instead must continue to carry out content planning.
