Frau Präsidentin! Wir haben eine hochinteressante Debatte.	Madam President, this is an extremely interesting debate.
Ich bin auch dankbar für die vielen Anregungen zu dem Bericht von mir und meinem Kollegen Dimitrakopoulos.	I am also grateful for the many suggestions put forward for the report compiled by myself and Mr Dimitrakopoulos.
Es wird deutlich, daß die Operation Regierungskonferenz durchaus schwierig ist, aber ich sehe auch, daß alle das Bemühen haben, einen Kompromiß zu schließen, weil wir das europäische Aufbauwerk nach vorne bringen müssen.	It is clear that "Operation Intergovernmental Conference" is an extremely difficult one, but I also see that everyone is taking the trouble to reach a compromise, because we must move the European project forward.
Das Parlament muß ein Motor sein.	Parliament must be a driving force in this.
Wir können in unseren Forderungen nicht konservativer sein als die Europäische Kommission oder auch einzelne Mitgliedsländer.	Our demands must not be more conservative than those of the European Commission or of individual Member States.
Das geht nicht!	That is not on!
Unsere Rolle ist es, Motor der weiteren europäischen Einigung zu sein, und in diesem Geist ist auch der Bericht des Parlaments, über den wir morgen abstimmen, verfaßt.	Our role is to be the driving force behind further European unification, and that is the spirit in which this parliamentary report, which we are to vote on tomorrow, has been compiled.
Ich glaube, daß wir die Balance gefunden haben zwischen dem Europa der Staaten und dem Europa der Bürger.	I believe we have struck a balance between Europe of the States and Europe of the citizens.
Wir sind die Bürgerkammer, das Parlament ist die Kammer der Bürger, der Ministerrat ist die Kammer der Staaten.	We are the citizens' chamber; Parliament is the chamber of the citizens, the Council of Ministers is the chamber of the States.
Die Balance ist noch nicht da.	We have not struck the right balance yet.
Das Parlament ist ja ausgeschlossen von einer ganzen Reihe wichtiger Fragen, die normalerweise Parlamente zu entscheiden haben, Fragen der Gesetzgebung, Fragen des Haushalts, Fragen der Mitbestimmung bei Nominierungen von Personen, die in Institutionen geschickt werden.	After all, Parliament is excluded from a whole range of important issues that parliaments normally decide on; issues pertaining to legislation, the budget, and to codecision concerning the nomination of individuals appointed to institutions.
Also ich hoffe, daß diese Regierungskonferenz die Chance nutzt, die Balance zwischen den zwei Institutionen Parlament und Rat endlich herzustellen und dem Europäischen Parlament mehr Rechte zu geben.	Therefore I hope that this Intergovernmental Conference will use the opportunity to at last restore the balance between the two institutions, Parliament and the Council that is, and to give Parliament more powers.
Ganz wichtig - ich schließe mich dem an - ist die Balance zwischen großen und kleinen Ländern.	I too feel that it is extremely important to strike a balance between the large and small countries.
Das ist ein sehr sensibler Punkt, auf den man Rücksicht nehmen muß, und ich glaube, alle haben in den letzten Wochen eine Anstrengung gemacht, diese Balance zu finden.	This is a very sensitive issue, which we must take into account, and I feel that everyone has endeavoured over the past few weeks to strike this balance.
Wir werden sehen, daß es für die Besetzung der Kommission eine Gleichberechtigung der großen und kleinen Länder gibt, daß die doppelte Mehrheit im Rat, die wir vorschlagen, die kleinen Länder bevorzugt.	We will see that small and large countries alike will enjoy equal rights where the composition of the Commission is concerned, and that the double majority in the Council, which we are proposing, will favour the small countries.
Wir werden in der erweiterten Union viel mehr kleine Länder haben als große Länder.	There will be far more small countries than large countries in the enlarged Union.
Wenn man die Mehrheit der Staaten braucht, haben doch die kleinen Länder einen großen Vorteil, weil viele mitmachen müssen, wenn irgendeine Entscheidung zustande kommen soll, und ich sehe auch, daß wir hier bei der Sitzverteilung im Parlament mit dem Faktor der Degressivität die kleinen Länder bevorzugen, damit dort bei den Abgeordneten eine Repräsentativität vorhanden ist.	When the support of the majority of the States is required, then the small countries will in fact be very much at an advantage, because it will not be possible to reach any kind of decision unless a large number of them support it. I can also see that we are favouring the small countries in applying the degressivity factor to the distribution of seats in Parliament, so that the number of MEPs is suitably representative.
Die Europäische Union ist nicht nur eine Wirtschaftsgemeinschaft.	The European Union is not just an economic community.
Wir sind eine Wertegemeinschaft.	We are also a community of values.
Diese Europäische Union muß sich auch wehren gegen Kräfte, die den europäischen Geist verletzen und ihn mißbrauchen.	The European Union must also defend itself against forces that are injurious to the European spirit, and that abuse it.
Wir kennen die Populisten, wir kennen auch die Nationalisten und die Rassisten, die es in Europa in vielen Ländern gibt, und wenn wir eine politische Union sind, dann müssen wir auch Instrumente haben, um sowohl auf der Ebene von Parteien als auch bei einer Regierungsbeteiligung Sanktionen und Maßnahmen durchzuführen.	We know who the populists are, and the nationalists and the racists who are to be found in many European countries, and if we are a political union then we must also have the instruments we need to implement sanctions and measures, both at party and government level.
Wir haben einen ausgezeichneten Bericht, über den wir morgen abstimmen können.	We have an excellent report for voting on tomorrow.
Ich danke der portugiesischen Präsidentschaft, die sehr kooperativ ist.	I would like to thank the Portuguese Presidency, which has been most cooperative.
Ich will das ausdrücklich loben.	I would expressly like to commend them for this.
Derselbe Dank geht an die Kommission und unseren Kommissar Barnier, der immer sehr offen ist und mit uns kooperiert, und ich danke auch meinen Kollegen im Ausschuß und meinem Mitberichterstatter.	I would also like to thank the Commission and Commissioner Barnier, who is always very approachable and cooperative, as I would like to thank my colleagues on the Committee and my co-rapporteur.
Ich glaube, das Parlament findet morgen eine Position, die uns in der Regierungskonferenz eine prominente Rolle gibt und diesen Europavertrag auch zu einem guten Erfolg führen kann.	I believe that tomorrow, Parliament will adopt a position that will afford us a prominent role at the Intergovernmental Conference and also lead this European Treaty to success.
