Verfasser. - Frau Präsidentin! In zwei Wochen wird auf den Philippinen gewählt.	author. - Madam President, in two weeks, elections will be held in the Philippines.
Die Gefahr wächst, dass die innenpolitischen Konflikte eskalieren.	The risk is rising that internal political conflicts will escalate.
Seit 2006 kommt es zu den von meinen Kollegen erwähnten Morden an Journalisten, Menschenrechtsaktivisten, Anwälten, Bauern und Priestern.	Since 2006, as has been mentioned by my fellow Members, journalists, human rights activists, lawyers, farmers and priests have been murdered.
Ungeklärt ist, wer die Täter sind.	What is unclear is who the perpetrators are.
Offensichtlich ist aber, dass die Morde immer nach dem gleichen Muster ablaufen.	It is clear, however, that the murders always follow the same pattern.
Die Behörden sind nicht fähig, ausreichend gründlich zu ermitteln.	The authorities are incapable of conducting investigations with sufficient thoroughness.
Das Justizwesen ist überlastet, unterfinanziert und ineffektiv.	The judicial system is overloaded, under funded and inefficient.
Die Zahl der Verurteilungen ist so gering, dass man fast schon von einem Klima der Straflosigkeit sprechen muss.	The number of convictions is so low that one can almost already talk about a climate of impunity.
Präsidentin Arroyo und die Regierung sind sich des Ernstes der Lage bewusst.	President Arroyo and his government are aware of the seriousness of the situation.
Eine spezielle Task Force der Polizei und die unabhängige Melo-Kommission wurden eingerichtet.	A special police task force and the independent Melo Commission were set up.
Deren Empfehlungen führten dazu, dass die Staatspräsidentin anordnete, Ermittlungs- und Anklageprozesse zu verstärken, Sondergerichte und endlich auch Zeugenschutzprogramme zu schaffen.	Their recommendations resulted in the State President ordering the strengthening of the investigation and prosecution processes, the establishment of special courts and, finally, the creation of witness protection programmes as well.
Der UN-Sonderberichterstatter Philip Alston konnte im Februar Verantwortliche und Betroffene umfassend befragen.	In February, the UN's special rapporteur, Mr Philip Alston, was able to question those responsible and affected extensively.
Ich schließe mich seiner Forderung an, die Vorwürfe zu überprüfen, dass Teile des Militärs oder Einzelpersonen der Armee verstrickt seien.	I side with his demand that accusations regarding the involvement of elements of the military or individuals in the army should be examined.
Geben wir von der Europäischen Union sowohl technische als auch personelle Unterstützung, damit die Morde aufgeklärt werden und das Justizsystem nachhaltig verbessert wird!	The European Union should offer both technical support and support in terms of personnel to enable these murders to be cleared up and the justice system to be improved in a sustainable manner.
