(Beifall)	(Applause)
Für Fraktionsvorsitzende ist es immer eine gute Erfahrung, wenn sie wieder ein Mandat für weitere zweieinhalb Jahre haben. Von mir kann ich das zu diesem Zeitpunkt nicht sagen, aber umso mehr freue ich mich über die Wiederwahl der Kolleginnen und Kollegen.	It is always a pleasant experience for group chairmen to get their mandate renewed for another two and a half years; I cannot, at present, say what my fate is going to be, but I rejoice all the more in the re-election of my counterparts.
Herr Ministerpräsident, aus dem, was Sie gesagt haben, spricht die gute europäische Stimme Irlands, und Sie sagen es uns ja nicht nur, weil Irland so sehr von der Europäischen Union profitiert hat, sondern Sie sagen es als überzeugter Europäer, und das war immer die gute Erfahrung mit Irland.	In what you have said, Prime Minister, we hear the good European voice of Ireland, and what you said, you said not only because Ireland has done so well from the European Union, but as a convinced European, and that has always been the good experience we have had with Ireland.
Ob nun Ihre oder unsere Parteienfamilie regiert - der letzte Ministerpräsident aus unserer Parteienfamilie war John Bruton, der jetzt unser Botschafter in Washington ist -, es zeigt sich, dass Irland sich zutiefst der europäischen Einigung verpflichtet weiß. Ihre Rede hat das heute erneut deutlich gemacht.	Whether it is your political family that is in power or our own - the last of your Prime Ministers from ours was John Bruton, who is now our ambassador in Washington - Ireland's profound commitment to European integration is manifest, and your speech today made that clear once more.
Wir freuen uns und begrüßen es, dass Sie heute hier sind.	We rejoice and are glad that you are here today.
Liebe Kolleginnen und Kollegen, wir denken nun über die Zukunft Europas nach, und Herr Ministerpräsident Ahern hat den 25. März erwähnt: 50 Jahre Römische Verträge.	We now have to think about the future of Europe, and Prime Minister Ahern mentioned 25 March, which marks fifty years of the Treaties of Rome.
Ich denke, dass die Erklärung von Berlin - eine gemeinsame Erklärung des Europäischen Rates, des Europäischen Parlaments und der Europäischen Kommission - ein guter Anlass ist, den Bürgerinnen und Bürgern der Europäischen Union zu sagen: Wir, die europäischen Institutionen - auch wenn wir hier und da unterschiedlicher Meinung sind - sind verbunden in unserem entschlossenen Willen, die Europäische Union in eine gute Zukunft zu führen.	I see the Berlin statement - a joint statement by the European Council, the European Parliament and the Commission - as a good opportunity to tell the citizens of the European Union that we, the European institutions - even though our opinions may well differ on one thing or another - are united in our determination to lead the European Union into a bright future.
Wenn das in Berlin erreicht wird, dann haben wir für den Gipfel Ende Juni ein wichtiges politisches und psychologisches Signal gesetzt. Auf diesem Gipfel soll dann erstens die Methode beschlossen werden, wie es mit dem Verfassungsvertrag weitergehen soll, und zweitens, welches Mandat wir der Konferenz geben, die sich damit befasst.	If we managed to achieve that in Berlin, we will have put down a significant political and psychological marker for the summit at the end of June, at which, firstly, a decision is to be taken on what is to be done next about the constitutional treaty, and, secondly, on what mandate we are to give the conference that is to consider that.
Ich sage für unsere Fraktion und insbesondere für den EVP-Teil unserer Fraktion, dass wir natürlich darauf bestehen - und wir bitten um Ihre Unterstützung, Herr Ministerpräsident -, dass das Europäische Parlament in wirksamer, starker und effizienter Weise an einer solchen Konferenz beteiligt wird.	Speaking on behalf of our group, and in particular of the PPE element in it, I can say that we do of course insist on this House participating in any such conference - effectively, powerfully, and efficiently - and we ask, Prime Minister, for your support in this.
Wir hoffen, dass es Ende Juni weitergeht und wir uns unter portugiesischer und slowenischer Präsidentschaft mit der Zukunft des Verfassungsvertrags beschäftigen.	We hope that will go ahead at the end of June and that we will be able to decide, under Portuguese and Slovene Presidency, what is to become of the constitutional treaty.
Ich möchte für unsere Fraktion, für den EVP-Teil der Fraktion in aller Deutlichkeit sagen: Wir wollen nicht, dass man von vorne anfängt - der Ausdruck "Neuverhandlungen" wäre völlig falsch -, sondern wir wollen, dass möglichst viel von der Substanz des Verfassungsvertrags erhalten bleibt, insbesondere was die Reformen im Teil 1 und den Werteteil in der Charta angeht.	I would like to make it quite clear, speaking on behalf of our group, and particularly of the European People's Party element in it, that we do not want to start again from the very beginning - it would be quite wrong to talk in terms of 'new negotiations' - but want as much as possible of the substance of the constitutional treaty to be retained, particularly as regards the reforms in Part 1 and the section dealing with values in the Charter.
Denn erstens sind wir der Überzeugung, dass wir diese Werte brauchen.	One reason for that is that we are convinced that we need these values.
Ohne ein Wertefundament hat die Europäische Union keine Zukunft.	The European Union has no future unless it is founded upon values.
Zweitens müssen wir die Europäische Union fit machen für die Herausforderungen, vor denen wir stehen, ob diese nun die Innenpolitik oder die Außenpolitik der Europäischen Union betreffen.	Another consideration is that we have to equip the European Union to face the challenges that are ahead, not only in its internal policies but also in its dealings with the outside world.
Wir müssen diese Europäische Union kräftigen, wir müssen sie stärken, wir müssen sie demokratischer, wirksamer und transparenter machen.	We need to invigorate and strengthen the European Union, to make it more democratic, more effective and more transparent.
Sie haben sich dazu bekannt und dafür danken wir Ihnen.	You have affirmed your belief in that, and for that we are grateful to you.
Wenn wir gemeinsam diesen Weg gehen, dann werden wir auch gemeinsam erfolgreich sein.	If we go down this road together, we will share in success.
