Herr Präsident, ich kann meiner Vorrednerin nicht ganz zustimmen, obwohl ich es gerne täte.	Mr President, I cannot entirely agree with the previous speaker, although I would like to.
Es geht hier nicht um die Interessen der Holländer, da würden Sie mich ja auf Ihrer Seite finden, sondern es geht um die Interessen der Griechen, Italiener, Österreicher, Deutschen, Franzosen, Engländer.	This is not a question of Dutch interests, if it were I should indeed be on your side, rather it is a question of Greek, Italian, Austrian, German, French and English interests.
Ich könnte viele Mitgliedstaaten nennen.	And I could cite many other Member States.
Wir brauchen den Transit durch den Alpenraum ganz einfach.	Quite simply, we need to transit through the Alps.
Es ist für uns nicht akzeptabel, daß die Schweiz sagt, wir sind die Insel der Glückseligkeit, macht doch was ihr wollt am Brenner, macht doch was ihr wollt in Frankreich, wir machen den Laden dicht!	As far as we are concerned, it is not acceptable for the Swiss to say: We are happy in our isolation. Do whatever you want in the Brenner.
Frau Kollegin, man könnte den Schweizern auch mal andeuten, wer uns die Durchfahrt durch die Schweiz wirtschaftlich unmöglich macht, muß aufpassen, daß wir die Ausfahrten aus der Schweiz nicht wirtschaftlich unmöglich machen, um es einmal ganz klar zu sagen!	We're shutting up shop and going home! My dear colleague, we could also let the Swiss know that anyone who makes it economically impossible for us to transit through Switzerland should watch out that we don't make coming out of Switzerland economically impossible, not to put to fine a point on it!
Es geht nicht an, daß die Interessen unserer Unternehmer und unserer Verbraucher in einer Weise behandelt werden, als ob wir uns immer bücken müßten.	It is not acceptable that the interests of our businessmen and consumers are treated as if we constantly have to kowtow.
Ganz im Gegenteil, wir haben den Doppelansatz.	Quite the opposite, we can use a two-track approach.
Wir wollen den Schutz der Umwelt.	We want to protect the environment.
Wir wollen die Verlagerung auf die Eisenbahn, aber ich sehe noch nicht, daß das, was die Schweizer Regierung machen wollte, um die Verlagerung auf die Eisenbahn wirklich umzusetzen, schon verwirklicht ist.	We want to move to rail. But I see no evidence that what the Swiss government wanted to do in order to move to rail has actually happened yet.
Ehrlich gesagt, ich sehe auch noch nicht, daß die Österreicher, die Deutschen und die Italiener beim Brenner-Basistunnel so weit sind, wie wir eigentlich sein sollten.	To be honest, neither can I see any evidence that the Austrians, the Germans and the Italians are making as much progress with the Brenner Base Tunnel as they should be.
Die Tatsache, daß wir nicht weitergekommen sind bei der Eisenbahn, kann man aber nicht den Lkw-Unternehmern anlasten und sie mit absolut überhöhten Gebühren überziehen wollen.	But we can't blame the fact that we haven't got further with the railway on the heavy goods transporters and then clout them with exorbitant charges.
Ich sage es einmal ganz unverblümt: Es geht nicht an, daß die Schweiz von uns erwartet, daß wir dankbar sind, wenn sie ihre Forderung von 410 auf 360 Schweizer Franken für die Durchfahrt senkt.	Let me say it once quite bluntly: It is not acceptable for the Swiss to expect us to be grateful for dropping their claim for the passage from 410 to 360 Swiss francs.
Das ist auch weiterhin unakzeptabel.	That is still unacceptable.
Das müssen wir den Schweizern sagen.	We must tell the Swiss this.
Wir müssen ihnen auch sagen, daß sie ein Teil eines Gesamtpakets sind, nämlich der Frage des Landverkehrs.	We must also tell them that they are part of a larger picture, namely the land transport debate.
Es gibt ja auch viele andere Fragen, die in den Verhandlungen eine Rolle spielen.	There are also many other issues which play a role in the negotiations.
Unsere Kollegen in der Schweiz müssen sich überlegen, was sie wollen.	Our colleagues in Switzerland will have to think about what it is they want.
Ich will die schweizerische Regierung gerne in Schutz nehmen.	I don't mind taking the part of the Swiss government.
Sie ist aufgrund ihrer Verfassung in einer äußerst schwierigen Situation.	Thanks to their constitution they are in an extremely difficult position.
Ich meine aber, man kann nicht sagen, wir führen eine leistungsabhängige Schwerlastverkehrsabgabe ein, das ist unser Maßstab, und ganz Europa muß sich danach richten, weil wir Schweizer es beschlossen haben!	However, I don't think they can simply announce that they're introducing an output-related heavy goods vehicle tax, say this is our standard and expect the rest of Europe to fall into line, just because they, the Swiss, say so!
So kann man in Europa nicht zusammenleben.	We can't work together on that basis.
Ich hoffe, daß die Schweizer erkennen, daß gerade die Arbeitnehmer in Griechenland, in Italien ein Interesse haben, ihre Waren auf den Markt zu bringen.	I hope that the Swiss recognise that workers in Greece and Italy also have an interest in getting their goods to market.
Deshalb glaube ich, daß wir den Schweizern sagen müssen, überhöhte Gebühren können und werden wir nicht akzeptieren.	For this reason I believe we must tell the Swiss that we cannot and will not accept exorbitant charges.
Ich sage auch zu einigen in diesem Hause, auch zu meiner Kollegin van Dijk: Es heißt häufig, wenn sie sich wenigstens auf das österreichische Brenner-Niveau absenken würden, würde uns das ausreichen.	I would also say to some of the members of this House, including my colleague Mrs van Dijk: I often hear you say: If you would drop at least as far as the Austrian Brenner rate, we would be happy.
Da sage ich Nein!	My response is No!
Wenn ich mich recht entsinne, hat dieses Parlament die Kommission unterstützt, wegen der letzten Mauterhöhung am Brenner ein Klageverfahren einzuleiten.	If my memory serves me correctly, this Parliament supported the Commission in its legal action against the last toll increase in the Brenner.
Ich möchte daran erinnern, daß auch die Kommission das nicht vergißt.	I would like to remind you that the Commission won't forget that.
Insofern lassen Sie uns gemeinsam darauf drängen, daß wir uns schnell einigen mit der Schweiz.	And so we should both press for a quick agreement with the Swiss.
Aber nicht zu jedem Preis, wie Brian Simpson gesagt hat!	But, as Brian Simpson said, not at any price.
