Herr Präsident! Es tut mir leid, wenn ich noch einmal auf das Problem zurückkomme.	Mr President, I apologise for coming back to the same problem.
Es ist wirklich nicht so, dass ich hier Schwierigkeiten machen möchte.	I certainly do not wish to be difficult.
Aber es gibt ein sehr stark geschütztes Recht auf Aussprache.	However, the right to freedom of expression is highly protected.
Selbst wenn zum Beispiel die Konferenz der Präsidenten beschließt, einen Bericht ohne Aussprache zu behandeln, können 32 Mitglieder dies verhindern.	Even if, for example, the Conference of Presidents decides to deal with a report without debate, this decision can be overturned by 32 Members.
Jetzt schleicht sich ein neues Verfahren ein: Am Montag beschließen wir eine Aussprache für Donnerstagnachmittag. Die Abgeordneten gehen davon aus, dass diese Aussprache stattfindet.	Now though, a new procedure is creeping in. On Monday, we decide to debate a matter on Thursday afternoon and Members assume that this debate is going to take place.
Dann sagt am Donnerstagmittag ein Kollege - es war das letzte Mal so, es ist diese Woche so -: 'Aber ich muss abreisen, ich möchte diese Aussprache nicht'.	But on Thursday afternoon, a Member says that they do not wish to have the debate because they have to leave. That is what happened last time, and it happened this week too.
Auch dafür gibt es ein Verfahren in der Tagesordnung, nämlich dass dann nur noch ein Redner pro Fraktion aufgerufen wird.	The agenda stipulates that, if this happens, just one speaker should be called upon to speak for each group.
Auch dieses Verfahren wird nicht eingehalten, sondern es wird auf eine Formulierung Bezug genommen, wonach die Tagesordnung auch auf Vorschlag des Präsidenten geändert werden kann.	But this procedure is not being followed either, and instead, we are referred to a rule which says that the agenda can also be changed on a proposal from the President.
Aber erstens war es nicht Vorschlag des Präsidenten, zweitens hat der Präsident es nicht begründet, drittens muss das die Ausnahme bleiben, und viertens - muss ich sagen - lag überhaupt kein wichtiger Grund vor.	But firstly this was not a proposal from the President, secondly it must remain an exception, thirdly the President gave no reason, and fourthly I have to say that there was no important reason.
Ihre Antwort auf meine Frage war nur: 'Wir müssen flexibler werden'.	When I asked you about it, your answer was simply that we needed 'to keep some flexibility in our agenda'.
Hier geht es um ein garantiertes Minderheitenrecht, das Recht auf Aussprache.	This is about the right of freedom of expression, a right guaranteed to minorities.
Ich möchte wirklich darum bitten, dass das Präsidium klarstellt, unter welchen Bedingungen ein Präsident die Absetzung eines Punktes von der Tagesordnung, die wir gemeinsam am Montag beschlossen haben, vorschlagen kann, ob er dies begründen muss, was die Gründe dafür sind, und so weiter und so fort.	I would very much like the Bureau to clarify under what conditions the President can propose that a point be taken off an agenda that has been jointly decided by us on Monday, and whether or not he has to give his reasons for doing so.
Sonst wird ein Minderheitenrecht durch eine Zufallsmehrheit am Donnerstagmittag regelmäßig außer Kraft gesetzt.	Otherwise this minority right will be regularly set aside on Thursday afternoons if there happens to be a majority vote in favour of it.
Dann können wir uns die ganzen Artikel der Geschäftsordnung schenken, die dieses Minderheitenrecht schützen, vor allem Artikel 111.	Then we might as well forget all the articles protecting this minority right in the Rules of Procedure, particularly Article 111.
