Herr Präsident! Der Reichtum in der Welt ist nach wie vor höchst ungleich verteilt.	Mr President, wealth is just as unevenly distributed throughout the world as it ever has been.
In den letzten fünf Jahren, seit der Gründung der WTO haben sich die Unterschiede weiter verschärft, und die, die nicht zu den führenden Industrienationen gehören, werden weiter abgehängt.	In the last five years, since the WTO was set up, the differences have become even more marked, and those countries which cannot count themselves amongst the leading industrial nations have become even more dependent.
Daher sind keine neuen Liberalisierungsrunden notwendig, sondern eine grundlegende Analyse und Bewertung der Auswirkungen der Uruguay-Runde auf die Länder, die Menschen und die Umwelt.	That is why we do not need new rounds on liberalisation, instead we need a fundamental analysis and evaluation of the effects of the Uruguay Round on countries, people and the environment.
Dafür ist die WTO-Ministerrunde in Seattle der richtige Ort.	The WTO Round of Ministers is the right place for this.
Auch eine grundlegende Reform der Institution ist angesagt.	A fundamental reform of the institution itself is also called for.
Unter anderem müssen Transparenz, demokratische Kontrolle und gleichberechtigte Beteiligung aller Länder gewährleistet sein.	Transparency, democratic control and the equal participation of all countries, amongst other things, must be guaranteed.
Nun zur Landwirtschaft: Wenn die Richtung so beibehalten wird, wie es die Kommission und die USA wünschen, dann werden gerade die kleinen und mittleren Bauern hier und in den Entwicklungsländern weiterhin die Leidtragenden sein.	Now on the subject of agriculture: if we stay on our current course, as the Commission and the USA would like, farmers with small- and medium-sized holdings will be the ones to suffer, both here and also in developing countries.
Sie können nicht gegeneinander in Konkurrenz gesetzt werden.	They cannot be made to compete with one another.
Daher müssen für die Entwicklungsländer bessere Marktzugangsbedingungen geschaffen werden bei gleichzeitiger Streichung aller Exportsubventionen der EU für Agrarprodukte.	That is why better conditions for entering the market must be obtained for developing countries and at the same time, all export subsidies for farm products from the EU should be withdrawn.
Ebenso muß die Anerkennung von Ernährungssicherung als non trade concern nach Artikel 20 des Agreement on Agriculture übernommen werden.	The recognition of safeguarding food as a 'non trade concern' according to Article 20 of the Agreement on Agriculture must also be accepted.
Und zu Recht fordert eine ganze Reihe von Ländern des Südens eine Neuverhandlung des TRIPS-Abkommens, denn sie verlieren das Recht, ihre eigenen Ressourcen zu nutzen.	A whole raft of Southern countries is quite rightly demanding a renegotiation of the TRIPs Agreement because they are losing the right to use their own resources.
Auch wir sind strikt gegen die Patentierung von Lebewesen.	We are also completely against the patenting of living things.
Ebenso ist ein MAI-ähnliches Abkommen über Investitionen allein auf WTO-Ebene abzulehnen.	We must also refuse to accept any agreement similar to the MAI agreement on investments alone at a WTO level.
Hier müssen andere internationale Institutionen, wie zum Beispiel die UNO und die ILU eingebunden sein.	Other international institutions such as the UN and the ILU must unite on this issue.
Zusammenfassend kann gesagt werden, daß das Wohlergehen aller Menschen und nicht die Interessen der Großkonzerne, der Starken und Reichen wie der Europäischen Union und einiger Eliten und Oligarchien in den Entwicklungsländern in Seattle im Vordergrund zu stehen hat.	By combining their forces they would be able to say that the welfare of all people will come to the fore in Seattle, and not the interests of big companies, of the rich and powerful such as well as the interests of the European Union and various elites and oligarchies.
Die Kommission darf kein Verhandlungsmandat erhalten, das gegen die Menschenrechte, die sozialen Rechte und die Umwelt gerichtet ist.	The Commission should not accept a mandate for negotiation which goes against human rights, social rights and the environment.
Gerade die Entwicklungsländer brauchen, da sie keine gleich starken Wirtschaftspartner sind, eine verbriefte Sonderstellung, und zwar als Regel und nicht als Ausnahme.	What developing countries need, as they are not equally strong economic partners, is a special position laid down by agreement, and this should be the rule, not the exception.
Das sind wir nicht nur ihnen, sondern auch uns allen hier schuldig.	It is not only to them that we owe this, but also to all of us here.
