Herr Präsident!	Mr President.
Darf ich mich zuerst an meinen Freund Herrn Hallam wenden, der zu Beginn mit einer gewissen Berechtigung gesagt hat, daß er dies wirklich wichtige Thema leider vor einem sehr leeren Parlament vortragen muß.	May I first of all turn to my friend Mr Hallam, who started by saying with some justification that he unfortunately had to deal with this most important issue before a very empty Parliament.
Ich bin von Anfang an dabei; deshalb möchte ich ihn trösten und ihm sagen, meine Erfahrung ist die: Am Freitag sind die hier, die für Qualität stehen; wer weg ist, steht nicht dafür!	I have been here since the beginning, and so I should like to offer him some comfort by saying that in my experience those who are here on a Friday represent quality; those who are absent do not!
Der Bericht von Herrn Hallam ist aus einem Grund sehr aktuell.	Mr Hallam's report comes at just the right time.
Es ist doch tatsächlich so, was er auch mit seinen Überlegungen unterstrichen hat, daß heute etwas nur kurzfristig gemacht werden kann, weil ja gerade in der gesamten monetären Situation ein sehr großer Wandel bevorsteht.	He emphasized in his speech term, that today one can only work in the short term, because a very big change is imminent in the whole monetary system.
Gerade in dieser Diskussion ist wieder einmal klar geworden, wie wichtig es für uns ist, eine gemeinsame europäische Währung zu haben.	In this very debate it has become clear once again how important it is for us to have a common European currency.
Ich kann nur aus meinem eigenen Wahlbezirk Oberbayern sagen: Unsere Bauern warten auf dieses europäische Geld, weil unser Haupthandel mit Italien stattfindet und es bei den Lira-Kursen in der letzten Zeit wirklich ein heftiges Auf und Ab gegeben hat, so daß unsere Bauern größte Schwierigkeiten gehabt haben.	I can only say on behalf of my own electoral constituency of Upper Bavaria that our farmers are waiting for this European money, because our main trade takes place with Italy, and of late there have really been huge fluctuations in the Lira rate, causing our farmers the most serious problems.
Sobald wir eine europäische Währung haben, wird das nicht mehr möglich sein.	As soon as we have a European currency, that can no longer happen.
Dann haben wir hoffentlich Stabilität, und ich würde sagen, daß der ganze Vorschlag von Herrn Hallam eigentlich nur ein Übergangsvorschlag ist, der allerdings lebenswichtig ist.	We shall then have stability, we hope, and I would say that the whole of Mr Hallam's proposal is really only a temporary solution, but a vital one.
Das ist überhaupt in allen Fragen, die mit der Landwirtschaft etwas zu tun haben, von ganz entscheidender Wichtigkeit, daß wir einen Übergang schaffen.	It is really important in all questions to do with agriculture, that we create a temporary solution.
Meine persönliche Ansicht ist die, daß die Zukunftsaussichten der Landwirtschaft langfristig ausgezeichnet sind.	In my personal view the long-term outlook for agriculture is excellent.
Aus einem einfachen Grund: Unsere industrielle Gesellschaft fährt in hohem Tempo in eine Sackgasse.	There is one simple reason for this: our industrial society is running at full tilt into a cul-de-sac.
Wir haben das meiste auf nicht erneuerbaren Rohstoffen aufgebaut.	We have built up most of it on non-renewable raw materials.
Jetzt kommt die Zeit der erneuerbaren Rohstoffe.	Now the time for renewable raw materials is approaching.
Allerdings hätten wir die Fischerei-Kriege als große Warnung zur Kenntnis nehmen sollen.	We should take note of the fishing wars as a major warning, though.
Vor 10 Jahren noch hat man uns erzählt, das Meer sei der unbeschränkte große Raum, dort würden wir alle Probleme lösen.	Only ten years ago we were told that the oceans were an infinitely large resource, and we should solve all our problems there.
Wir haben heute schon Schwierigkeiten auf den Meeren mit den Fischereikriegen zwischen Europa und Kanada, zwischen Europa und Afrika, zwischen Frankreich und Spanien.	Today we already have problems with fishing conflicts between Europe and Canada, Europe and Africa, France and Spain.
Wir müssen erkennen, daß das Ende der nicht erneuerbaren Rohstoffe gekommen ist; die erneuerbaren Rohstoffe kommen jetzt aus der Landwirtschaft.	We must recognize that the end has come for non-renewable raw materials. Renewable raw materials will now come from agriculture.
Wenn man sich ein bißchen mit dem Problem befaßt und nicht gerade von der Kritik gewisser großer multinationaler Gesellschaften geblendet ist, weiß man ganz genau, daß das keine Zukunftsmusik ist.	If you study the problem a little and do not allow yourself to be blinded by criticism from certain large multinational companies, you will see quite clearly that that is no futuristic dream.
Nehmen wir zum Beispiel die Treibstoffe.	Let us take fuels, for example.
Ich bin das letzte Mal mit einem Auto zur Plenartagung gefahren, das mit natürlichem Öl betrieben wird, nicht mit Raps, sondern einem Öl, das aus Gräsern erzeugt wird.	Last time I drove to the plenary session in a car that was propelled by natural oil; not rapeseed oil, but an oil derived from grasses.
Wunderbar ist es, damit zu fahren.	It is wonderful to drive with it.
Es ist nun einmal eine Tatsache, daß heute in Deutschland zum Beispiel alles getan wird, um zu verhindern, daß ein Tankstellennetz aufgebaut wird, wo man dieses Öl kaufen kann, weil es nämlich wesentlich billiger wäre als das, was angeboten wird, weil der Staat vielleicht noch nicht voll seine Räuberei darauf ausgedehnt hat.	It is a fact that in Germany everything possible is being done to stop the construction of a network of petrol stations where this oil can be bought. This is because it would be much cheaper than conventional products, probably because the state has not yet fully extended its highway robbery to include it.
Für uns ist das allerwichtigste, in unserer Landwirtschaftspolitik alles zu tun, um unsere bäuerlichen Strukturen zu erhalten für jene Zeit, wenn sie enorm gebraucht werden.	For us, the most important thing is to do everything in our agricultural policy for the maintenance of the agricultural structure against the day when it is really needed.
Ich würde sagen - in meinem Alter kann man sich schon Prophezeiungen erlauben, weil man sich immer dazu sagt, ich werde nicht mehr da sein, wenn ihr mich kontrollieren werdet -, wir können einfach nur hoffen, daß diese bäuerlichen Strukturen tatsächlich erhalten bleiben, die auch später die Grundlage unserer Landwirtschaft sein werden und daß wir alles machen müssen, um Übergangsmaßnahmen für die Landwirte zu ergreifen.	I would say - at my age one can allow oneself prophesies by saying to oneself that one will not be here when the test comes - we must simply hope that this farming structure is maintained as the subsequent basis for our agriculture, and that we should do anything to create traditional measures for farmers.
In diesem Sinn möchte ich Herrn Hallam wärmstens für das danken, was er gesagt hat, weil er diese Perspektive auch vertritt.	So my warmest thanks to Mr Hallam for what he has said, because he represented this view very well.
Ich glaube, wir sollten diesen Bericht und die Entschließung wirklich gern annehmen.	I think we should welcome this report and the resolution.
