. Herr Präsident!	.
Herzlichen Dank an den Berichterstatter, Helmuth Markov. Er hat uns bisher sehr konstruktiv durch die Verhandlungen geführt.	Mr President, I wish to express my warm thanks to the rapporteur, Mr Markov, who has already led us through the negotiations in a very constructive way.
Herr Kommissar, es ist eigentlich ganz einfach: Im Straßenverkehr sind ausgeschlafene Fahrer gut für die Straßensicherheit, und übermüdete Fahrer stellen ein Sicherheitsrisiko dar. Oder es gilt die einfache Logik: Übermüdung tötet!	It is, actually, all very straightforward, Commissioner: drivers who have had a good night’s sleep are very good for safety on the roads, whilst exhausted drivers are a safety risk, or, to put it very simply, excessive tiredness is fatal.
Für die Fahrer, die Straßensicherheit und die Wettbewerbsfähigkeit brauchen wir daher vernünftige Lenk- und Ruhezeiten, die auch kontrolliert werden können, sonst macht das Ganze ja keinen Sinn!	It is, then, for the sake of the drivers, of road safety and of competitiveness that we need proper driving times and rest periods that are capable of being monitored. Otherwise, the whole thing makes no sense.
Deshalb sind wir uns einig: Wir brauchen 12 Stunden tägliche Ruhezeit, davon 9 Stunden am Stück.	We are agreed, then, that we need rest periods totalling 12 hours a day, of which 9 are to be taken in one go.
Bei Straßenkontrollen brauchen wir bis 28 Tage zurückliegend eine Kontrollmöglichkeit.	It must be possible to check records covering the past 28 days in roadside checks.
In einer Woche darf man nicht mehr als 56 Stunden hinter dem Steuer sitzen, und in zwei Wochen muss bei 90 Stunden Schluss sein.	In any one week, drivers must not spend more than 56 hours at the wheel, and in a fortnight, they must stop after 90.
Wir brauchen auch ein realistisches Datum für den digitalen Tachografen.	We also need a realistic date for digital tachographs.
In die Verordnung muss eine neue Kategorie aufgenommen werden, nämlich die Kleintransporter bis 3,5 Tonnen.	The Regulation must also include a new category covering light commercial vehicles under 3.5 tonnes.
Und, lieber Herr Kommissar, hier geht es nicht um das Ausfahren von Pizza, denn eine Pizza, die mehr als 60 Kilometer transportiert wird – wie es der Verkehrsausschuss vorgeschlagen hat – die ist kalt, die kann man nicht mehr essen! Also, es geht nicht um Pizzafahrer, sondern um diese Kleintransporter, die zur Zeit alles dürfen.	Let me add, Commissioner, that we are not talking here about the delivery of pizzas, for a pizza, if it is transported – as the Committee on Transport and Tourism has suggested – for over 60 kilometres, will be cold and inedible!
Sie dürfen extrem hohe Geschwindigkeiten fahren, an sieben Tagen in der Woche, 24 Stunden am Tag, es gelten keine Sonntags- und Nachtfahrverbote, es gibt keine Kontrolle – und das hat Folgen! Diese Folgen sind immer mehr Unfälle.	So we are not talking here about pizza delivery drivers, but about light commercial vehicles, which, at present, are allowed to do anything they like, including travelling at extremely high speeds, seven days a week, twenty-four hours a day, with no ban on driving on Sundays or at night, and without being checked up on – the consequence of which is an increasing number of accidents.
Ich kann nur die deutschen Zahlen nennen: Im Zeitraum von 1991 bis 2001 war bei Kleinlastern eine Steigerung der Unfälle mit Personenschäden um 103% zu verzeichnen.	The only figures I can quote are the German ones: between 1991 and 2001, accidents involving small vans and resulting in personal injury rose by 103%.
Bei den von Fahrern von Kleinlastern verursachten Unfällen wurden 2001 in Deutschland 206 Verkehrsteilnehmer getötet (ein Plus von 44% gegenüber 1991), 2 548 Verkehrsteilnehmer wurden schwer verletzt (ein Plus von 66%) und 13 939 leicht verletzt.	In Germany in 2001, accidents caused by the drivers of small vans resulted in the deaths of 206 road users (an increase of 44% over 1991), serious injury to 2 548 road users (an increase of 66%) and minor injuries to 13 939.
Nach Zahlen der Autobahnpolizei scheint Übermüdung eine der häufigsten Unfallursachen zu sein, denn relativ viele Unfälle mit Kleintransportern ereignen sich gerade abends oder nachts. Hier muss der Rat also seine Ignoranz gegenüber diesem Problem aufgeben.	Figures provided by the road traffic police seem to indicate over-tiredness as one of the most frequent causes of such accidents, as a relatively large number of accidents involving light commercial vehicles happen in the evening or at night.
Er muss zurück in die Realität kommen und sich dieser Realität stellen.	The Council must stop pleading ignorance of the problem, come back down to earth and face reality.
Noch einmal: Es geht nicht um den Umkreis von 60 Kilometern und die Post- und Servicedienste.	Let me repeat that this is not about the 60-kilometre radius, or about the post and service industries.
Wir brauchen für dieses Problem eine gute Regelung.	Good rules and regulations are needed to deal with this problem.
Wenn der Grundsatz gilt, dass Übermüdung tötet und Tote und Verletzte produziert, brauchen wir eine verantwortungsvolle Regelung.	If it is accepted, in principle, that over-tiredness kills and injures, then responsible rules are needed.
Das hat der Ausschuss gewollt, und ich hoffe, dass auch die Kommission sich dem irgendwann anschließen kann.	That is what the Committee wanted, and I hope that the Commission will, sooner or later, be able to come round to its way of thinking.
