Frau Präsidentin, Herr Kommissar! Die Menschenrechte haben in Österreich einen großen Stellenwert.	Madam President, Mr Commissioner, human rights are valued very highly in Austria.
Im Hinblick auf die Ratspräsidentschaft von Österreich in der zweiten Hälfte nächsten Jahres sind wir uns der Tatsache bewußt, daß wir 1998 auch das Menschenrechtsjahr begehen und dieser Bereich an Bedeutung gewinnen wird.	Looking ahead to Austria's Council presidency in the second half of next year we are conscious of the fact that in 1998 we are celebrating Human Rights Year, and this is an issue which will assume increasing significance.
Im Herbst nächsten Jahres wird eine Expertentagung zu diesem Thema in Wien stattfinden, und am Vorabend des Gipfels der Staats- und Regierungschefs in Wien werden die Außenminister des 50. Jahrestages der Erklärung der Menschenrechte gedenken.	Next autumn, an experts conference on this theme is to be held in Vienna and on the eve of the summit meeting of Heads of State and of Government in Vienna the Foreign Ministers will commemorate the 50th anniversary of the Declaration of Human Rights.
In diesem Rahmen wird auch ein Aktionsplan "Menschenrechte 2000" angenommen werden.	This will also see the adoption of action plan "Human Rights 2000' .
Diese Aktivitäten zeigen, welchen Stellenwert Österreich den Menschenrechten einräumt.	Such actions serve to illustrate the high priority which Austria attaches to the subject of human rights.
Ich begrüße die Vorschläge der Berichterstatterin und von Herrn Imbeni, da auch ich eine einheitliche Struktur im Bereich der Menschenrechte und Demokratisierung für sinnvoll erachte.	I welcome the proposals being put forward by the rapporteur and by Mr Imbeni, since I too believe that it is sensible to have a uniform structure to deal with human rights and democratisation.
Eine verbesserte Koordinierung innerhalb der Kommission, eine Stärkung der Menschenrechtskapazität des Rates und auch eine stärkere Zusammenarbeit mit dem Europäischen Parlament - dies wäre wünschenswert.	Better coordination within the Commission, a strengthening of the Council's authority over human rights issues and greater cooperation with the European Parliament, all these would be very welcome moves indeed.
Ziel des Menschenrechtsjahres 1998 muß es sein, den Respekt der universellen Menschenrechtsstandards auf nationaler Ebene durch Kontrolle, Hilfestellung und Prävention zu sichern.	The aim of the 1998 Year of Human Rights must be to underpin the respect of universal standards of human rights at national level by effective control, support and deterrence.
Das internationale System hat in den letzten 50 Jahren rechtliche und praktische Grundlagen für den Menschenrechtsschutz geschaffen.	Over the last 50 years the international system has laid the legal and practical foundation for the protection of human rights.
Jetzt geht es um die Realisierung auf nationaler und lokaler Ebene.	Now it is time for these principles to be implemented at national and local level.
Sehr oft kommen leider wirtschaftliche Interessen vor Menschenrechtsinteressen.	All too often, unfortunately, economic interests take precedence over human rights issues.
Daher dürfen gerade wir als Europäisches Parlament nicht müde werden, auf Menschenrechtsverletzungen hinzuweisen.	We in the European Parliament must, therefore, never relax in our determination to draw attention to human rights violations.
Durchsetzbar ist nur, was sanktionierbar ist. Dies ist im Völkerrecht leider nicht immer der Fall.	But to put something into practice also means ratifying it, and in international law this is regrettably not always possible.
Daher müssen wir unsere demokratisch legitimierte Kontrollfunktion gerade im Menschenrechtsjahr 1998 wahrnehmen.	Consequently, in this Year of Human Rights 1998, we must assert our democratically legitimate role as a guardian of these principles.
