Herr Präsident! Herr Byrne, Sie haben uns den Ratsbeschluß hier mitgeteilt.	Mr President, Mr Byrne, you have presented the Council decision to us here today.
Ich stimme Ihnen zu, es ist eigentlich Aufgabe des Rates, aber ich verweise auf den siebten Punkt. Da steht, daß es schnellstmöglich zu einer Etikettierung kommen soll, gemeinsam mit dem EP.	I agree with you that this is really the task of the Council, but I would like to refer to the seventh point, which says that there must be a labelling provision as soon as possible in consultation with the European Parliament.
Ich halte diesen Passus für zynisch, denn in diesem Papier ist das Europäische Parlament gerade wieder aus der Mitbestimmung und Mitentscheidung herausgenommen worden. Es ist derselbe Vorgang, wie wir ihn 1997 hatten.	I consider this passage to be cynical, given that this paper again excludes the European Parliament from codecision.
Hier war uns damals von der Kommission die Mitentscheidung vorgeschlagen worden. Parlament und Kommission haben einen Vorschlag gemacht.	It is the same approach as that taken in 1997 when the Commission proposed codecision to us and Parliament and the Commission tabled a proposal.
Wir haben uns damals auch sehr viel Mühe gegeben, und dann hat der Rat einstimmig diesen Vorschlag zurückgewiesen und ohne das Parlament entschieden.	We made a great deal of effort only to see the Council unanimously reject the proposal and decide without Parliament.
Jetzt hatte der Rat die Verantwortung übernommen.	That meant that the Council had taken over responsibility.
Der Rat kam seiner Verantwortung nicht nach, das umzusetzen, was er selbst in Artikel 19 beschlossen hatte, nämlich die Ausführungsbestimmungen zum 1.1.2000 nun auch zu erlassen.	The Council failed to fulfil its responsibility to implement what it itself had decided in Article 19, namely to issue implementing provisions on 1.1.2000.
Jetzt wurde das Parlament wieder in die Pflicht genommen. Wir sind unserer Verpflichtung wieder nachgekommen.	Then Parliament was again taken to task and again it fulfilled its obligation.
Wir haben nicht gemault oder gemauert, wir haben uns hingesetzt, es ist gearbeitet worden - in diesem Zusammenhang, Herr Papayannakis, herzlichen Dank an Sie als Berichterstatter, auch an Herrn Kindermann, Berichterstatter des Landwirtschaftsausschusses, aber auch an die Verwaltung und den Juristischen Dienst.	We have not moaned and groaned, we have sat down and got on with the work - on the subject of which, Mr Papayannakis, heartfelt thanks to you as rapporteur and to Mr Kindermann, the rapporteur for the Committee on Agriculture, and to the administration and legal service.
Alle haben sich bemüht!	Everyone has made an effort!
Wir hatten eine gute Koordination zwischen Landwirtschaftausschuß und Umweltausschuß.	There was good coordination between the Committee on Agriculture and the Committee on the Environment.
Wir haben mit der Kommission verhandelt.	We negotiated with the Commission.
Wir haben immer mit offenen Karten gespielt, und wir haben gesagt: Bitte schön, wir bringen uns in diesen Prozeß ein.	We put our cards on the table and said, excuse me, but we have a contribution to make to this procedure.
Das Ergebnis ist: Vogel, friß oder stirb!	The result: do or die!
Wenn ihr in dem Prozeß drin sein wollt, dann heißt das, daß ihr euch inhaltlich aus diesem Prozeß ausklinken müßt, sonst übernehmen wir eure Sache nicht!	If you want to be part of the procedure, then you must divorce yourself from it as far as the content is concerned, otherwise we will not accept your case!
Herr Byrne, Sie haben vorhin gesagt: Die Entscheidung liegt nun beim Parlament.	Mr Byrne, you said earlier that the decision now rests with Parliament.
Die Entscheidung liegt beim Parlament heißt, wir übernehmen, was Sie uns vorgelegt haben, dann geht es durch.	This means that if we adopt what you have submitted to us, then it will go through.
Machen wir Änderungsanträge, die wirklich begründet sind, mit denen wir uns Mühe gegeben haben, dann entscheiden Sie ohne uns.	If we table amendments which really are justified, over which we have taken time and trouble, then you will decide without us.
Dies ist eine Brüskierung des Parlaments durch den Rat, die wir nicht hinzunehmen bereit sind.	This is a snub to Parliament by the Council which we are not prepared to accept.
Jetzt zur Rolle der Kommission.	Now to the role of the Commission.
Die Kommission hat uns gesagt: Wir haben keine Zeit für Durchführungsbestimmungen mehr.	The Commission has told us that there is no longer any time for implementing provisions.
Bitte schön, gebt uns Raum!	Please, indulge us!
Wir geben Raum, und was ist das Ergebnis?	We are indulgent and where does it get us?
Weil Ihnen die Art und Weise, wie wir das verändert haben, offensichtlich nicht paßt, machen Sie den nächsten Vorschlag, indem Sie nach Artikel 19 das obligatorische System einführen, aber gleichzeitig sagen, die Freiwilligkeit wird um ein Jahr verlängert. Und sie schließen damit das Parlament aus diesem Prozeß aus.	Since the way in which we have amended it obviously does not suit you, you go on to the next proposal by introducing the compulsory system under Article 19, saying at the same time that the voluntary system will be extended by one year, thereby excluding Parliament from the process.
Auch das ist eine Brüskierung des Parlaments, die wir so nicht hinnehmen können!	That too is a snub to Parliament which we cannot accept.
Wir sind der Ansicht, daß Artikel 19 diese Verschiebung rechtlich nicht hergibt.	We take the view that Article 19 does not legally allow this postponement.
Wir sind in einem Verfahren nach dem 1997er Beschluß, und wir werden uns höchstwahrscheinlich in einem Verfahren nach dem jetzigen Beschluß wiederfinden. Dabei wäre es im Sinne der Verbraucherinnen und Verbraucher dringend geboten gewesen, mit uns zusammen einen Fahrplan aufzustellen, damit dieses obligatorische Kennzeichnungssystem auch vernünftig und fristgerecht zur Anwendung kommt!	We have been involved in a procedure since the 1997 decision and we shall most probably find ourselves involved in a procedure again after this decision, which means, furthermore that it would be in the consumers' interest to draw up an urgently needed timetable with us in order to ensure the reasonable and timely application of this compulsory labelling system.
