Herr Präsident! Ich glaube, es war gut, dass ich eben relativ früh die Kopfhörer abgesetzt habe.	Mr President, I think I was right to take my headphones off relatively early on.
Ich habe mir dadurch wohl einiges erspart.	It spared me somewhat.
Der Kollege Lamassoure hat einen sehr guten Bericht vorgelegt. Das haben viele Kollegen gesagt.	Mr Lamassoure has submitted an excellent report, as numerous Members have said.
Ich möchte dem Bericht das Attribut fair anheften, denn ich glaube, auf einen fairen Bericht hat die Türkei wie jeder Kandidat einen Anspruch. Das bedeutet, dass wir tatsächlich alle Defizite ansprechen, aber dass wir auch anerkennen, wenn es Fortschritte gegeben hat.	I should like to qualify the report as a fair report, because I think that Turkey, like every other candidate, is entitled to a fair report, meaning that we duly address all the shortcomings, but we also acknowledge any progress made.
Auch den türkischen Kollegen und der türkischen Öffentlichkeit möchte ich zurufen: Nehmen sie den Bericht insgesamt und nicht selektiv zur Kenntnis, so wie wir uns bemühen, alles zur Kenntnis zu nehmen, was sich in der Türkei entwickelt.	I should like to call on our Turkish counterparts and the Turkish people to take note of the report as a whole and not just selectively, just as we are making an effort to take note of all the developments in Turkey.
Letztlich bin ich der Auffassung, dass eine Türkei, die sich auf den Weg zur Erfüllung der Kopenhagener Kriterien begeben hat, eine bessere Türkei ist, als eine, die dies nicht tut.	Finally, I take the view that a Turkey that has made a start on fulfilling the Copenhagen criteria is preferable to a Turkey which has not made a start on fulfilling the Copenhagen criteria.
Es ist eine Türkei, die den Kräften Auftrieb gibt, die die inakzeptablen noch bestehenden Defizite bei den politischen Kriterien innerhalb des Landes auch zu überwinden versucht.	It is a Turkey that is motivating the forces trying to overcome the unacceptable shortcomings still remaining within the country in relation to the political criteria.
Sie kann in der Tat keine politischen Rabatte erwarten.	It is not in a position to expect political discounts.
Wir stellen zwar fest, dass wir uns natürlich zu Recht wünschen, dass alle muslimischen Länder auf der Welt so wie die Türkei strukturiert wären, und dass wir dann weniger Probleme hätten, gerade auch wenn wir den 11. September betrachten.	We do, of course, realise that we rightly wish that all Muslim countries in the world were structured like Turkey and that we would then have fewer problems, especially in the light of 11 September.
Aber dieser Rabatt führt nicht dazu, dass wir bei den Beitrittskriterien die Augen verschließen.	But this discount does not mean turning a blind eye when it comes to the candidate countries.
Auf der anderen Seite hat sie jedoch auch einen Anspruch, dass ihr keine zusätzlichen Bedingungen auferlegt werden.	On the other hand, however, Turkey is also entitled not to have any additional conditions imposed.
Ich halte zum Beispiel die Formulierung des Kollegen Lamassoure zu dem Punkt, der Armenien betrifft, für eine sehr gute Sache.	For example, I think that Mr Lamassoure has chosen exactly the right wording for the point on Armenia.
Nachdem wir im letzten Jahr ausdrücklich den Völkermord erwähnt haben, nehmen wir in diesem Jahr zur Kenntnis, dass es offenbar positive Entwicklungen gibt.	Having expressly referred to the genocide last year, we note this year that things are clearly moving in the right direction.
Wir können nämlich feststellen, dass sich Menschen zusammensetzen, um über die Vergangenheit zu reden.	We realise that people are getting together to talk about the past.
Mein eigenes Land hat damit sehr gute Erfahrungen gemacht, und ich glaube, das ist der Weg, den wir auch in diesem konkreten Fall unterstützen sollten, damit sich die nachbarschaftlichen Beziehungen zwischen der Türkei und Armenien in Zukunft gut entwickeln.	My own country found this a very worthwhile exercise and I think that this is an approach which we should support in this specific case, so that good neighbourly relations can develop in the future between Turkey and Armenia.
