Frau Präsidentin!	.
Zur ersten Frage möchte ich sagen, dass wir selbstverständlich alle Anregungen gerne aufgreifen und auch die, die jetzt in dieser Sitzung gegeben werden.	Madam President, my answer to the first question is that we will, of course, be happy to take up any suggestions, including those being made in this sitting.
Ich kann Sie darüber informieren, dass ich die Mitgliedstaaten, die Wirtschaftsverbände, die Verbraucherverbände, die Gewerkschaften und alle Bürgerinnen und Bürger Europas eingeladen habe, uns ihre Vorschläge zu unterbreiten. Es sind bereits viele Hundert zum Teil sehr detaillierte und sehr genaue Vorschläge eingegangen.	I am able to inform you that I have invited the Member States, the business associations, the consumers’ groups, the trade unions and all members of the European public to submit their own proposals to us, and these have been coming in in their hundreds, many of them very detailed and very precise.
Ich merke daran, dass dies ein Projekt ist, das wirklich breite Unterstützung findet.	What this tells me is that this project really does enjoy widespread support.
Zur Frage von Frau Frassoni möchte ich sagen, dass ich versucht habe, das zu erklären.	In response to Mrs Frassoni’s question, I would like to say that this is something I have tried to explain.
Das scheint mir jetzt eine Frage des politischen Vertrauens zu sein.	It strikes me as being an issue of political trust.
Ich habe Ihnen gesagt: Ziel der Operation ist es nicht – ich unterstreiche das noch einmal –, die Qualität des an irgendeiner Stelle zu verändern.	As I have said, and as I will emphasise once again, the object of the exercise is not to alter the quality of the in any particular section.
Es ist nicht das Ziel der Initiative, Deregulierung im Sinne marktradikaler Ideologen zu betreiben, sondern das Ziel ist es, die bestehende Rechtsetzung einfacher, transparenter und benutzerfreundlicher zu machen.	The initiative is not intended to deregulate in the sense in which the radical ideologues of the free market use the term, but to simplify the existing system of legislation, making it more transparent and more user-friendly.
Ich wiederhole hier etwas, was ich in Ihrer Gegenwart schon mehrfach gesagt habe: Die Balance zwischen Wachstum und Beschäftigung, sozialem Zusammenhalt und nachhaltiger Entwicklung ist das eigentliche europäische Modell. Daran halten wir selbstverständlich fest.	In saying this, I am saying, as I have already said in your hearing on numerous occasions, that the European model actually consists in balancing growth and employment, social cohesion and sustainable development, and that is something of which we are not, of course, going to let go.
Es wird nichts Derartiges geschehen, was Sie befürchten. Es geht nicht darum, irgendwelche Standards, die wir bereits erreicht haben, wieder zu schwächen.	Mrs Frassoni can take my word for it: nothing like what she fears will actually happen, and none of the standards we have already achieved will be made less rigorous.
Frau Grossetête kann ich sagen, dass selbstverständlich die Beteiligungsrechte des Parlaments voll gewahrt werden.	To Mrs Grossetête, I can say that Parliament’s rights of participation will of course be retained.
