. – Herr Präsident! Bitte haben Sie Geduld, ich habe das Wort.	Mr President, please be patient, I have the floor.
Ich habe zwei Berichte, werde aber nur einmal reden, wenn Sie das beruhigt.	I have two reports, but you may be reassured to know that I shall be speaking only once.
Als Berichterstatterin zu allen Verordnungen, aufgrund derer Eurostat für uns schnell die besten Statistiken erstellen soll, darf ich Ihnen hier und heute erneut empfehlen, meinen zwei Berichten mit der üblichen Begeisterung zuzustimmen.	As rapporteur for all regulations on the basis of which Eurostat has to quickly compile the best of statistics for us, I would again like to recommend here and now that you approve my two reports with the usual enthusiasm.
Es handelt sich erstens um eine Verordnung, der zufolge wir und alle Beteiligten – in erster Linie die Europäische Zentralbank – jetzt vierteljährlich Informationen über den Schuldenstand der Mitglieder erhalten.	The first is about a regulation under which we and everyone concerned – primarily the European Central Bank – will now receive quarterly information on Member States’ debt.
Das ist von großer Bedeutung, auch wenn die blauen Briefe im Rahmen des Defizitverfahrens weiterhin aufgrund der Jahreswerte erstellt werden – oder auch nicht.	That is very important, even if the blue letters for the deficit procedure continue to be issued on the basis of the annual figures – and even if they do not.
Wie Sie wissen, gibt es ja diesbezüglich keine Gleichbehandlung zwischen Mitgliedstaaten.	As you know, Member States are not treated equally in this respect.
Aber die Herren Eichel und Mer könnten eher das Ausmaß ihrer Haushaltsprobleme erkennen.	Mr Eichel and Mr Mer might, however, discover the scale of their budget problems sooner.
Sie könnten sogar eher herausfinden, was ihre Konsolidierungsanstrengungen bewirkt haben, wenn sie denn welche unternommen haben.	They might even find out sooner what their efforts at consolidation have achieved, if they have made any.
Der zweite Bericht betrifft eine Verordnung, die uns vierteljährliche Konten zu der volkswirtschaftlichen Gesamtrechnung liefern soll, und zwar betreffend den Beitrag der einzelnen Sektoren, der privaten Haushalte, der Unternehmen und des Staats.	The second report is concerned with a regulation that is to provide us with quarterly national accounts data, specifically on the contribution made by the individual sectors ‘households’, ‘companies’ and ‘government’.
Das haben die Vereinigten Staaten schon lange, denn es ist ja für die geldpolitische und wirtschaftliche Analyse wichtig, dass man weiß, wie sich die einzelnen Akteure verhalten.	The United States have had that for a long time now, because it is important for monetary policy and economic analysis to know how the various players are behaving.
Sogar der ECOFIN-Rat hat schon vor einem Jahr erkannt, dass das Fehlen von Informationen über das Verhalten von Haushalten und Unternehmen im Konjunkturverlauf eine große Lücke für die für die Wirtschafts- und Währungsunion benötigten Statistiken darstellt.	The Ecofin Council recognised a year ago that the lack of information on the behaviour of households and companies in the business cycle was a major deficiency of EMU statistics.
Von dieser Berichtspflicht über die Transaktionen der privaten Haushalte und Unternehmen sind aber alle Länder ausgeschlossen, deren Bruttoinlandsprodukt weniger als ein Prozent des BIP der EU-25 beträgt.	However, all countries whose gross domestic product is lower than 1% of the EU25 total will not have to report data on transactions in the households and companies sectors.
Herr Präsident, ich habe zweimal zwei Minuten Redezeit, und die werde ich auch einhalten – Sie können so viel Krach machen, wie Sie wollen!	Mr President, I have twice two minutes’ speaking time and I will keep to that – you can make as much noise as you want.
Davon sind alle neuen Mitgliedstaaten außer Polen sowie auch Luxemburg ausgeschlossen.	Those excluded are Luxembourg and all the new Member States except Poland.
Aber auch diese müssen die vierteljährlichen Angaben betreffend die Transaktionen des Sektors Staat und übrige Welt liefern.	They, too, however, must supply the quarterly data on transactions in the ‘general government’ and ‘rest of the world’ sectors.
Nun wissen Sie, worum es geht, und Sie können guten Gewissens, wie gehabt, meinen beiden Berichten zustimmen.	Now you know what is involved and, as in the past, you can vote in favour of my two reports with a clear conscience.
Es sind meine letzten für diese Wahlperiode, in der ich – heute einbezogen – neun Mal mit Statistikberichten auftreten konnte.	They are my last reports for this legislative period, in which, counting today, I have spoken nine times on statistical reports.
Ich weiß nicht, ob ich nach den Wahlen vom 13. Juni noch diese Statistikverordnungen – die viel trockener sind als Wein und Honig – werde betreuen dürfen.	I do not know whether I will be able to take care of these statistics regulations after the 13 June elections; they are much drier than wine and honey.
Ob ja oder nein, ich danke Ihnen für das Vertrauen und die Begeisterung, die Sie immer für meine Berichte aufgebracht haben.	However that may be, I thank you for the confidence and enthusiasm you have always shown for my reports.
