. – Herr Präsident, Herr Kommissar!	.
Ich möchte zunächst einmal dem Kollegen Doorn für seine exzellente Arbeit, an der auch sehr viele Ausschüsse beteiligt waren, danken.	Mr President, Commissioner, first of all, let me thank Mr Doorn for the excellent work he has done with the assistance of many committees.
Ich glaube, dass der vorliegende Bericht einen guten Kompromiss in dieser schwierigen Frage darstellt.	I see this report as representing a good compromise on this difficult issue.
Es ist eine sehr technische Gesetzgebung, was man auch an der Beteiligung der Abgeordneten hier im Hause sieht. Dennoch glaube ich, dass gerade mit dieser technischen Gesetzgebung sehr viel für die Wettbewerbsfähigkeit Europas, sowohl innerhalb als auch außerhalb Europas, getan wird.	It is evident not least from the number of Members present in the House that this is a highly technical piece of legislation, but I believe it is one that will do a great deal for Europe’s competitiveness, both internal and external.
Eine solide Gesetzgebung ist in diesem sensiblen Bereich besonders wichtig.	This is a sensitive area, and one that calls for watertight legislation.
Natürlich muss man Kompromisse schließen. Ein Kompromiss, den der Kollege Doorn angesprochen hat, ist der Kompromiss über die Rotation.	There must, of course, be compromises; one that Mr Doorn mentioned has to do with rotation.
Unterm Strich ist es richtig, dass die externe Rotation gefallen ist. Die Mitgliedstaaten haben hier eine Alternative.	It is, in essence, right that external rotation should go; the Member States have an alternative to it.
Bestimmte Mitgliedstaaten können auch die externe Rotation beibehalten wie bisher.	Some of them can retain the external rotation that they had before.
Ursprünglich wäre ich dafür gewesen, keine Möglichkeit für die Mitgliedstaaten zuzulassen, die externe Rotation zu verlangen, weil ich glaube, dass sie nicht wettbewerbsfördernd ist.	My basic instinct is to say that the Member States should not be allowed to require external rotation, as I do not believe that it encourages competition.
Ich möchte mich – weil die Redezeit ja beschränkt ist – auf einen Punkt konzentrieren, nämlich den Vorschlag von Kommissar McCreevy, eine Studie darüber zu erstellen, wie die Haftungshöchstgrenze sich auf den Binnenmarkt der Prüfungsgesellschaften auswirken würde.	As my speaking time is limited, I would like to concentrate on Commissioner McCreevy’s proposal for a study into the likely effects of limited liability on the auditing firms’ internal market.
Für Europa ist es ein ganz entscheidender Standortvorteil, wenn wir eine Haftungshöchstbegrenzung in Europa bekommen. Deswegen freue ich mich, dass Kommissar McCreevy dieser Studie zugestimmt hat, und sie muss auch bald kommen, nämlich bis Ende 2006.	The introduction of limited liability would give Europe a definite advantage as a business location, and so I am glad that Commissioner McCreevy has agreed to this study, which needs to be completed soon, that is to say, by the end of 2006.
Es gibt eine Reihe von Lösungen in den Mitgliedstaaten, die eine bestimmte Haftungshöchstgrenze vorsehen, beispielsweise eine proportionelle Haftung, Höchstgrenzen oder die Kombination von beiden.	A whole array of solutions is available to those Member States that specify a limit on liability; there is, for example, proportional liability, upper limits or a combination of the two.
Wir wollen als Europäisches Parlament von der Kommission, dass die Mitgliedstaaten über die Haftung entscheiden können, und dass wir in Europa zu einer möglichst harmonischen und nicht zu einer harmonisierten Regelung kommen.	What this House wants from the Commission is for the Member States to be able to take their own decisions on liability, and for us in Europe to end up with rules that are harmonious rather than harmonised.
In diesem Sinne – zur Komitologie hat der Kollege Doorn alles gesagt, was ich auch unterstütze – bedanke ich mich für Ihre Aufmerksamkeit, und ich hoffe, dass er die Richtlinie so durchbekommt.	So, as Mr Doorn has said everything that needs to be said about comitology and I agree with him, I will thank you for your attention and express the hope that the directive gets through.
