Herr Präsident! Zunächst gilt mein Dank Herrn Kollegen Veltroni.	Mr President, first of all, I should like to thank Mr Veltroni.
Als Berichterstatter hat er eine sehr gute und auch sehr kooperative Arbeit geleistet, für die ich ihm sehr danken möchte.	As rapporteur, he has done some very good work, including work of a very cooperative nature, and I should like to thank him very much for that.
Der gleiche Dank gilt aber auch der Kommission, die eine hervorragende Grundlage für die Beratungen des Ausschusses und des Parlaments gelegt hat.	However, thanks are similarly due to the Commission which has provided an outstanding basis for the discussions between the Committee and Parliament.
Der audiovisuelle Sektor steht grundsätzlich vor der Aufgabe, zwei Schwerpunkte entwickeln zu müssen.	The audiovisual sector basically faces the task of having to develop in two main fields.
Einmal ist er der Motor für zukunftsfähige Arbeitsplätze, zum anderen aber ist er auch von wesentlicher Bedeutung für die Sicherung der kulturellen Vielfalt und der Meinungsfreiheit in Europa.	Firstly, it is a means of generating future jobs. Secondly, however, it is also of great significance for securing cultural diversity and freedom of speech in Europe.
Deshalb ist es wichtig, immer beide Gesichtspunkte im Blick zu behalten.	It is therefore important always to keep both perspectives in view.
Ich möchte das kurz an drei Beispielen darstellen.	I should like briefly to illustrate this by way of three examples.
Erstens: Es ist notwendig, Inhalte und Transport unterschiedlich und unabhängig zu regeln.	Firstly, it is necessary to regulate content and methods of transmission differently and independently of each other.
Wir brauchen eine Technik, die sehr schnell und sehr flexibel auf die technologische Revolution antworten kann.	We need a form of technology which can respond very quickly and very flexibly to the technological revolution.
Ich nenne hier nur das Stichwort "Internet".	I would just mention the buzz word 'Internet' at this point.
Auf der anderen Seite ist es aber so, dass wir nicht nur einen universell zugänglichen Zugang zu allen Netzen für die Bürger gewährleisten wollen, sondern dass wir auch im Bereich des Jugendschutzes und der Menschenwürde Sicherungen brauchen, gesetzliche Regelungen, die unabhängig von der Art des Transports diese für uns alle unverzichtbaren Werte sichern.	However, we not only wish to guarantee people universal access to all networks but also need to ensure that young people are protected and human dignity assured by means of legal regulations which, independently of the method of transmission, safeguard these values that are indispensable to us all.
Zweitens: Das Beispiel der Entscheidungsebene.	Secondly, consider the level at which decisions are made.
Für die Frage der Technologie brauchen wir eine zunehmende Kooperation unter den Mitgliedsländern und auf der europäischen Ebene.	Where the issue of technology is concerned, we need increasing cooperation among the Member States at European level.
Betreffend die inhaltlichen Fragen aber wollen wir die Sicherung der kulturellen Vielfalt und der Meinungsvielfalt in erster Linie in Händen der Mitgliedsländer und ihrer Kompetenz wissen.	When it comes to issues of content, however, we want to know that, in the first place, the Member States are willing and able to safeguard cultural pluralism and diversity of opinion.
Drittens: Das Fernsehen in Europa.	Thirdly, television in Europe.
Wir haben sowohl den öffentlich-rechtlichen wie den privaten Rundfunk, die beide klare ordnungspolitische Rahmenbedingungen brauchen, um sich im Wettbewerb entwickeln zu können.	We have both commercial and public service broadcasting which both require clear statutory frameworks in order to be able to develop in competition.
Deshalb sagen wir klar Ja zum Protokoll des Vertrags von Amsterdam zum öffentlich-rechtlichen Rundfunk und der Zuständigkeit der Mitgliedsländer, Auftrag und Finanzierung zu sichern.	We therefore say a clear yes to the protocol of the Treaty of Amsterdam on public service broadcasting and to the Member States' responsibility for commissioning and for securing finance.
Wir sagen aber auch genauso klar Ja zur Aufgabe der Entwicklung und der Förderung der privaten Fernsehveranstalter in Europa, damit sie im weltweiten Wettbewerb mithalten können.	We are also, however, saying just as clear a yes to the task of developing and promoting commercial television companies in Europe so that they can compete effectively worldwide.
Das ist die entscheidende Voraussetzung für die Sicherung kultureller europäischer Inhalte, auch unter den Bedingungen der zukünftigen Technologie.	That is the crucial precondition for safeguarding European cultural content, with the conditions of future technology in mind.
