Frau Präsidentin! Herzlichen Dank, dass ich mich noch einmal kurz melden darf.	Madam President, thank you very much for allowing me to speak again briefly.
Scheinbar kennt meine Kollegin den Unterschied zwischen Ausbildung und Bildung nicht.	It would appear that my fellow Member does not know the difference between training and education.
In Zeiten, in denen die Technik uns einen Großteil unserer Arbeit abnimmt, wird es immer wichtiger, dass Hochschulen Bürger zu mündigen und kritischen Menschen bilden.	In times when technology is taking away most of our work, it is increasingly important that universities educate citizens into mature and analytical people.
Das ist es doch, was wir brauchen.	That is just what we need.
Wir brauchen also Menschen, die in der Lage sind, gesellschaftliche Vorgänge kritisch zu hinterfragen.	We therefore need people who are capable of asking searching questions about social processes.
Die Wirtschaft hat ja dieses Ziel nicht.	After all, business does not set itself such an objective.
Die Wirtschaft will Menschen ausbilden, das ist ihr Recht, das ist richtig.	Business wants to train people and is entitled to do that, that is all well and good.
Aber das ist eben nur eine Forderung eines Teilsystems unserer Gesellschaft, und es ist nicht die Abbildung dessen, was wir in einer Gesellschaft als Gesamtheit benötigen.	However, that is only a requirement from one subsystem of our society and it does not represent what we need in a society as a whole.
Lassen Sie mich vielleicht noch einmal kurz anmerken: Wir brauchen ja wissenschaftliche Kreativität und wissenschaftliche Neugierde.	Let me make another brief comment: we need scientific creativity and scientific curiosity.
Ich bin nicht der Meinung, und ich glaube sicherlich nicht, dass die Wirtschaft in der Lage ist, diese Neugierde und diese Kreativität, die wir so dringend brauchen, durch ihren finanziellen Imput kaufen zu können.	I do not accept the view, and I certainly do not believe, that business is able to buy the curiosity and the creativity that we so desperately need through their financial input.
Nein!	No!
