im Namen der PPE-DE-Fraktion. - Herr Präsident, Herr Ratspräsident, Frau Kommissarin!	on behalf of the PPE-DE Group. - Mr President, President-in-Office of the Council, Commissioner.
Nie wieder Krieg, nie wieder Konzentrationslager und nie wieder Völkermord!	War, concentration camps, genocide - never again!
Nach den Gräueln des Zweiten Weltkriegs konnte sich in Europa niemand mehr vorstellen, dass es das wieder geben könnte.	After the horrors of the Second World War, no one in Europe could imagine that this could ever happen again.
Dennoch konnte es geschehen: Mitte der 90er-Jahre, sechs Jahre nach dem Fall der Berliner Mauer, mitten, im friedlichen Zusammenwachsen von West- und Mitteleuropa geschah es in Bosnien und Herzegowina.	Yet it could: in the mid-1990s, six years after the fall of the Berlin Wall, whilst Western and Central Europe were growing together in peace, it happened again in Bosnia-Herzegovina.
Die Fehler, die die internationale Gemeinschaft machte - durch lange Jahre des Wegschauens, des fast sorglosen Umganges mit den Schergen dort, des freundlichen Händeschüttelns mit solchen Kriminellen wie Ratko Mladić -, haben ihn und seine Mittäter in der Annahme bestärkt, sie würden ungestraft davonkommen, wenn sie der jahrelangen ethnischen Vertreibung, der ethnischen Säuberung auch noch einen Massenmord folgen ließen.	The mistakes of the international community - many years of looking the other way, of almost carefree dealings with the thugs there, of friendly handshakes with criminals such as Ratko Mladić - have strengthened acceptance of him and his accomplices: they got off scot-free when they followed the years of ethnic expulsions, of ethnic cleansing, with a massacre.
Bis heute muss sich Ratko Mladić nicht vor einem Gericht verantworten.	To this day, Ratko Mladić has not had to answer to the courts.
Wer versteckt ihn?	Who is hiding him?
Wer hilft ihm und lädt so noch mehr Schuld auf sich und ihn?	Who is helping him and thus placing themselves and him under an even greater burden of guilt?
Viele weitere Täter sind ebenfalls noch auf freiem Fuß, leben sogar teilweise noch in Bosnien und Herzegowina und begegnen den Hinterbliebenen der Opfer.	Many of the other perpetrators are also still at large, and some are even still living in Bosnia-Herzegovina among the bereaved families of the victims.
Darum müssen wir darauf dringen, dass nicht nur das Kriegsverbrechertribunal in Den Haag, sondern die örtlichen Kriegsverbrechertribunale in Bosnien und Herzegowina selbst korrekt arbeiten können.	Therefore, we must insist that not only the International Criminal Tribunal for the Former Yugoslavia in The Hague, but also the local war-crimes tribunals in Bosnia-Herzegovina, be able to do their jobs properly.
Der von uns initiierte Gedenktag will aufrütteln, ein Zeichen wider das Vergessen setzen, will den Hinterbliebenen zeigen, dass wir mit ihnen trauern.	The commemorative day we have proclaimed is intended as a shake-up, as a signal not to forget, and as a demonstration to the bereaved families that we mourn with them.
Vielleicht kann ja dieser Tag dazu dienen, das Bewusstsein für diese schreckliche Schuld auch bei denen zu wecken, die bislang immer noch nicht glauben, dass es geschah, wie ja selbst Videoaufnahmen belegen. Dann könnte der Grundstein für eine notwendige Versöhnung gelegt werden.	Indeed, perhaps this day can serve to arouse awareness of these terrible crimes even in those who still do not believe that it happened, as even video recordings prove, and then the foundations for the necessary reconciliation can be laid.
Ohne die Anerkennung der direkten und indirekten Verantwortung für dieses Massaker kann es keinen Frieden geben.	Without recognition of the direct and indirect responsibility for this massacre, there can be no peace.
Das zumindest und die Verurteilung der Täter sind wir den Opfern und Hinterbliebenen schuldig.	We owe this at least, and the conviction of the perpetrators, to the victims and their families.
