Herr Präsident! Wir haben gute Grundlagen für unsere Zusammenarbeit mit Tunesien.	Mr President, we have a good foundation for our cooperation with Tunisia.
Das Assoziationsabkommen und das Freihandelsabkommen sind genannt worden.	The association agreement and the free trade agreement have been mentioned.
Die Kommissarin hat gesagt, wir reden über die Integration der tunesischen Wirtschaft in den Binnenmarkt.	Mrs Kroes said that we are talking about integrating the Tunisian economy into the single market.
Das ist wirklich so weit, wie man mit einem Land außerhalb der EU kommen kann, und von daher ist dies eine stabile Grundlage.	That is really as far as we can go with a country outside the EU, and therefore this forms a stable foundation.
Tunesien ist ein solider und freundlicher Partner mit einem Potential für die weitere Stärkung der Beziehungen, um noch einmal die Frau Kommissarin zu zitieren.	Tunisia is a solid and friendly partner with the potential for further strengthening our relations, to quote Mrs Kroes once again.
Gerade weil wir diese engen Beziehungen haben, können wir auch alle Punkte, die uns vielleicht in der einen oder anderen Form Sorgen bereiten, mit den Kollegen ansprechen.	Precisely because we have these close relations, we are also able to talk to our colleagues about all of the issues that may cause us some concern.
Ich selber stehe auch im Dialog mit den Kollegen, die sich hier auf der Tribüne befinden, und mein Eindruck ist, dass wir über alles reden sollten.	I, personally, am in talks with our colleagues, who are here in the gallery, and my feeling is that we should talk about everything.
Wir sollten in dem Zusammenhang jedoch nicht das Kind mit dem Bade ausschütten.	However, in this connection, we should not throw the baby out with the bathwater.
Wir haben in Tunesien auch eine Situation, dass dieses Land, als arabisches Land, was sich sekular entwickeln will, von Extremisten bedroht wird.	In Tunisia, we also have a situation where the country, as an Arab country that wants to develop in a secular manner, is threatened by extremists.
Und wenn man gegen islamistischen Extremisten vorgeht, dann habe ich dafür auch Verständnis.	I am sympathetic towards anyone who takes action against Islamic extremists.
Was aber andere betrifft, denke ich, dass wir mit dem Dialog, den wir fortgesetzt führen, vorankommen werden.	However, as regards other matters, I think that we will make progress in the ongoing talks.
Mit Tunesien können wir über alles reden, weil es ein verlässlicher Partner ist.	We can talk about anything with Tunisia because it is a reliable partner.
Deswegen freue ich mich auf die Fortsetzung unseres Dialogs.	I therefore look forward to continuing our dialogue.
