Herr Präsident! Der europäische Textilsektor steckt in einer Krise. „China ist schuld!“, heißt es.	Mr President, the European textile industry is in crisis, and China is being blamed for that.
Wir müssen den Markt wieder abschotten, fordert vor allem die linke Seite im Parlament.	This House’s left-wing Members in particular are calling for the market to be sealed off again.
Wir brauchen neue Förderprogramme für die europäische Textilindustrie, fordert der Ausschuss für regionale Entwicklung.	The Committee on Regional Development is calling for new programmes to support the European textile industry.
Abschottung und Subventionen – wenn das alles ist, was uns im Zeitalter der Globalisierung einfällt, dann ist es um diese Branche in Europa in der Tat sehr schlecht bestellt.	Sealing off and subsidies – if that is all we can think of in this age of globalisation, then this sector must be in a really bad way in Europe.
Zum Glück ist die europäische Textil- und Bekleidungsindustrie viel weiter als die Politik, denn die Unternehmen stellen sich dem globalen Wettbewerb schon seit Jahrzehnten.	Fortunately, the European textile and clothing industry is a lot further ahead than the politicians, because the companies in question have been facing up to global competition for decades.
Längst haben die Betriebe ihre wettbewerbsfähigen Kerne wie Forschung, Vertrieb und Endbearbeitung in der Europäischen Union gestärkt, dagegen Zulieferstrukturen in Fernost, speziell auch in China, aufgebaut.	For a long time now, they have been strengthening their competitive core areas in the European Union: research, marketing and finishing, and developing supplier structures in the Far East, especially in China.
Dabei hat die europäische Textilindustrie für diesen Strukturwandel keine Subventionen bekommen.	The European textile industry did not receive any subsidies for this structural change.
Im niederländisch-deutschen Grenzgebiet sind zum Beispiel deshalb mehr als 100 000 Arbeitsplätze verloren gegangen.	That is why more than 100 000 jobs were lost in the Dutch-German border region, for example.
Trotzdem ist die Arbeitslosigkeit in den betroffenen Regionen heute weit unterdurchschnittlich.	Unemployment is nevertheless now far below average in the regions concerned.
Das liegt daran, dass es eben keine Subventionen gegeben hat, die die Struktur erhalten hätten.	That is precisely because there were no subsidies to preserve the existing structure.
Das liegt daran, dass die Europäische Union den Strukturwandel außerhalb der Textilindustrie gefördert hat, so in Technologiezentren und in Flächensanierungen – sie kennen das Programm RETEX aus der Vergangenheit.	It is because the European Union supported structural change outside the textile industry, in technology centres and redevelopment, for example; you remember the RETEX programme from the past.
Neue Förderprogramme speziell zur Stützung der Textilindustrie sind der falsche Weg.	New programmes specifically to support the textile industry are not the way.
Diejenigen Unternehmen, die sich in Europa gesundgeschrumpft haben, würden nicht verstehen, dass sie jetzt quasi „als Belohnung“ im Wettbewerb zum dann plötzlich subventionierten Nachbarn stehen müssten.	Firms in Europe that have regained their health by slimming down would not understand if their ‘reward’ was now to have to compete with neighbours that were suddenly subsidised.
Statt mit Subventionen den Wettbewerb zu verfälschen, müssen wir Rahmenbedingungen gestalten.	Instead of distorting competition with subsidies, we must shape the regulatory environment.
Dazu zählen etwa eine Erleichterung des Patentschutzes, eine konsequente Verfolgung von Produkt- und Markenpiraten, ein Ausbau der Forschungskapazitäten speziell in den Bereichen Nano-Technologie, neue Werkstoffe und Produktionsverfahren.	This includes, for example, making patent protection easier, prosecuting product and trademark pirates consistently and expanding research capacities, particularly in nanotechnology, new materials and production processes.
Durch eine aktive Strukturpolitik müssen wir in den betroffenen Regionen helfen, und nicht durch eine Verschleppung des Strukturwandels durch die betriebliche Subvention.	We must help the affected regions, not by using operating subsidies to delay structural change but by pursuing an active structural policy.
