Frau Präsidentin! Offene Grenzen sind ein wichtiges Symbol für Europa.	Madam President, open borders are an important symbol for Europe.
Ich möchte Sie hier und heute auf ein anderes Problem aufmerksam machen.	I would like to draw your attention to another problem.
Ich komme aus Norddeutschland, und deshalb ist für mich die deutsch-dänische Grenze auch von besonderer Bedeutung.	I come from Northern Germany, which is why the German-Danish border is of particular importance for me.
Die rechtspopulistische dänische Volkspartei will die dänische Regierung zur Wiedereinführung von Grenzkontrollen zwingen.	The right-wing populist Danish People's Party is trying to force the Danish Government to reintroduce border controls. What is the reason for this?
Grund: Angst vor Menschen aus Rumänien und Bulgarien.	It is a fear of people from Romania and Bulgaria.
Das ist ein Skandal!	This is scandalous.
Die Rechtspopulisten entwickeln sich rasant und werden zu einer realen Gefahr für Europa.	The right-wing populists are rapidly growing in numbers and represent a real danger for Europe.
Schutz vor grenzenloser Kriminalität muss es geben, dafür haben unsere Sicherheitsbehörden längst Alternativen zur Passkontrolle gefunden.	Of course we must have protections against untrammelled criminality and our security authorities have already found effective alternatives to passport controls.
Mich macht es sehr traurig, dass eine unserer großen europäischen Errungenschaften aufs Spiel gesetzt werden soll.	It makes me very sad that one of our major European achievements is to be put at risk.
Das für Frieden und Freiheit historisch beispiellose Erfolgsprojekt EU wird auf diese Weise hochgradig gefährdet.	The EU success in promoting peace and freedom is without historical parallel but is now under high-level attack.
Ich fordere die dänische Regierung auf, sich nicht von Rechtspopulisten ans Gängelband nehmen zu lassen!	I would call on the Danish Government not to allow itself to be dictated to by the right-wing populists.
