Herr Kommissar, nicht böse sein, aber let's get serious.	Commissioner, please do not be angry, but let us get serious.
Ich lese Ihnen gerne meine Frage vor.	I would like to read my question to you.
Sie lautet: Ist die Kommission bereit, mindestens 10 % der derzeit jährlich 51 Milliarden Euro als Anschubfinanzierung für neue Stromnetze im Bereich erneuerbarer Energien einzurichten?	It is as follows: is the Commission prepared to reallocate at least 10% of the EUR 51 billion currently available each year to fast-start funding for new electricity networks for renewable energy?
Sie haben jetzt viel erzählt. Alles richtig.	You have now had quite a lot to tell us, all of it correct.
Nur darum geht es doch nicht.	It is just that none of it is what is at issue.
Es geht doch darum, jetzt ein Signal zu setzen und zu sagen: Ja, wir haben verstanden.	What is at issue is sending out a signal and saying, yes, we have understood.
Ja, wir ziehen die Konsequenzen aus Fukushima.	Yes, we are drawing the conclusions from Fukushima.
Ja, wir meinen 2020 wirklich ernst.	Yes, we really are serious about 2020.
Um eine Energiewende voranzubringen, müssen wir den Strom aus Norddeutschland nach Österreich bringen.	To push forward energy change, we need to bring the electricity from northern Germany to Austria.
Mein Vater war Chef der Vorarlberger Kraftwerke.	My father was head of Voralberger Kraftwerke, the power generating company for the Austrian Province of Voralberg.
Sie haben sicherlich auch Erfahrung in diesem Bereich.	I am sure you have experience in this area.
Da braucht man Leitungen.	You need power lines to do this.
Also nochmals meine Frage: Sind Sie persönlich bereit, genau diese Anschubfinanzierung, von der alle sagen, dass wir sie dringend brauchen, wirklich auf den Weg zu bringen und nicht einfach das umzusetzen, was unter Ihren Vorvorgängern beschlossen worden ist?	Once again, my question is, are you personally prepared to really get this fast-start funding specifically, which everyone is saying that we urgently need, off the ground and not merely implement what your predecessors decided?
