Herr Präsident! Vielen Dank, dass Sie mir die Gelegenheit geben, noch einmal zu sprechen.	Mr President, thank you for giving me the opportunity to speak again.
Ich möchte mich beim Kollegen Bösch bedanken, nicht nur für das Lob an unseren Berichterstatter, sondern auch für seine Fairness und seine Hilfe.	I would like to thank Mr Bösch, not only for his praise of our rapporteur, but also for his fairness and help.
Kollege Bösch hat ja den Betrugsbericht über viele Jahre bearbeitet.	Mr Bösch has been dealing with the fraud report for many years.
Jetzt haben wir diese Ehre, und ich glaube, dass es ein ganz starkes Zeichen des Haushaltskontrollausschusses war und ist, dass wir hier einig antreten.	Now we have this honour, and I think it is a great sign of strength in the Committee on Budgetary Control that we are in agreement here.
Wir haben die ganze Angelegenheit auf die Mitgliedstaaten zugespitzt.	We have focused our full attention on the Member States.
Die Kommission sollte auch die Botschaft mitnehmen, dass wir ihr helfen wollen, ihre Unklarheiten mit den Mitgliedstaaten zu beseitigen.	The Commission should also take with it the message that we want to help to bring this lack of clarity to an end.
Wenn man die Zahlen zum Thema Wiedereinziehung betrachtet, dann hat man es mit einer bunten Meinungsvielfalt zu tun.	If we look at the figures on the recovery of funds, we see that we are dealing with a very wide range of opinions.
Deswegen führen wir im laufenden Entlastungsverfahren ja auch diese Diskussion.	That is why we are having this discussion as part of the current discharge procedure.
Deswegen möchte ich die Kommission wirklich bitten, doch den Mut zu haben, es auch zu sagen, wenn sie bestimmte Dinge nicht weiß, damit wir ihr helfen.	Consequently, I really must ask the Commission to have the courage to say if it does not know certain things, so that we can help.
Denn ich glaube, dass wir, wenn wir gemeinsam an diesem Thema arbeiten, auch gemeinsam Erfolg haben.	I think that if we tackle the issue together, then together, we will be successful.
Nochmals ganz herzlichen Dank an den Kollegen Bösch!	Once again, very many thanks to Mr Bösch.
