Der Zeitplan war und ist in dieser Frage nun einmal sehr entscheidend.	Timing has always been vital in this area, and it still is.
Sie wissen alle, daß im letzten Dezember die Einführung des obligatorischen Etikettierungssystems verschoben werden mußte, weil innerhalb des verfügbaren Zeitrahmens keine Einigung erzielt werden konnte.	You all know that the introduction of the compulsory labelling system had to be deferred last December because agreement could not be reached within the time frame available.
Dieser Aufschub endet nun einmal am 31. August, was aber in der Realität bedeutet, daß er Ende dieses Monats endet, weil im August weder eine Parlamentssitzung stattfindet noch sonst Sitzungen anberaumt werden können.	This deferral expires on 31 August, which in practice means that it runs out at the end of this month, because Parliament does not sit in August and no further sittings can be called.
Wir sollten alle daran festhalten, daß wir unser Versprechen, das wir im Prinzip den Rindfleischkonsumenten Europas und auch den Erzeugern und Verarbeitern gegeben haben, einhalten.	We must all ensure that the pledge we made to all European beef consumers and also to producers and processors is respected.
Um ein nochmaliges Aufschieben - oder was noch schlimmer wäre - ein Rechtsvakuum bei der Kennzeichnung zu vermeiden, müssen wir daher noch in diesem Monat zu einer endgültigen Entscheidung finden.	In order to avoid further postponement or, even worse, a legal vacuum on labelling, we must therefore come to a final decision this month.
Bevor ich auf die Änderungsvorschläge eingehe, die für die morgige Abstimmung vorgelegt worden sind, möchte ich ein paar kurze Bemerkungen zum Gemeinsamen Standpunkt des Rates machen, den der Rat am 6. Juni festgelegt hat.	Before I talk about the amendments tabled for tomorrow' s vote, I would like to make a couple of brief comments about the Council common position approved by the Council on 6 June.
Wie Sie wissen, habe ich auf das Zustandekommen eines informellen Trilogs hinsichtlich der Frage der Rechtsgrundlage gedrängt.	As you know, I pressed for an informal trialogue on the issue of the legal basis.
Dieser hat am 3. Mai stattgefunden.	This took place on 3 May.
Bei diesem Treffen haben die dort anwesenden Mitglieder auch gewünscht, daß zum Entwurf des Gemeinsamen Standpunktes des Rates auch entsprechende Darlegungen gemacht werden.	The Members participating in that meeting also asked for appropriate explanations regarding the draft of the Council common position.
Nachdem auf Wunsch des Parlaments einige weitere Änderungen in den Text aufgenommen worden waren, konnte eine Übereinstimmung erzielt werden, auf deren Grundlage der nachfolgende Landwirtschaftsrat den Gemeinsamen Standpunkt des Rates beschlossen hat.	Once a number of further changes to the text requested by Parliament had been made, it was possible to reach an agreement based on which the following Agriculture Council approved the Council common position.
Dieser ist Ihnen zusammen mit der Mitteilung der Kommission Mitte Juni formal zugegangen.	This was then formally transmitted to Parliament in mid-June together with the Commission' s communication.
