. – Herr Präsident, werte Kolleginnen und Kollegen!	.
Die ECOFIN-Sitzung am Wochenbeginn hat noch immer keine definitive Klärung der zukünftigen Bewertungslogik der Stabilitätskriterien gebracht. Ich hoffe sehr, dass die Ressortminister dennoch noch vor dem Europäischen Rat zu einer Einigung gelangen.	Mr President, ladies and gentlemen, even though the ECOFIN meeting at the beginning of this week has still not finally resolved the issue of how the stability criteria are to be evaluated in the future, I do very much hope that the finance ministers will nevertheless come to an agreement before the European Council.
Ich selbst bleibe der Überzeugung, dass der Stabilitäts- und Wachstumspakt in seinen Grundfesten nicht erschüttert werden darf.	For my own part, I remain convinced that the foundations of the Stability and Growth Pact must not be tampered with.
Die bestehenden Grenzwerte von 3% Neuverschuldung und 60% Schuldenstand, gemessen am Bruttoinlandprodukt, sind mit dem wechselkursbezogenen Schicksal des Euro derart eng verflochten, dass sie Bestand haben müssen, um die Stabilität und Festigkeit der Einheitswährung zu erhalten.	The current threshold values – 3% for new debt and 60% for outstanding debt, measured in terms of gross national product – are so closely entwined with the euro’s exchange rate that they must be retained if the single currency is to be kept stable and solid.
Zu den Grundfesten des Paktes gehört ebenfalls, dass ein Staatshaushalt bei der Bewertung der Einhaltung der Kriterien als Ganzes eben als Einheit betrachtet wird. Dies schreibt nicht nur allgemeines Haushaltsrecht vor, sondern es wird eigentlich auch vom gesunden Menschenverstand angemahnt.	It is also fundamental to the Pact that a state’s budget should be considered as a single whole when assessing compliance with the criteria; this is not just prescribed by general budgetary law, but also enjoined upon us by sound human reason.
Einen einheitlichen, ganzheitlichen Haushalt kann man nicht zugleich zuzüglich oder abzüglich ganzer Ausgabenkategorien bewerten.	A single, integral budget cannot be evaluated both with and without whole categories of expenditure.
Deswegen darf es auch nicht dazu kommen, dass Ausgabenkategorien, die in den Augen einzelner Mitgliedstaaten als besondere Belastungen gelten, bei der Ermittlung der Einhaltung der Stabilitätskriterien ausgenommen werden.	That is why we cannot have the situation in which categories of expenditure that some Member States regard as special burdens are excluded when assessing to what degree the stability criteria have been adhered to.
Letztlich ist es im Sinne des Paktes, der auch eine wesentliche Wachstumskomponente beinhaltet, dass ein nationaler Haushalt im Lichte der jeweiligen Konjunkturlage eine nuancierte Bewertung erhalten kann.	After all, the Pact – containing as it does also a substantial growth component – does make provision for the possible nuanced valuation of a national budget in the light of the country’s current position in the economic cycle.
Deswegen ist es notwendig, die aktuellen Prozeduren zu erhalten, ihren Detailablauf und ihre Konsequenzen jedoch von der Realität einer Haushaltspolitik abhängig zu machen, und zwar deswegen – ich habe es bereits vor einigen Wochen hier gesagt –, weil der Pakt Stabilitäts- und Wachstumspakt heißt und eine allzu rigide Stabilität nicht dazu führen darf, dass Wachstum verhindert anstatt gefördert wird.	For that reason, the current procedures have to be retained, while making their detailed course and consequences dependent on the realities of budget policy, and this – as I told the House a few weeks ago – for the reason that the Pact is called a ‘Stability and Growth Pact’ and excessive stability must not be allowed to hamper growth rather than it being stimulated.
Es liegt im ECOFIN-Rat eine Liste mit möglichen Anhaltspunkten für eine feiner geschliffene Bewertung der nationalen Stabilitätsanstrengungen vor.	The ECOFIN Council has listed possible approaches to a more finely-honed evaluation of the nation states’ efforts at achieving stability.
Ich hoffe sehr, dass Elemente dieser Liste den Schlüssel zu einer definitiven Einigung vor dem Gipfel am 22. und 23. März darstellen.	I very much hope that some of these will prove the key to bringing about a final agreement prior to the summit on 22 and 23 March.
Nun noch ein Wort zur Strategie von Lissabon.	Let me now just say something else about the Lisbon strategy.
Die dürftigen Ergebnisse nach der ersten Halbzeit sind wesentlich auf eine zu breite Streuung der Zielvorgaben zurückzuführen.	The disappointing results at the end of its first half are, in essence, attributable to a too widely-dispersed range of goals.
Daher ist für die nächsten fünf Jahre eine Konzentrierung auf einige essentielle Ziele notwendig, wenn es endlich greifbare Erfolge geben soll. Ich unterstütze in dieser Hinsicht auch eine Vorgehensweise, die stärker als bisher auf einer nationalstaatlichen Umsetzung der Lissabon-Vorgaben basiert.	That is why, if we are to end up with tangible successes after the next five years, we need to concentrate on a number of essential objectives, and so I am in favour of an approach that relies more than hitherto on the nation states implementing the Lisbon requirements.
Dies erlaubt einen gewissen Wettbewerb um so genannte die dem Gesamterfolg der Strategie eigentlich nur dienlich sein können.	This allows a certain degree of competition around what are termed ‘best practices’ that can in fact do nothing but good in terms of the strategy’s overall success.
In Zukunft sollten wir in Europa versuchen, die ganz großen Ankündigungen dann kleiner zu halten, wenn ihre Umsetzungswahrscheinlichkeit alles andere als gegeben erscheinen muss.	In future, we should cut the really big announcements down to size if it is not absolutely certain that they will actually be implemented.
