– Herr Präsident! Zum gleichen Thema.	Mr President, I wish to speak to the same topic.
Wir haben in unserer Fraktion natürlich auch die Auswirkungen dieser Veröffentlichungen und der Zahlen diskutiert.	My group has of course discussed the effects that these publications and figures have had.
Ich will aber ganz grundsätzlich für unsere Fraktion begrüßen, dass Sie die Frage des Umgangs mit einer solchen Umfrage, das Zustandekommen der Fragen, zum Gegenstand einer Konferenz der Präsidenten machen wollen.	Speaking on its behalf, though, I want generally to welcome your desire to put the issue of the handling of such an opinion poll, and the manner in which the questions were arrived at, on the agenda for the Conference of Presidents.
Ich glaube, da gehört es auch zunächst einmal hin, denn es ist sehr schwierig, eine umfassende Diskussion im Plenum über eine Meinungsumfrage zu führen, deren Gesamtgrundlage und Gesamthintergrund ich zur Zeit nur in Bruchstücken aus der Presse kenne.	I think that is where it belongs in the first place, as it is very difficult to have a wide-ranging discussion in plenary on an opinion poll, the overall basis and background of which I have at present only fragmentary knowledge, derived from references in the press.
Bevor ich mir da ein Urteil erlaube, würde ich sagen, ist es angebracht, dass man es einmal in Gänze sieht.	Before I venture to pass judgment, I would say that it is right and proper that we should consider it in its entirety.
Im Übrigen warne ich davor, dass man Meinungsumfragen nur dann gut findet, wenn einem die Ergebnisse gefallen.	I would also warn against our approving of opinion polls only when we find their results agreeable.
Das ist für jeden Politiker immer ein schwieriges Unterfangen – das sage ich als leidgeprüfter deutscher Sozialdemokrat in besonderer Weise.	As a long-suffering German social democrat, I, in particular, can say that this is always a problematic venture for any politician.
Wenn man sich Meinungsumfragen ansieht, kann einem bisweilen, egal welche Frage gestellt wird, eher schlecht werden.	Opinion polls, whatever questions are put, can sometimes tend to make you feel queasy.
Ob die Fragen solche Suggestivkraft haben, dass die Antworten, die jetzt gegeben wurden, uns gefallen oder nicht, kann man hier in diesem Plenum nicht diskutieren.	We cannot discuss, here in this plenary, whether or not the questions have this sort of suggestive effect or whether or not the answers that have been given are to our liking.
Wer weiß denn, was bei einer anderen Fragestellung herausgekommen wäre.	After all, who knows what would have come out if other questions had been put?
Ich rate deshalb dazu, hier keine vorschnellen Entscheidungen zu treffen oder vorschnelle Bewertungen vorzunehmen, sondern das in der Konferenz der Präsidenten einmal auf die Tagesordnung zu setzen und mit der Kommission über die Frage zu diskutieren, wie das Eurobarometer insgesamt gehandhabt wird.	I would therefore counsel against us taking premature decisions or carrying out premature assessments; instead, let us just put this on the agenda for the Conference of Presidents and have discussions with the Commission on Eurobarometer’s operations as a whole.
