Herr Präsident!	Mr President.
Zuerst möchte ich die Bestürzung und auch die Trauer unserer Fraktion darüber zum Ausdruck bringen, daß durch den tragischen Absturz eines Helikopters in Bosnien so viele sehr verdiente Menschen ums Leben gekommen sind, unter anderem auch der Stellvertreter von Herrn Carlos Westendorp, Herr Wagner, den ich erst vor wenigen Wochen in Sarajewo getroffen habe und der sich in sehr kurzer Zeit einen sehr guten Ruf erworben hat.	Firstly may I express the consternation and sorrow of our Party that so many very distinguished people have been killed in the tragic helicopter crash in Bosnia, including Mr Carlos Westendorp's deputy, Mr Wagner, whom I met only a few weeks ago in Sarajevo, and who had achieved a very high reputation in a very short time.
Er hat sich auch, und ich kann das vielleicht ein bißchen als sein Vermächtnis hier weitergeben, durchaus kritisch über manches geäußert, was verhindert hat, daß Europa mit einer stärkeren Stimme, mit mehr Kraft in Bosnien auftritt, und ich würde den Herrn Kommissar sehr herzlich bitten, all das, was er tun kann, auch zu tun, um zu erreichen, daß wir nicht nur viel Geld geben - auch da gibt es einiges zu sagen -, sondern zur Durchsetzung unserer Vorstellungen insgesamt auch wirklich mit einer stärkeren Kraft in Bosnien auftreten.	He had also expressed considerable criticism - perhaps I can quote this as his legacy here - about some things that had prevented Europe speaking with a stronger voice, from playing a stronger role in Bosnia. I would ask the Commissioner most sincerely to do all in his power to see that we do not merely give a lot of money - there is something to be said about that, as well - but really make a more powerful impression in Bosnia for the implementation of our concepts in general.
Wir diskutieren heute über Bosnien nicht nur, weil es vor kurzem Wahlen gegeben hat, sondern weil wir uns, glaube ich, eindeutig dazu bekennen wollen, daß wir es nicht zulassen können, nicht zulassen werden, daß der Friedensprozeß gestört wird.	Today we are discussing Bosnia not just because there were elections a short time ago, but because, I think, we want to make an unequivocal statement of our view that we cannot and will not allow the peace process to be destroyed.
Wir wissen alle um die Entwicklung in der Republik Srpska. Es geht hier nicht um Engel, es geht hier nicht um nur Gute und auf der anderen Seite nur Böse, aber es geht darum, daß diejenigen, die bereit sind, den Dayton-Prozeß, wie immer man zu ihm im einzelnen steht, zu einem guten Ende zu führen, unsere volle Unterstützung brauchen.	This is not a matter of angels, not a case of only good on one side and evil on the other, but it is a case of those who are ready to see the Dayton Process through to a good conclusion - regardless of where they may stand on it individually - needing our complete support.
Diejenigen, die es nicht unterlassen können, diesen Friedensprozeß nach wie vor zu stören, müssen damit rechnen, daß wir eindeutige Maßnahmen gegen sie ergreifen, und ich bin völlig der Meinung von Carlos Westendorp und dem Hohen Beauftragten, daß wir mit aller Schärfe und aller Härte dagegen vorgehen müssen und daß wir hier nicht zurückschrecken dürfen.	Those who cannot refrain from continuing to disrupt this peace process must count on us taking definite measures against them, and I entirely share the view of Carlos Westendorp and the senior Delegate, that we must proceed against them with all severity and must not be afraid of doing so.
Es kann nicht sein, daß es nach dem Ende des Krieges immer noch Menschen gibt - leider auf allen Seiten, aber sicherlich schwergewichtig auf einer oder der anderen Seite -, die verhindern, daß Flüchtlinge zurückkehren, die verhindern, daß dieser Prozeß insgesamt dort in Gang kommt, wo wieder ein multiethnisches Bosnien hergestellt wird.	It must not be possible following the end of the war for people still to exist - unfortunately on all sides, but certainly mainly on one side or the other - who hinder the return of refugees, or the operation of this whole programme in which a multi-ethnic Bosnia is being created.
Ich möchte auch sagen, Herr Kommissar: Es gibt Fälle, wo auch seitens der USA sowie der Kommission und der Kommissionsvertreter verhindert wird, daß Flüchtlinge in ihre eigene Heimat zurückkehren, keine neuen Gruppierungen hinkommen, weil eben gewisse Bevölkerungsgruppen das nicht wollen.	I should also like to say, Mr Commissioner, that there are cases where even the USA, the Commission or representatives of the Commission hinder the return of refugees to their homelands, and no new groups find entrance, because certain groups of citizens do not wish that to happen.
Ich glaube, daß man entschieden dagegen auftreten muß.	I believe one must take a firm stand against that.
Das letzte, was auch in der Entschließung enthalten ist: Wir, die Länder Europas, stellen viel Geld zur Verfügung.	The last point in the resolution is that we, the European countries, should make a lot of money available.
Das Geld wird nicht immer effizient eingesetzt.	This money is not always used efficiently.
Das Geld wird nicht ausreichend eingesetzt, zu spät, auch weil zu wenig Menschen da sind, die es bearbeiten, solange Experten da sind.	The money is also not sufficiently used, or used too late, because there are too few people to administer it as long as experts are at hand.
Ich bitte Sie, Herr Kommissar, dafür zu sorgen, daß das Geld, das wir zur Verfügung stellen, rascher bearbeitet, effizienter eingesetzt werden kann, damit wir alles dafür tun, daß der Frieden in Bosnien wiederhergestellt und gesichert wird.	I would ask you, Mr Commissioner, to ensure that the money we make available can be more efficiently used, so that we do everything possible towards the restoration and securing of peace in Bosnia.
