Herr Präsident! Wir brauchen eine Revolution der Demokratie.	Mr President, we need a revolution in democracy.
Herr Präsident, würden Sie hier heute sitzen, wenn es in den siebziger und achtziger Jahren in Westeuropa italienische Zustände vom Zuschnitt der Berlusconisierung gegeben hätte?	Mr President, would you be sitting here today if, in Western Europe in the 1970s and 1980s, Italian conditions had paved the way for Belusconi-isation?
Was wir aber gleichzeitig erleben, ist, dass nicht nur Italien ein Problem ist, sondern dass es zu einer Berlusconisierung Europas kommt. Und das ist sehr, sehr gefährlich.	What we are concurrently discovering, however, is that it is not only Italy that is a problem, but that a Belusconi-isation of Europe is taking place and that is very, very dangerous.
Als Mitglied des Grundrechtekonvents konnte ich miterleben, wie hart damals um genau diese zentrale Frage der Medienkonzentration gerungen wurde.	As a member of the Convention to draft the EU Charter of Fundamental Rights, I was able to witness how tough a struggle there was about this key issue of the concentration of the media.
Leider ist es damals am Widerstand bestimmter Kräfte hier gescheitert, dass wir da vorangekommen sind.	Unfortunately, due to the resistance of certain forces, we did not succeed at that point in making progress.
Fast zehn Jahre später zahlen wir die Zeche.	Almost 10 years later, we are paying the price.
Das ist eine hochgefährliche Entwicklung.	This is a highly dangerous development.
Allein wenn ich in ein Land schaue, in dem ich lange gearbeitet habe: Was ist denn aus dem Sturmgeschütz der Demokratie, wie sie der Spiegel einmal genannt hat, unter den realen Bedingungen der neuen ökonomischen Konzentration geworden?	If I take a look just at a single country in which I worked for many years: what happened to the assault gun of democracy, as Spiegel magazine once called it, under the real conditions of the new economic concentration?
Und warum haben wir unter diesen Bedingungen nicht dort, wo Europa wirklich gefordert ist, in diesem so zentralen Bereich der Presse- und Meinungsfreiheit, die Fortschritte, auf die so viele Europäerinnen und Europäer gewartet haben, für die sie ja teilweise sogar Revolutionen angezettelt haben?	Why, moreover, have we not, under these conditions, where Europe really is required in this area of freedom of the press and expression which is so crucial, had the progress that so many Europeans have been waiting for, for which, in fact, some of them started revolutions?
Wo bleibt denn diese Richtlinie?	Where is this directive?
Frau Reding, wovor haben Sie denn Angst?	Mrs Reding, what are you afraid of?
Welche Kräfte sind denn da am Werk?	What forces are at work here?
Heißen die Murdoch, oder heißen die anders?	Are those forces called Murdoch, or something else?
Öffentlich-rechtliches Fernsehen - in Österreich beziehen 62 % der Bürgerinnen und Bürger ihre Informationen daraus.	Turning now to public service television - in Austria, that is where 62% of the population get their information from.
Und wer kontrolliert es?	So, who controls it?
Fast ausschließlich die regierenden politischen Parteien.	It is almost exclusively the governing political parties.
Wenn ich mir die Verwaltungsapparate in Deutschland ansehe - auch da sind die Falschen am Werk.	When I look at the government apparatus in Germany, I can see that, there too, the wrong people are at the helm.
Wir brauchen Pressefreiheit, nicht nur in Italien! <BRK>	We need freedom of the press - and not just in Italy!
