Herr Präsident! Der Rat agiert intransparent.	Mr President, the Council's actions are not transparent.
De facto werden die Entscheidungen in den unzähligen, meist undurchsichtigen Arbeitsgruppen und im COREPER getroffen.	The decisions are made de facto in the numerous, largely non-transparent working groups and in COREPER.
Gerade einmal 1 % der Tagesordnungspunkte im Außenministerrat wurde 2008 öffentlich debattiert.	In 2008, only 1% of the agenda items in the Council of Foreign Ministers were debated publicly.
Genau in diesem Umfeld hat sich jetzt seit Ende der 90er Jahre die ESVP entwickelt, und dies fernab von jeder Mitsprache und jeder demokratischen Kontrolle.	Against precisely this background, the European Security and Defence Policy (ESDP) has been developed since the end of the 1990s without any consultation or democratic control.
Genau in diesem Umfeld soll sich nun auch der Europäische Auswärtige Dienst entwickeln.	Against precisely this background, the European External Action Service will also be established.
Da sage ich ganz klar Nein.	My response is a clear 'No'.
Das darf nicht sein, das soll nicht sein!	This must not happen!
Wir brauchen echte demokratische parlamentarische Kontrolle, und wir brauchen auch echte Transparenz.	We need genuine democratic parliamentary control and we also need genuine transparency.
Ich bin auch etwas darüber verwundert, dass genau Sie, Herr Brok, jetzt auf einmal für parlamentarische Kontrolle eintreten.	I am also rather surprised that you in particular, Mr Brok, are now suddenly in favour of parliamentary control.
Denn ist es nicht so, dass genau im Bereich der ESVP diese parlamentarische Kontrolle mit dem Vertrag von Lissabon verwehrt wird?	Is it not the case that specifically in the area of the ESDP, the Treaty of Lisbon will remove this parliamentary control?
Doch genau für diesen Vertrag sind Sie doch!	However, you are in favour of this treaty.
Und wenn man von Haushaltskontrolle spricht, dann kann man natürlich auch jetzt an der Entlastung des Rates ganz deutlich sehen, wie ihre Fraktion agiert.	On the subject of budgetary control, it is quite clear from the discharge of the Council how your group is acting.
Denn ist es nicht so, dass in den kommenden Wochen Ihre Fraktion im Haushaltskontrollausschuss der Entlastung des Rates zustimmen wird, obwohl der Rat nichtadäquate Antworten gegeben hat?	Is it not the case that in the next few weeks, your group will vote in favour of the discharge of the Council in the Committee on Budgetary Control, although the Council has not given adequate responses?
So ist leider festzuhalten, dass Ihr Entwurf sehr wohl gute Ansätze hat, jedoch ist er scheinheilig, er ist nicht glaubwürdig, und er ist im Endeffekt ein Eingeständnis der Versäumnisse in Bezug auf den Vertrag von Lissabon.	It is unfortunate that although your draft has very good beginnings, it is in fact hypocritical, it is not credible and it is ultimately an admission of the failings of the Treaty of Lisbon.
