Herr Präsident! Ich habe ja nicht das letzte Wort, das hat die Kommissarin.	Mr President, I shall not have the last word; that is the Commissioner's prerogative.
Ich darf mich dem Dank an die Berichterstatterin anschließen und einfach noch einmal unterstreichen, daß ich auch von Praktikern gehört habe, daß das bisherige Programm ein voller Erfolg war.	I wish to subscribe to the thanks that have been expressed to the rapporteur and to emphasise that I have heard from insiders that the programme has so far been an unqualified success.
Ich denke, ein Grund dafür war die intensive Begleitung der Förderung durch Beratung und Vernetzung vor Ort.	I believe that one reason for this has been the way in which the support has been accompanied by intensive consultancy and local networking.
Das ist nochmals zu unterstreichen.	This needs to be re-emphasised.
Die MEDIA-Desk und die MEDIA-Antennen sind sehr nützliche Instrumente dabei.	The MEDIA desk and the local MEDIA branches have proved to be very useful instruments.
Die institutionelle Begleitung ist unbedingt beizubehalten.	It is vital for these accompanying institutional measures to be retained.
Die Media-Antennen helfen dabei, die Hürden beispielsweise auch der europäischen Kooperation zu minimieren.	The MEDIA branch offices help to minimise the obstacles to European cooperation, for example.
Einerseits geht es um Kultur und um gemeinsame kulturelle Traditionen in Europa im audiovisuellen Bereich.	On the one hand, MEDIA is about culture and common European cultural traditions in the audiovisual domain.
Das ist eher noch eine zarte Pflanze, die unserer vollen Aufmerksamkeit bedarf.	This is still a rather tender sapling which needs our undivided attention.
Andererseits haben Vorredner darauf hingewiesen: Es ist auch ein Wirtschaftsgut, das an seinem Erfolg gemessen wird.	Moreover, as other speakers have already pointed out, it is also an economic asset that is judged by its success.
Ein entscheidendes Erfolgskriterium für das neue MEDIA-Programm wird sein, Entwicklung, Vertrieb und Öffentlichkeitsarbeit für Filme zu fördern, die das Publikum sehen will.	One key criterion of the success of the new MEDIA programme will be its support for the development, marketing and promotion of films that the public wants to see.
Ich will auch nicht mit meiner persönlichen Meinung hinter dem Berg halten.	I make no attempt to conceal my own personal view on this matter.
Hollywood ist meiner Meinung nach nicht alleine mit Geld und Quoten zu schlagen, sondern nur mit Qualität.	Hollywood cannot be beaten, in my opinion, by money and quotas but only by quality.
Die letzten Jahre haben gezeigt, es gibt Interesse an ganz unterschiedlichen Filmen.	Recent years have shown that people are interested in many different types of film.
Da muß Europa sich auch nicht verstecken.	Europe must not shy away from this window of opportunity.
Diese gute Entwicklung sollten wir fortsetzen, die Erhöhung des Budgets, wie im Bericht von Frau Hieronymi gewünscht, ist sinnvoll.	We must continue to foster this encouraging development, and to that end the budgetary increase requested in Mrs Hieronymi's report is a logical move.
Zum Schluß darf ich noch darauf hinweisen, daß viele Wurzeln der europäischen Kultur auch in Mittel- und Osteuropa liegen.	Finally, I should like to mention that many of the roots of our European culture lie in Central and Eastern Europe.
Eine verstärkte Beteiligung dieser Länder an den Programmen wird mit der Erhöhung des Budgets dann auch zu machen sein.	A higher budget will also make it possible to involve the Central and Eastern European countries to a greater extent in these programmes.
Vielleicht ist das letzte Wort auch in den nächsten Jahren über eine weitere Erhöhung noch nicht gesprochen.	The last word on an increased budget may not yet have been spoken, and we shall perhaps be discussing further increases over the next few years.
